Rank,Team,Games,W-L,Assists,Per Game,Date,Academic Year
5,Syracuse (ACC),13,11-2,112,8.62,04/26/2015,2015.0
6,Denver (Big East),13,11-2,110,8.46,04/26/2015,2015.0
7,Duke (ACC),16,11-5,131,8.19,04/26/2015,2015.0
8,Princeton (Ivy League),13,8-5,103,7.92,04/26/2015,2015.0
9,Johns Hopkins (Big Ten),13,7-6,99,7.62,04/26/2015,2015.0
10,Richmond (SoCon),14,10-4,106,7.57,04/26/2015,2015.0
11,Vermont (America East),15,6-9,111,7.40,04/26/2015,2015.0
12,Virginia (ACC),14,10-4,103,7.36,04/26/2015,2015.0
13,Massachusetts (CAA),13,4-9,92,7.08,04/26/2015,2015.0
14,Marist (MAAC),14,11-3,98,7.00,04/26/2015,2015.0
15,Loyola Maryland (Patriot),15,7-8,104,6.93,04/26/2015,2015.0
16,Notre Dame (ACC),11,9-2,76,6.91,04/26/2015,2015.0
17,Yale (Ivy League),13,9-4,89,6.85,04/26/2015,2015.0
18,Boston U. (Patriot),13,6-7,88,6.77,04/26/2015,2015.0
19,Harvard (Ivy League),14,7-7,94,6.71,04/26/2015,2015.0
20,Army West Point (Patriot),16,10-6,107,6.69,04/26/2015,2015.0
21,Quinnipiac (MAAC),13,6-7,85,6.54,04/26/2015,2015.0
22,High Point (SoCon),14,8-6,90,6.43,04/26/2015,2015.0
23,Penn (Ivy League),13,6-7,81,6.23,04/26/2015,2015.0
24,Hartford (America East),14,7-7,86,6.14,04/26/2015,2015.0
25,Saint Joseph's (NEC),15,10-5,91,6.07,04/26/2015,2015.0
26,Binghamton (America East),13,4-9,78,6.00,04/26/2015,2015.0
26,Colgate (Patriot),14,10-4,84,6.00,04/26/2015,2015.0
28,Georgetown (Big East),14,9-5,83,5.93,04/26/2015,2015.0
29,Lehigh (Patriot),16,7-9,94,5.88,04/26/2015,2015.0
