Rank,Team,Games,W-L,Saves,Per Game,Date,Academic Year
1,Detroit Mercy (MAAC),14,8-6,212,15.14,05/25/2015-Final Statistics,2015.0
2,Providence (Big East),14,5-9,195,13.93,05/25/2015-Final Statistics,2015.0
3,Michigan (Big Ten),13,5-8,177,13.62,05/25/2015-Final Statistics,2015.0
4,Vermont (America East),16,6-10,215,13.44,05/25/2015-Final Statistics,2015.0
5,Jacksonville (SoCon),12,4-8,159,13.25,05/25/2015-Final Statistics,2015.0
6,Harvard (Ivy League),14,7-7,185,13.21,05/25/2015-Final Statistics,2015.0
7,Georgetown (Big East),16,10-6,211,13.19,05/25/2015-Final Statistics,2015.0
8,Virginia (ACC),15,10-5,195,13.00,05/25/2015-Final Statistics,2015.0
9,High Point (SoCon),17,10-7,220,12.94,05/25/2015-Final Statistics,2015.0
10,Mercer (SoCon),13,5-8,166,12.77,05/25/2015-Final Statistics,2015.0
11,Penn St. (Big Ten),14,5-9,176,12.57,05/25/2015-Final Statistics,2015.0
12,Furman (SoCon),13,4-9,159,12.23,05/25/2015-Final Statistics,2015.0
13,UAlbany (America East),19,16-3,232,12.21,05/25/2015-Final Statistics,2015.0
14,Quinnipiac (MAAC),15,7-8,183,12.20,05/25/2015-Final Statistics,2015.0
15,Hobart (NEC),14,7-7,169,12.07,05/25/2015-Final Statistics,2015.0
16,Brown (Ivy League),17,12-5,203,11.94,05/25/2015-Final Statistics,2015.0
17,Hartford (America East),15,7-8,179,11.93,05/25/2015-Final Statistics,2015.0
18,Monmouth (MAAC),14,6-8,166,11.86,05/25/2015-Final Statistics,2015.0
19,Manhattan (MAAC),15,1-14,175,11.67,05/25/2015-Final Statistics,2015.0
20,Boston U. (Patriot),14,6-8,163,11.64,05/25/2015-Final Statistics,2015.0
21,Siena (MAAC),14,5-9,162,11.57,05/25/2015-Final Statistics,2015.0
22,Delaware (CAA),15,5-10,173,11.53,05/25/2015-Final Statistics,2015.0
23,VMI (SoCon),15,1-14,171,11.40,05/25/2015-Final Statistics,2015.0
24,NJIT (Independent),12,0-12,136,11.33,05/25/2015-Final Statistics,2015.0
25,UMBC (America East),13,5-8,147,11.31,05/25/2015-Final Statistics,2015.0
26,Marist (MAAC),18,14-4,203,11.28,05/25/2015-Final Statistics,2015.0
27,Bryant (NEC),18,8-10,202,11.22,05/25/2015-Final Statistics,2015.0
28,Sacred Heart (NEC),13,6-7,145,11.15,05/25/2015-Final Statistics,2015.0
29,North Carolina (ACC),17,13-4,189,11.12,05/25/2015-Final Statistics,2015.0
30,Lafayette (Patriot),14,4-10,155,11.07,05/25/2015-Final Statistics,2015.0
31,Mount St. Mary's (NEC),15,5-10,166,11.07,05/25/2015-Final Statistics,2015.0
32,Duke (ACC),18,12-6,198,11.00,05/25/2015-Final Statistics,2015.0
32,Princeton (Ivy League),15,9-6,165,11.00,05/25/2015-Final Statistics,2015.0
34,Villanova (Big East),14,6-8,153,10.93,05/25/2015-Final Statistics,2015.0
35,Notre Dame (ACC),15,12-3,163,10.87,05/25/2015-Final Statistics,2015.0
36,Penn (Ivy League),13,6-7,141,10.85,05/25/2015-Final Statistics,2015.0
37,Bellarmine (SoCon),12,4-8,130,10.83,05/25/2015-Final Statistics,2015.0
38,Robert Morris (NEC),14,3-11,151,10.79,05/25/2015-Final Statistics,2015.0
39,Richmond (SoCon),16,11-5,172,10.75,05/25/2015-Final Statistics,2015.0
40,Massachusetts (CAA),15,5-10,161,10.73,05/25/2015-Final Statistics,2015.0
41,Marquette (Big East),16,10-6,170,10.63,05/25/2015-Final Statistics,2015.0
42,Loyola Maryland (Patriot),15,7-8,157,10.47,05/25/2015-Final Statistics,2015.0
42,Fairfield (CAA),15,9-6,157,10.47,05/25/2015-Final Statistics,2015.0
44,St. John's (NY) (Big East),14,3-11,146,10.43,05/25/2015-Final Statistics,2015.0
45,Syracuse (ACC),16,13-3,166,10.38,05/25/2015-Final Statistics,2015.0
46,Dartmouth (Ivy League),13,5-8,132,10.15,05/25/2015-Final Statistics,2015.0
47,Canisius (MAAC),15,3-12,152,10.13,05/25/2015-Final Statistics,2015.0
48,Denver (Big East),19,17-2,190,10.00,05/25/2015-Final Statistics,2015.0
48,Lehigh (Patriot),16,7-9,160,10.00,05/25/2015-Final Statistics,2015.0
50,Towson (CAA),18,12-6,179,9.94,05/25/2015-Final Statistics,2015.0
51,Binghamton (America East),13,4-9,129,9.92,05/25/2015-Final Statistics,2015.0
52,Johns Hopkins (Big Ten),18,11-7,177,9.83,05/25/2015-Final Statistics,2015.0
53,Bucknell (Patriot),15,9-6,147,9.80,05/25/2015-Final Statistics,2015.0
54,Colgate (Patriot),16,10-6,156,9.75,05/25/2015-Final Statistics,2015.0
55,Maryland (Big Ten),19,15-4,184,9.68,05/25/2015-Final Statistics,2015.0
56,Saint Joseph's (NEC),17,11-6,162,9.53,05/25/2015-Final Statistics,2015.0
57,Ohio St. (Big Ten),19,12-7,181,9.53,05/25/2015-Final Statistics,2015.0
58,Air Force (ECAC),15,8-7,142,9.47,05/25/2015-Final Statistics,2015.0
58,Drexel (CAA),15,7-8,142,9.47,05/25/2015-Final Statistics,2015.0
60,Holy Cross (Patriot),13,6-7,123,9.46,05/25/2015-Final Statistics,2015.0
61,Wagner (NEC),13,4-9,121,9.31,05/25/2015-Final Statistics,2015.0
62,Navy (Patriot),14,9-5,128,9.14,05/25/2015-Final Statistics,2015.0
63,Cornell (Ivy League),16,10-6,145,9.06,05/25/2015-Final Statistics,2015.0
64,Rutgers (Big Ten),15,5-10,135,9.00,05/25/2015-Final Statistics,2015.0
65,Army West Point (Patriot),17,10-7,150,8.82,05/25/2015-Final Statistics,2015.0
66,Yale (Ivy League),16,11-5,135,8.44,05/25/2015-Final Statistics,2015.0
67,Stony Brook (America East),18,13-5,150,8.33,05/25/2015-Final Statistics,2015.0
68,Hofstra (CAA),14,5-9,114,8.14,05/25/2015-Final Statistics,2015.0
-,UMass Lowell (America East),14,1-13,182,13.00,05/25/2015-Final Statistics,2015.0
1,Detroit Mercy (MAAC),14,8-6,212,15.14,05/23/2015,2015.0
2,Providence (Big East),14,5-9,195,13.93,05/23/2015,2015.0
3,Michigan (Big Ten),13,5-8,177,13.62,05/23/2015,2015.0
4,Vermont (America East),16,6-10,215,13.44,05/23/2015,2015.0
5,Jacksonville (SoCon),12,4-8,159,13.25,05/23/2015,2015.0
6,Harvard (Ivy League),14,7-7,185,13.21,05/23/2015,2015.0
7,Georgetown (Big East),16,10-6,211,13.19,05/23/2015,2015.0
8,Virginia (ACC),15,10-5,195,13.00,05/23/2015,2015.0
9,High Point (SoCon),17,10-7,220,12.94,05/23/2015,2015.0
10,Mercer (SoCon),13,5-8,166,12.77,05/23/2015,2015.0
11,Penn St. (Big Ten),14,5-9,176,12.57,05/23/2015,2015.0
12,Furman (SoCon),13,4-9,159,12.23,05/23/2015,2015.0
13,UAlbany (America East),19,16-3,232,12.21,05/23/2015,2015.0
14,Quinnipiac (MAAC),15,7-8,183,12.20,05/23/2015,2015.0
15,Hobart (NEC),14,7-7,169,12.07,05/23/2015,2015.0
16,Brown (Ivy League),17,12-5,203,11.94,05/23/2015,2015.0
17,Hartford (America East),15,7-8,179,11.93,05/23/2015,2015.0
18,Monmouth (MAAC),14,6-8,166,11.86,05/23/2015,2015.0
19,Manhattan (MAAC),15,1-14,175,11.67,05/23/2015,2015.0
20,Boston U. (Patriot),14,6-8,163,11.64,05/23/2015,2015.0
21,Siena (MAAC),14,5-9,162,11.57,05/23/2015,2015.0
22,Delaware (CAA),15,5-10,173,11.53,05/23/2015,2015.0
23,VMI (SoCon),15,1-14,171,11.40,05/23/2015,2015.0
24,NJIT (Independent),12,0-12,136,11.33,05/23/2015,2015.0
25,UMBC (America East),13,5-8,147,11.31,05/23/2015,2015.0
26,Marist (MAAC),18,14-4,203,11.28,05/23/2015,2015.0
27,Bryant (NEC),18,8-10,202,11.22,05/23/2015,2015.0
28,Sacred Heart (NEC),13,6-7,145,11.15,05/23/2015,2015.0
29,North Carolina (ACC),17,13-4,189,11.12,05/23/2015,2015.0
30,Lafayette (Patriot),14,4-10,155,11.07,05/23/2015,2015.0
31,Mount St. Mary's (NEC),15,5-10,166,11.07,05/23/2015,2015.0
32,Duke (ACC),18,12-6,198,11.00,05/23/2015,2015.0
32,Princeton (Ivy League),15,9-6,165,11.00,05/23/2015,2015.0
34,Villanova (Big East),14,6-8,153,10.93,05/23/2015,2015.0
35,Notre Dame (ACC),15,12-3,163,10.87,05/23/2015,2015.0
36,Penn (Ivy League),13,6-7,141,10.85,05/23/2015,2015.0
37,Bellarmine (SoCon),12,4-8,130,10.83,05/23/2015,2015.0
38,Robert Morris (NEC),14,3-11,151,10.79,05/23/2015,2015.0
39,Richmond (SoCon),16,11-5,172,10.75,05/23/2015,2015.0
40,Massachusetts (CAA),15,5-10,161,10.73,05/23/2015,2015.0
41,Marquette (Big East),16,10-6,170,10.63,05/23/2015,2015.0
42,Loyola Maryland (Patriot),15,7-8,157,10.47,05/23/2015,2015.0
42,Fairfield (CAA),15,9-6,157,10.47,05/23/2015,2015.0
44,St. John's (NY) (Big East),14,3-11,146,10.43,05/23/2015,2015.0
45,Syracuse (ACC),16,13-3,166,10.38,05/23/2015,2015.0
46,Dartmouth (Ivy League),13,5-8,132,10.15,05/23/2015,2015.0
47,Canisius (MAAC),15,3-12,152,10.13,05/23/2015,2015.0
48,Lehigh (Patriot),16,7-9,160,10.00,05/23/2015,2015.0
49,Towson (CAA),18,12-6,179,9.94,05/23/2015,2015.0
50,Binghamton (America East),13,4-9,129,9.92,05/23/2015,2015.0
51,Denver (Big East),18,16-2,177,9.83,05/23/2015,2015.0
51,Johns Hopkins (Big Ten),18,11-7,177,9.83,05/23/2015,2015.0
53,Bucknell (Patriot),15,9-6,147,9.80,05/23/2015,2015.0
54,Colgate (Patriot),16,10-6,156,9.75,05/23/2015,2015.0
55,Maryland (Big Ten),18,15-3,174,9.67,05/23/2015,2015.0
56,Saint Joseph's (NEC),17,11-6,162,9.53,05/23/2015,2015.0
57,Ohio St. (Big Ten),19,12-7,181,9.53,05/23/2015,2015.0
58,Air Force (ECAC),15,8-7,142,9.47,05/23/2015,2015.0
58,Drexel (CAA),15,7-8,142,9.47,05/23/2015,2015.0
60,Holy Cross (Patriot),13,6-7,123,9.46,05/23/2015,2015.0
61,Wagner (NEC),13,4-9,121,9.31,05/23/2015,2015.0
62,Navy (Patriot),14,9-5,128,9.14,05/23/2015,2015.0
63,Cornell (Ivy League),16,10-6,145,9.06,05/23/2015,2015.0
64,Rutgers (Big Ten),15,5-10,135,9.00,05/23/2015,2015.0
65,Army West Point (Patriot),17,10-7,150,8.82,05/23/2015,2015.0
66,Yale (Ivy League),16,11-5,135,8.44,05/23/2015,2015.0
67,Stony Brook (America East),18,13-5,150,8.33,05/23/2015,2015.0
68,Hofstra (CAA),14,5-9,114,8.14,05/23/2015,2015.0
-,UMass Lowell (America East),14,1-13,182,13.00,05/23/2015,2015.0
1,Detroit Mercy (MAAC),14,8-6,212,15.14,05/17/2015,2015.0
2,Providence (Big East),14,5-9,195,13.93,05/17/2015,2015.0
3,Michigan (Big Ten),13,5-8,177,13.62,05/17/2015,2015.0
4,Vermont (America East),16,6-10,215,13.44,05/17/2015,2015.0
5,Jacksonville (SoCon),12,4-8,159,13.25,05/17/2015,2015.0
6,Harvard (Ivy League),14,7-7,185,13.21,05/17/2015,2015.0
7,Georgetown (Big East),16,10-6,211,13.19,05/17/2015,2015.0
8,Virginia (ACC),15,10-5,195,13.00,05/17/2015,2015.0
9,High Point (SoCon),17,10-7,220,12.94,05/17/2015,2015.0
10,Mercer (SoCon),13,5-8,166,12.77,05/17/2015,2015.0
11,Penn St. (Big Ten),14,5-9,176,12.57,05/17/2015,2015.0
12,Furman (SoCon),13,4-9,159,12.23,05/17/2015,2015.0
13,UAlbany (America East),19,16-3,232,12.21,05/17/2015,2015.0
14,Quinnipiac (MAAC),15,7-8,183,12.20,05/17/2015,2015.0
15,Hobart (NEC),14,7-7,169,12.07,05/17/2015,2015.0
16,Brown (Ivy League),17,12-5,203,11.94,05/17/2015,2015.0
17,Hartford (America East),15,7-8,179,11.93,05/17/2015,2015.0
18,Monmouth (MAAC),14,6-8,166,11.86,05/17/2015,2015.0
19,Manhattan (MAAC),15,1-14,175,11.67,05/17/2015,2015.0
20,Boston U. (Patriot),14,6-8,163,11.64,05/17/2015,2015.0
21,Siena (MAAC),14,5-9,162,11.57,05/17/2015,2015.0
22,Delaware (CAA),15,5-10,173,11.53,05/17/2015,2015.0
23,VMI (SoCon),15,1-14,171,11.40,05/17/2015,2015.0
24,NJIT (Independent),12,0-12,136,11.33,05/17/2015,2015.0
25,UMBC (America East),13,5-8,147,11.31,05/17/2015,2015.0
26,Marist (MAAC),18,14-4,203,11.28,05/17/2015,2015.0
27,Bryant (NEC),18,8-10,202,11.22,05/17/2015,2015.0
28,Sacred Heart (NEC),13,6-7,145,11.15,05/17/2015,2015.0
29,North Carolina (ACC),17,13-4,189,11.12,05/17/2015,2015.0
30,Lafayette (Patriot),14,4-10,155,11.07,05/17/2015,2015.0
31,Mount St. Mary's (NEC),15,5-10,166,11.07,05/17/2015,2015.0
32,Princeton (Ivy League),15,9-6,165,11.00,05/17/2015,2015.0
32,Duke (ACC),18,12-6,198,11.00,05/17/2015,2015.0
34,Villanova (Big East),14,6-8,153,10.93,05/17/2015,2015.0
35,Notre Dame (ACC),14,12-2,152,10.86,05/17/2015,2015.0
36,Penn (Ivy League),13,6-7,141,10.85,05/17/2015,2015.0
37,Bellarmine (SoCon),12,4-8,130,10.83,05/17/2015,2015.0
38,Robert Morris (NEC),14,3-11,151,10.79,05/17/2015,2015.0
39,Richmond (SoCon),16,11-5,172,10.75,05/17/2015,2015.0
40,Massachusetts (CAA),15,5-10,161,10.73,05/17/2015,2015.0
41,Marquette (Big East),16,10-6,170,10.63,05/17/2015,2015.0
42,Loyola Maryland (Patriot),15,7-8,157,10.47,05/17/2015,2015.0
42,Fairfield (CAA),15,9-6,157,10.47,05/17/2015,2015.0
44,St. John's (NY) (Big East),14,3-11,146,10.43,05/17/2015,2015.0
45,Syracuse (ACC),16,13-3,166,10.38,05/17/2015,2015.0
46,Dartmouth (Ivy League),13,5-8,132,10.15,05/17/2015,2015.0
47,Canisius (MAAC),15,3-12,152,10.13,05/17/2015,2015.0
48,Lehigh (Patriot),16,7-9,160,10.00,05/17/2015,2015.0
49,Towson (CAA),18,12-6,179,9.94,05/17/2015,2015.0
50,Binghamton (America East),13,4-9,129,9.92,05/17/2015,2015.0
51,Maryland (Big Ten),17,14-3,168,9.88,05/17/2015,2015.0
52,Bucknell (Patriot),15,9-6,147,9.80,05/17/2015,2015.0
53,Colgate (Patriot),16,10-6,156,9.75,05/17/2015,2015.0
54,Johns Hopkins (Big Ten),17,11-6,164,9.65,05/17/2015,2015.0
54,Denver (Big East),17,15-2,164,9.65,05/17/2015,2015.0
56,Saint Joseph's (NEC),17,11-6,162,9.53,05/17/2015,2015.0
57,Ohio St. (Big Ten),19,12-7,181,9.53,05/17/2015,2015.0
58,Drexel (CAA),15,7-8,142,9.47,05/17/2015,2015.0
58,Air Force (ECAC),15,8-7,142,9.47,05/17/2015,2015.0
60,Holy Cross (Patriot),13,6-7,123,9.46,05/17/2015,2015.0
61,Wagner (NEC),13,4-9,121,9.31,05/17/2015,2015.0
62,Navy (Patriot),14,9-5,128,9.14,05/17/2015,2015.0
63,Cornell (Ivy League),16,10-6,145,9.06,05/17/2015,2015.0
64,Rutgers (Big Ten),15,5-10,135,9.00,05/17/2015,2015.0
65,Army West Point (Patriot),17,10-7,150,8.82,05/17/2015,2015.0
66,Yale (Ivy League),16,11-5,135,8.44,05/17/2015,2015.0
67,Stony Brook (America East),18,13-5,150,8.33,05/17/2015,2015.0
68,Hofstra (CAA),14,5-9,114,8.14,05/17/2015,2015.0
-,UMass Lowell (America East),14,1-13,182,13.00,05/17/2015,2015.0
1,Detroit Mercy (MAAC),14,8-6,212,15.14,05/16/2015,2015.0
2,Providence (Big East),14,5-9,195,13.93,05/16/2015,2015.0
3,Michigan (Big Ten),13,5-8,177,13.62,05/16/2015,2015.0
4,Vermont (America East),16,6-10,215,13.44,05/16/2015,2015.0
5,Jacksonville (SoCon),12,4-8,159,13.25,05/16/2015,2015.0
6,Harvard (Ivy League),14,7-7,185,13.21,05/16/2015,2015.0
7,Georgetown (Big East),16,10-6,211,13.19,05/16/2015,2015.0
8,Virginia (ACC),15,10-5,195,13.00,05/16/2015,2015.0
9,High Point (SoCon),17,10-7,220,12.94,05/16/2015,2015.0
10,Mercer (SoCon),13,5-8,166,12.77,05/16/2015,2015.0
11,Penn St. (Big Ten),14,5-9,176,12.57,05/16/2015,2015.0
12,Furman (SoCon),13,4-9,159,12.23,05/16/2015,2015.0
13,UAlbany (America East),19,16-3,232,12.21,05/16/2015,2015.0
14,Quinnipiac (MAAC),15,7-8,183,12.20,05/16/2015,2015.0
15,Hobart (NEC),14,7-7,169,12.07,05/16/2015,2015.0
16,Brown (Ivy League),17,12-5,203,11.94,05/16/2015,2015.0
17,Hartford (America East),15,7-8,179,11.93,05/16/2015,2015.0
18,Monmouth (MAAC),14,6-8,166,11.86,05/16/2015,2015.0
19,Manhattan (MAAC),15,1-14,175,11.67,05/16/2015,2015.0
20,Boston U. (Patriot),14,6-8,163,11.64,05/16/2015,2015.0
21,Siena (MAAC),14,5-9,162,11.57,05/16/2015,2015.0
22,Delaware (CAA),15,5-10,173,11.53,05/16/2015,2015.0
23,VMI (SoCon),15,1-14,171,11.40,05/16/2015,2015.0
24,NJIT (Independent),12,0-12,136,11.33,05/16/2015,2015.0
25,North Carolina (ACC),16,13-3,181,11.31,05/16/2015,2015.0
26,UMBC (America East),13,5-8,147,11.31,05/16/2015,2015.0
27,Marist (MAAC),18,14-4,203,11.28,05/16/2015,2015.0
28,Bryant (NEC),18,8-10,202,11.22,05/16/2015,2015.0
29,Sacred Heart (NEC),13,6-7,145,11.15,05/16/2015,2015.0
30,Lafayette (Patriot),14,4-10,155,11.07,05/16/2015,2015.0
31,Mount St. Mary's (NEC),15,5-10,166,11.07,05/16/2015,2015.0
32,Princeton (Ivy League),15,9-6,165,11.00,05/16/2015,2015.0
32,Duke (ACC),18,12-6,198,11.00,05/16/2015,2015.0
34,Villanova (Big East),14,6-8,153,10.93,05/16/2015,2015.0
35,Notre Dame (ACC),14,12-2,152,10.86,05/16/2015,2015.0
36,Penn (Ivy League),13,6-7,141,10.85,05/16/2015,2015.0
37,Bellarmine (SoCon),12,4-8,130,10.83,05/16/2015,2015.0
38,Robert Morris (NEC),14,3-11,151,10.79,05/16/2015,2015.0
39,Richmond (SoCon),16,11-5,172,10.75,05/16/2015,2015.0
40,Massachusetts (CAA),15,5-10,161,10.73,05/16/2015,2015.0
41,Marquette (Big East),16,10-6,170,10.63,05/16/2015,2015.0
42,Loyola Maryland (Patriot),15,7-8,157,10.47,05/16/2015,2015.0
42,Fairfield (CAA),15,9-6,157,10.47,05/16/2015,2015.0
44,St. John's (NY) (Big East),14,3-11,146,10.43,05/16/2015,2015.0
45,Dartmouth (Ivy League),13,5-8,132,10.15,05/16/2015,2015.0
46,Syracuse (ACC),15,13-2,152,10.13,05/16/2015,2015.0
46,Canisius (MAAC),15,3-12,152,10.13,05/16/2015,2015.0
48,Lehigh (Patriot),16,7-9,160,10.00,05/16/2015,2015.0
49,Towson (CAA),18,12-6,179,9.94,05/16/2015,2015.0
50,Binghamton (America East),13,4-9,129,9.92,05/16/2015,2015.0
51,Bucknell (Patriot),15,9-6,147,9.80,05/16/2015,2015.0
52,Colgate (Patriot),16,10-6,156,9.75,05/16/2015,2015.0
53,Denver (Big East),17,15-2,164,9.65,05/16/2015,2015.0
54,Maryland (Big Ten),16,13-3,153,9.56,05/16/2015,2015.0
55,Saint Joseph's (NEC),17,11-6,162,9.53,05/16/2015,2015.0
56,Ohio St. (Big Ten),19,12-7,181,9.53,05/16/2015,2015.0
57,Drexel (CAA),15,7-8,142,9.47,05/16/2015,2015.0
57,Air Force (ECAC),15,8-7,142,9.47,05/16/2015,2015.0
59,Holy Cross (Patriot),13,6-7,123,9.46,05/16/2015,2015.0
60,Johns Hopkins (Big Ten),16,10-6,149,9.31,05/16/2015,2015.0
61,Wagner (NEC),13,4-9,121,9.31,05/16/2015,2015.0
62,Navy (Patriot),14,9-5,128,9.14,05/16/2015,2015.0
63,Cornell (Ivy League),16,10-6,145,9.06,05/16/2015,2015.0
64,Rutgers (Big Ten),15,5-10,135,9.00,05/16/2015,2015.0
65,Army West Point (Patriot),17,10-7,150,8.82,05/16/2015,2015.0
66,Yale (Ivy League),16,11-5,135,8.44,05/16/2015,2015.0
67,Stony Brook (America East),18,13-5,150,8.33,05/16/2015,2015.0
68,Hofstra (CAA),14,5-9,114,8.14,05/16/2015,2015.0
-,UMass Lowell (America East),14,1-13,182,13.00,05/16/2015,2015.0
1,Detroit Mercy (MAAC),14,8-6,212,15.14,05/10/2015,2015.0
2,Providence (Big East),14,5-9,195,13.93,05/10/2015,2015.0
3,Michigan (Big Ten),13,5-8,177,13.62,05/10/2015,2015.0
4,Vermont (America East),16,6-10,215,13.44,05/10/2015,2015.0
5,Jacksonville (SoCon),12,4-8,159,13.25,05/10/2015,2015.0
6,Harvard (Ivy League),14,7-7,185,13.21,05/10/2015,2015.0
7,Georgetown (Big East),16,10-6,211,13.19,05/10/2015,2015.0
8,Virginia (ACC),15,10-5,195,13.00,05/10/2015,2015.0
9,High Point (SoCon),17,10-7,220,12.94,05/10/2015,2015.0
10,Mercer (SoCon),13,5-8,166,12.77,05/10/2015,2015.0
11,Penn St. (Big Ten),14,5-9,176,12.57,05/10/2015,2015.0
12,Furman (SoCon),13,4-9,159,12.23,05/10/2015,2015.0
13,Quinnipiac (MAAC),15,7-8,183,12.20,05/10/2015,2015.0
14,UAlbany (America East),18,16-2,218,12.11,05/10/2015,2015.0
15,Hobart (NEC),14,7-7,169,12.07,05/10/2015,2015.0
16,Brown (Ivy League),17,12-5,203,11.94,05/10/2015,2015.0
17,Hartford (America East),15,7-8,179,11.93,05/10/2015,2015.0
18,Monmouth (MAAC),14,6-8,166,11.86,05/10/2015,2015.0
19,Manhattan (MAAC),15,1-14,175,11.67,05/10/2015,2015.0
20,Boston U. (Patriot),14,6-8,163,11.64,05/10/2015,2015.0
21,Siena (MAAC),14,5-9,162,11.57,05/10/2015,2015.0
22,Delaware (CAA),15,5-10,173,11.53,05/10/2015,2015.0
23,VMI (SoCon),15,1-14,171,11.40,05/10/2015,2015.0
24,NJIT (Independent),12,0-12,136,11.33,05/10/2015,2015.0
25,North Carolina (ACC),16,13-3,181,11.31,05/10/2015,2015.0
26,UMBC (America East),13,5-8,147,11.31,05/10/2015,2015.0
27,Marist (MAAC),18,14-4,203,11.28,05/10/2015,2015.0
28,Bryant (NEC),18,8-10,202,11.22,05/10/2015,2015.0
29,Sacred Heart (NEC),13,6-7,145,11.15,05/10/2015,2015.0
30,Lafayette (Patriot),14,4-10,155,11.07,05/10/2015,2015.0
31,Mount St. Mary's (NEC),15,5-10,166,11.07,05/10/2015,2015.0
32,Duke (ACC),18,12-6,198,11.00,05/10/2015,2015.0
32,Princeton (Ivy League),15,9-6,165,11.00,05/10/2015,2015.0
34,Villanova (Big East),14,6-8,153,10.93,05/10/2015,2015.0
35,Notre Dame (ACC),13,11-2,142,10.92,05/10/2015,2015.0
36,Penn (Ivy League),13,6-7,141,10.85,05/10/2015,2015.0
37,Bellarmine (SoCon),12,4-8,130,10.83,05/10/2015,2015.0
38,Robert Morris (NEC),14,3-11,151,10.79,05/10/2015,2015.0
39,Richmond (SoCon),16,11-5,172,10.75,05/10/2015,2015.0
40,Massachusetts (CAA),15,5-10,161,10.73,05/10/2015,2015.0
41,Marquette (Big East),16,10-6,170,10.63,05/10/2015,2015.0
42,Loyola Maryland (Patriot),15,7-8,157,10.47,05/10/2015,2015.0
42,Fairfield (CAA),15,9-6,157,10.47,05/10/2015,2015.0
44,St. John's (NY) (Big East),14,3-11,146,10.43,05/10/2015,2015.0
45,Dartmouth (Ivy League),13,5-8,132,10.15,05/10/2015,2015.0
46,Syracuse (ACC),15,13-2,152,10.13,05/10/2015,2015.0
46,Canisius (MAAC),15,3-12,152,10.13,05/10/2015,2015.0
48,Lehigh (Patriot),16,7-9,160,10.00,05/10/2015,2015.0
49,Towson (CAA),18,12-6,179,9.94,05/10/2015,2015.0
50,Binghamton (America East),13,4-9,129,9.92,05/10/2015,2015.0
51,Bucknell (Patriot),15,9-6,147,9.80,05/10/2015,2015.0
52,Ohio St. (Big Ten),18,12-6,176,9.78,05/10/2015,2015.0
53,Colgate (Patriot),16,10-6,156,9.75,05/10/2015,2015.0
54,Maryland (Big Ten),16,13-3,153,9.56,05/10/2015,2015.0
55,Saint Joseph's (NEC),17,11-6,162,9.53,05/10/2015,2015.0
56,Drexel (CAA),15,7-8,142,9.47,05/10/2015,2015.0
56,Air Force (ECAC),15,8-7,142,9.47,05/10/2015,2015.0
58,Holy Cross (Patriot),13,6-7,123,9.46,05/10/2015,2015.0
59,Denver (Big East),16,14-2,151,9.44,05/10/2015,2015.0
60,Johns Hopkins (Big Ten),16,10-6,149,9.31,05/10/2015,2015.0
61,Wagner (NEC),13,4-9,121,9.31,05/10/2015,2015.0
62,Navy (Patriot),14,9-5,128,9.14,05/10/2015,2015.0
63,Cornell (Ivy League),16,10-6,145,9.06,05/10/2015,2015.0
64,Rutgers (Big Ten),15,5-10,135,9.00,05/10/2015,2015.0
65,Army West Point (Patriot),17,10-7,150,8.82,05/10/2015,2015.0
66,Yale (Ivy League),16,11-5,135,8.44,05/10/2015,2015.0
67,Stony Brook (America East),18,13-5,150,8.33,05/10/2015,2015.0
68,Hofstra (CAA),14,5-9,114,8.14,05/10/2015,2015.0
-,UMass Lowell (America East),14,1-13,182,13.00,05/10/2015,2015.0
1,Detroit Mercy (MAAC),14,8-6,212,15.14,05/09/2015,2015.0
2,Providence (Big East),14,5-9,195,13.93,05/09/2015,2015.0
3,Michigan (Big Ten),13,5-8,177,13.62,05/09/2015,2015.0
4,Virginia (ACC),14,10-4,189,13.50,05/09/2015,2015.0
5,Vermont (America East),16,6-10,215,13.44,05/09/2015,2015.0
6,Jacksonville (SoCon),12,4-8,159,13.25,05/09/2015,2015.0
7,Harvard (Ivy League),14,7-7,185,13.21,05/09/2015,2015.0
8,Georgetown (Big East),16,10-6,211,13.19,05/09/2015,2015.0
9,High Point (SoCon),17,10-7,220,12.94,05/09/2015,2015.0
10,Mercer (SoCon),13,5-8,166,12.77,05/09/2015,2015.0
11,Penn St. (Big Ten),14,5-9,176,12.57,05/09/2015,2015.0
12,Furman (SoCon),13,4-9,159,12.23,05/09/2015,2015.0
13,Quinnipiac (MAAC),15,7-8,183,12.20,05/09/2015,2015.0
14,Brown (Ivy League),16,12-4,194,12.13,05/09/2015,2015.0
15,Hobart (NEC),14,7-7,169,12.07,05/09/2015,2015.0
16,UAlbany (America East),18,16-2,217,12.06,05/09/2015,2015.0
17,Hartford (America East),15,7-8,179,11.93,05/09/2015,2015.0
18,Monmouth (MAAC),14,6-8,166,11.86,05/09/2015,2015.0
19,Manhattan (MAAC),15,1-14,175,11.67,05/09/2015,2015.0
20,Boston U. (Patriot),14,6-8,163,11.64,05/09/2015,2015.0
21,Siena (MAAC),14,5-9,162,11.57,05/09/2015,2015.0
22,Delaware (CAA),15,5-10,173,11.53,05/09/2015,2015.0
23,VMI (SoCon),15,1-14,171,11.40,05/09/2015,2015.0
24,NJIT (Independent),12,0-12,136,11.33,05/09/2015,2015.0
24,North Carolina (ACC),15,12-3,170,11.33,05/09/2015,2015.0
