Rank,Team,Games,W-L,FOs Won,FOs Lost,TM FOT,Pct.,Date,Academic Year
1,Bryant (NEC),18,8-10,242,119,361,0.670,05/25/2015-Final Statistics,2015.0
2,Denver (Big East),19,17-2,320,161,481,0.665,05/25/2015-Final Statistics,2015.0
3,Syracuse (ACC),16,13-3,292,149,441,0.662,05/25/2015-Final Statistics,2015.0
4,Cornell (Ivy League),16,10-6,260,136,396,0.657,05/25/2015-Final Statistics,2015.0
5,Rutgers (Big Ten),15,5-10,235,128,363,0.647,05/25/2015-Final Statistics,2015.0
6,Boston U. (Patriot),14,6-8,216,123,339,0.637,05/25/2015-Final Statistics,2015.0
7,Hofstra (CAA),14,5-9,177,115,292,0.606,05/25/2015-Final Statistics,2015.0
8,Navy (Patriot),14,9-5,183,122,305,0.600,05/25/2015-Final Statistics,2015.0
9,Brown (Ivy League),17,12-5,277,195,472,0.587,05/25/2015-Final Statistics,2015.0
10,Ohio St. (Big Ten),19,12-7,248,184,432,0.574,05/25/2015-Final Statistics,2015.0
11,Army West Point (Patriot),17,10-7,220,166,386,0.570,05/25/2015-Final Statistics,2015.0
12,Fairfield (CAA),15,9-6,173,135,308,0.562,05/25/2015-Final Statistics,2015.0
13,Duke (ACC),18,12-6,296,231,527,0.562,05/25/2015-Final Statistics,2015.0
14,Dartmouth (Ivy League),13,5-8,178,142,320,0.556,05/25/2015-Final Statistics,2015.0
15,Loyola Maryland (Patriot),15,7-8,206,167,373,0.552,05/25/2015-Final Statistics,2015.0
16,High Point (SoCon),17,10-7,222,182,404,0.550,05/25/2015-Final Statistics,2015.0
17,Drexel (CAA),15,7-8,177,151,328,0.540,05/25/2015-Final Statistics,2015.0
18,Hartford (America East),15,7-8,196,171,367,0.534,05/25/2015-Final Statistics,2015.0
19,Stony Brook (America East),18,13-5,267,236,503,0.531,05/25/2015-Final Statistics,2015.0
20,Binghamton (America East),13,4-9,169,150,319,0.530,05/25/2015-Final Statistics,2015.0
21,Marist (MAAC),18,14-4,224,200,424,0.528,05/25/2015-Final Statistics,2015.0
22,Jacksonville (SoCon),12,4-8,154,140,294,0.524,05/25/2015-Final Statistics,2015.0
23,Yale (Ivy League),16,11-5,190,173,363,0.523,05/25/2015-Final Statistics,2015.0
24,Maryland (Big Ten),19,15-4,205,187,392,0.523,05/25/2015-Final Statistics,2015.0
25,Johns Hopkins (Big Ten),18,11-7,250,229,479,0.522,05/25/2015-Final Statistics,2015.0
26,Penn St. (Big Ten),14,5-9,164,153,317,0.517,05/25/2015-Final Statistics,2015.0
27,Sacred Heart (NEC),13,6-7,158,148,306,0.516,05/25/2015-Final Statistics,2015.0
28,Mercer (SoCon),13,5-8,151,143,294,0.514,05/25/2015-Final Statistics,2015.0
29,Saint Joseph's (NEC),17,11-6,192,183,375,0.512,05/25/2015-Final Statistics,2015.0
30,Vermont (America East),16,6-10,245,234,479,0.511,05/25/2015-Final Statistics,2015.0
31,Towson (CAA),18,12-6,182,175,357,0.510,05/25/2015-Final Statistics,2015.0
32,Air Force (ECAC),15,8-7,163,160,323,0.505,05/25/2015-Final Statistics,2015.0
33,Notre Dame (ACC),15,12-3,195,195,390,0.500,05/25/2015-Final Statistics,2015.0
34,Richmond (SoCon),16,11-5,180,184,364,0.495,05/25/2015-Final Statistics,2015.0
35,North Carolina (ACC),17,13-4,234,242,476,0.492,05/25/2015-Final Statistics,2015.0
36,Siena (MAAC),14,5-9,164,174,338,0.485,05/25/2015-Final Statistics,2015.0
37,Mount St. Mary's (NEC),15,5-10,142,154,296,0.480,05/25/2015-Final Statistics,2015.0
38,Bellarmine (SoCon),12,4-8,131,143,274,0.478,05/25/2015-Final Statistics,2015.0
39,Villanova (Big East),14,6-8,155,170,325,0.477,05/25/2015-Final Statistics,2015.0
40,Penn (Ivy League),13,6-7,156,172,328,0.476,05/25/2015-Final Statistics,2015.0
41,Holy Cross (Patriot),13,6-7,147,167,314,0.468,05/25/2015-Final Statistics,2015.0
42,VMI (SoCon),15,1-14,167,191,358,0.466,05/25/2015-Final Statistics,2015.0
43,Delaware (CAA),15,5-10,160,186,346,0.462,05/25/2015-Final Statistics,2015.0
44,Virginia (ACC),15,10-5,184,214,398,0.462,05/25/2015-Final Statistics,2015.0
45,UAlbany (America East),19,16-3,265,314,579,0.458,05/25/2015-Final Statistics,2015.0
46,Lehigh (Patriot),16,7-9,170,202,372,0.457,05/25/2015-Final Statistics,2015.0
47,Robert Morris (NEC),14,3-11,155,185,340,0.456,05/25/2015-Final Statistics,2015.0
48,Canisius (MAAC),15,3-12,152,184,336,0.452,05/25/2015-Final Statistics,2015.0
49,St. John's (NY) (Big East),14,3-11,157,192,349,0.450,05/25/2015-Final Statistics,2015.0
50,Georgetown (Big East),16,10-6,186,228,414,0.449,05/25/2015-Final Statistics,2015.0
51,Detroit Mercy (MAAC),14,8-6,148,183,331,0.447,05/25/2015-Final Statistics,2015.0
52,Michigan (Big Ten),13,5-8,146,181,327,0.446,05/25/2015-Final Statistics,2015.0
53,Princeton (Ivy League),15,9-6,173,219,392,0.441,05/25/2015-Final Statistics,2015.0
54,UMBC (America East),13,5-8,124,160,284,0.437,05/25/2015-Final Statistics,2015.0
55,NJIT (Independent),12,0-12,107,140,247,0.433,05/25/2015-Final Statistics,2015.0
56,Marquette (Big East),16,10-6,168,221,389,0.432,05/25/2015-Final Statistics,2015.0
57,Bucknell (Patriot),15,9-6,149,197,346,0.431,05/25/2015-Final Statistics,2015.0
58,Massachusetts (CAA),15,5-10,153,204,357,0.429,05/25/2015-Final Statistics,2015.0
58,Wagner (NEC),13,4-9,105,140,245,0.429,05/25/2015-Final Statistics,2015.0
60,Harvard (Ivy League),14,7-7,165,223,388,0.425,05/25/2015-Final Statistics,2015.0
61,Quinnipiac (MAAC),15,7-8,160,217,377,0.424,05/25/2015-Final Statistics,2015.0
62,Furman (SoCon),13,4-9,107,148,255,0.420,05/25/2015-Final Statistics,2015.0
63,Monmouth (MAAC),14,6-8,99,147,246,0.402,05/25/2015-Final Statistics,2015.0
64,Manhattan (MAAC),15,1-14,136,203,339,0.401,05/25/2015-Final Statistics,2015.0
65,Lafayette (Patriot),14,4-10,133,208,341,0.390,05/25/2015-Final Statistics,2015.0
66,Hobart (NEC),14,7-7,115,182,297,0.387,05/25/2015-Final Statistics,2015.0
67,Providence (Big East),14,5-9,119,192,311,0.383,05/25/2015-Final Statistics,2015.0
68,Colgate (Patriot),16,10-6,142,234,376,0.378,05/25/2015-Final Statistics,2015.0
-,UMass Lowell (America East),14,1-13,75,272,347,0.216,05/25/2015-Final Statistics,2015.0
1,Denver (Big East),18,16-2,310,152,462,0.671,05/23/2015,2015.0
2,Bryant (NEC),18,8-10,242,119,361,0.670,05/23/2015,2015.0
3,Syracuse (ACC),16,13-3,292,149,441,0.662,05/23/2015,2015.0
4,Cornell (Ivy League),16,10-6,260,136,396,0.657,05/23/2015,2015.0
5,Rutgers (Big Ten),15,5-10,235,128,363,0.647,05/23/2015,2015.0
6,Boston U. (Patriot),14,6-8,216,123,339,0.637,05/23/2015,2015.0
7,Hofstra (CAA),14,5-9,177,115,292,0.606,05/23/2015,2015.0
8,Navy (Patriot),14,9-5,183,122,305,0.600,05/23/2015,2015.0
9,Brown (Ivy League),17,12-5,277,195,472,0.587,05/23/2015,2015.0
10,Ohio St. (Big Ten),19,12-7,248,184,432,0.574,05/23/2015,2015.0
11,Army West Point (Patriot),17,10-7,220,166,386,0.570,05/23/2015,2015.0
12,Fairfield (CAA),15,9-6,173,135,308,0.562,05/23/2015,2015.0
13,Duke (ACC),18,12-6,296,231,527,0.562,05/23/2015,2015.0
14,Dartmouth (Ivy League),13,5-8,178,142,320,0.556,05/23/2015,2015.0
15,Loyola Maryland (Patriot),15,7-8,206,167,373,0.552,05/23/2015,2015.0
16,High Point (SoCon),17,10-7,222,182,404,0.550,05/23/2015,2015.0
17,Drexel (CAA),15,7-8,177,151,328,0.540,05/23/2015,2015.0
18,Hartford (America East),15,7-8,196,171,367,0.534,05/23/2015,2015.0
19,Stony Brook (America East),18,13-5,267,236,503,0.531,05/23/2015,2015.0
20,Binghamton (America East),13,4-9,169,150,319,0.530,05/23/2015,2015.0
21,Marist (MAAC),18,14-4,224,200,424,0.528,05/23/2015,2015.0
22,Maryland (Big Ten),18,15-3,196,177,373,0.525,05/23/2015,2015.0
23,Jacksonville (SoCon),12,4-8,154,140,294,0.524,05/23/2015,2015.0
24,Yale (Ivy League),16,11-5,190,173,363,0.523,05/23/2015,2015.0
25,Johns Hopkins (Big Ten),18,11-7,250,229,479,0.522,05/23/2015,2015.0
26,Penn St. (Big Ten),14,5-9,164,153,317,0.517,05/23/2015,2015.0
27,Sacred Heart (NEC),13,6-7,158,148,306,0.516,05/23/2015,2015.0
28,Mercer (SoCon),13,5-8,151,143,294,0.514,05/23/2015,2015.0
29,Saint Joseph's (NEC),17,11-6,192,183,375,0.512,05/23/2015,2015.0
30,Vermont (America East),16,6-10,245,234,479,0.511,05/23/2015,2015.0
31,Towson (CAA),18,12-6,182,175,357,0.510,05/23/2015,2015.0
32,Air Force (ECAC),15,8-7,163,160,323,0.505,05/23/2015,2015.0
33,Notre Dame (ACC),15,12-3,195,195,390,0.500,05/23/2015,2015.0
34,Richmond (SoCon),16,11-5,180,184,364,0.495,05/23/2015,2015.0
35,North Carolina (ACC),17,13-4,234,242,476,0.492,05/23/2015,2015.0
36,Siena (MAAC),14,5-9,164,174,338,0.485,05/23/2015,2015.0
37,Mount St. Mary's (NEC),15,5-10,142,154,296,0.480,05/23/2015,2015.0
38,Bellarmine (SoCon),12,4-8,131,143,274,0.478,05/23/2015,2015.0
39,Villanova (Big East),14,6-8,155,170,325,0.477,05/23/2015,2015.0
40,Penn (Ivy League),13,6-7,156,172,328,0.476,05/23/2015,2015.0
41,Holy Cross (Patriot),13,6-7,147,167,314,0.468,05/23/2015,2015.0
42,VMI (SoCon),15,1-14,167,191,358,0.466,05/23/2015,2015.0
43,Delaware (CAA),15,5-10,160,186,346,0.462,05/23/2015,2015.0
44,Virginia (ACC),15,10-5,184,214,398,0.462,05/23/2015,2015.0
45,UAlbany (America East),19,16-3,265,314,579,0.458,05/23/2015,2015.0
46,Lehigh (Patriot),16,7-9,170,202,372,0.457,05/23/2015,2015.0
47,Robert Morris (NEC),14,3-11,155,185,340,0.456,05/23/2015,2015.0
48,Canisius (MAAC),15,3-12,152,184,336,0.452,05/23/2015,2015.0
49,St. John's (NY) (Big East),14,3-11,157,192,349,0.450,05/23/2015,2015.0
50,Georgetown (Big East),16,10-6,186,228,414,0.449,05/23/2015,2015.0
51,Detroit Mercy (MAAC),14,8-6,148,183,331,0.447,05/23/2015,2015.0
52,Michigan (Big Ten),13,5-8,146,181,327,0.446,05/23/2015,2015.0
53,Princeton (Ivy League),15,9-6,173,219,392,0.441,05/23/2015,2015.0
54,UMBC (America East),13,5-8,124,160,284,0.437,05/23/2015,2015.0
55,NJIT (Independent),12,0-12,107,140,247,0.433,05/23/2015,2015.0
56,Marquette (Big East),16,10-6,168,221,389,0.432,05/23/2015,2015.0
57,Bucknell (Patriot),15,9-6,149,197,346,0.431,05/23/2015,2015.0
58,Massachusetts (CAA),15,5-10,153,204,357,0.429,05/23/2015,2015.0
58,Wagner (NEC),13,4-9,105,140,245,0.429,05/23/2015,2015.0
60,Harvard (Ivy League),14,7-7,165,223,388,0.425,05/23/2015,2015.0
61,Quinnipiac (MAAC),15,7-8,160,217,377,0.424,05/23/2015,2015.0
62,Furman (SoCon),13,4-9,107,148,255,0.420,05/23/2015,2015.0
63,Monmouth (MAAC),14,6-8,99,147,246,0.402,05/23/2015,2015.0
64,Manhattan (MAAC),15,1-14,136,203,339,0.401,05/23/2015,2015.0
65,Lafayette (Patriot),14,4-10,133,208,341,0.390,05/23/2015,2015.0
66,Hobart (NEC),14,7-7,115,182,297,0.387,05/23/2015,2015.0
67,Providence (Big East),14,5-9,119,192,311,0.383,05/23/2015,2015.0
68,Colgate (Patriot),16,10-6,142,234,376,0.378,05/23/2015,2015.0
-,UMass Lowell (America East),14,1-13,75,272,347,0.216,05/23/2015,2015.0
1,Denver (Big East),17,15-2,295,143,438,0.674,05/17/2015,2015.0
2,Bryant (NEC),18,8-10,242,119,361,0.670,05/17/2015,2015.0
3,Syracuse (ACC),16,13-3,292,149,441,0.662,05/17/2015,2015.0
4,Cornell (Ivy League),16,10-6,260,136,396,0.657,05/17/2015,2015.0
5,Rutgers (Big Ten),15,5-10,235,128,363,0.647,05/17/2015,2015.0
6,Boston U. (Patriot),14,6-8,216,123,339,0.637,05/17/2015,2015.0
7,Hofstra (CAA),14,5-9,177,115,292,0.606,05/17/2015,2015.0
8,Navy (Patriot),14,9-5,183,122,305,0.600,05/17/2015,2015.0
9,Brown (Ivy League),17,12-5,277,195,472,0.587,05/17/2015,2015.0
10,Ohio St. (Big Ten),19,12-7,248,184,432,0.574,05/17/2015,2015.0
11,Army West Point (Patriot),17,10-7,220,166,386,0.570,05/17/2015,2015.0
12,Fairfield (CAA),15,9-6,173,135,308,0.562,05/17/2015,2015.0
13,Duke (ACC),18,12-6,296,231,527,0.562,05/17/2015,2015.0
14,Dartmouth (Ivy League),13,5-8,178,142,320,0.556,05/17/2015,2015.0
15,Loyola Maryland (Patriot),15,7-8,206,167,373,0.552,05/17/2015,2015.0
16,High Point (SoCon),17,10-7,222,182,404,0.550,05/17/2015,2015.0
17,Drexel (CAA),15,7-8,177,151,328,0.540,05/17/2015,2015.0
18,Hartford (America East),15,7-8,196,171,367,0.534,05/17/2015,2015.0
19,Stony Brook (America East),18,13-5,267,236,503,0.531,05/17/2015,2015.0
20,Binghamton (America East),13,4-9,169,150,319,0.530,05/17/2015,2015.0
21,Marist (MAAC),18,14-4,224,200,424,0.528,05/17/2015,2015.0
22,Johns Hopkins (Big Ten),17,11-6,238,215,453,0.525,05/17/2015,2015.0
23,Maryland (Big Ten),17,14-3,182,165,347,0.524,05/17/2015,2015.0
24,Jacksonville (SoCon),12,4-8,154,140,294,0.524,05/17/2015,2015.0
25,Yale (Ivy League),16,11-5,190,173,363,0.523,05/17/2015,2015.0
26,Penn St. (Big Ten),14,5-9,164,153,317,0.517,05/17/2015,2015.0
27,Sacred Heart (NEC),13,6-7,158,148,306,0.516,05/17/2015,2015.0
28,Mercer (SoCon),13,5-8,151,143,294,0.514,05/17/2015,2015.0
29,Saint Joseph's (NEC),17,11-6,192,183,375,0.512,05/17/2015,2015.0
30,Vermont (America East),16,6-10,245,234,479,0.511,05/17/2015,2015.0
31,Towson (CAA),18,12-6,182,175,357,0.510,05/17/2015,2015.0
32,Notre Dame (ACC),14,12-2,186,180,366,0.508,05/17/2015,2015.0
33,Air Force (ECAC),15,8-7,163,160,323,0.505,05/17/2015,2015.0
34,Richmond (SoCon),16,11-5,180,184,364,0.495,05/17/2015,2015.0
35,North Carolina (ACC),17,13-4,234,242,476,0.492,05/17/2015,2015.0
36,Siena (MAAC),14,5-9,164,174,338,0.485,05/17/2015,2015.0
37,Mount St. Mary's (NEC),15,5-10,142,154,296,0.480,05/17/2015,2015.0
38,Bellarmine (SoCon),12,4-8,131,143,274,0.478,05/17/2015,2015.0
39,Villanova (Big East),14,6-8,155,170,325,0.477,05/17/2015,2015.0
40,Penn (Ivy League),13,6-7,156,172,328,0.476,05/17/2015,2015.0
41,Holy Cross (Patriot),13,6-7,147,167,314,0.468,05/17/2015,2015.0
42,VMI (SoCon),15,1-14,167,191,358,0.466,05/17/2015,2015.0
43,Delaware (CAA),15,5-10,160,186,346,0.462,05/17/2015,2015.0
44,Virginia (ACC),15,10-5,184,214,398,0.462,05/17/2015,2015.0
45,UAlbany (America East),19,16-3,265,314,579,0.458,05/17/2015,2015.0
46,Lehigh (Patriot),16,7-9,170,202,372,0.457,05/17/2015,2015.0
47,Robert Morris (NEC),14,3-11,155,185,340,0.456,05/17/2015,2015.0
48,Canisius (MAAC),15,3-12,152,184,336,0.452,05/17/2015,2015.0
49,St. John's (NY) (Big East),14,3-11,157,192,349,0.450,05/17/2015,2015.0
50,Georgetown (Big East),16,10-6,186,228,414,0.449,05/17/2015,2015.0
51,Detroit Mercy (MAAC),14,8-6,148,183,331,0.447,05/17/2015,2015.0
52,Michigan (Big Ten),13,5-8,146,181,327,0.446,05/17/2015,2015.0
53,Princeton (Ivy League),15,9-6,173,219,392,0.441,05/17/2015,2015.0
54,UMBC (America East),13,5-8,124,160,284,0.437,05/17/2015,2015.0
55,NJIT (Independent),12,0-12,107,140,247,0.433,05/17/2015,2015.0
56,Marquette (Big East),16,10-6,168,221,389,0.432,05/17/2015,2015.0
57,Bucknell (Patriot),15,9-6,149,197,346,0.431,05/17/2015,2015.0
58,Massachusetts (CAA),15,5-10,153,204,357,0.429,05/17/2015,2015.0
58,Wagner (NEC),13,4-9,105,140,245,0.429,05/17/2015,2015.0
60,Harvard (Ivy League),14,7-7,165,223,388,0.425,05/17/2015,2015.0
61,Quinnipiac (MAAC),15,7-8,160,217,377,0.424,05/17/2015,2015.0
62,Furman (SoCon),13,4-9,107,148,255,0.420,05/17/2015,2015.0
63,Monmouth (MAAC),14,6-8,99,147,246,0.402,05/17/2015,2015.0
64,Manhattan (MAAC),15,1-14,136,203,339,0.401,05/17/2015,2015.0
65,Lafayette (Patriot),14,4-10,133,208,341,0.390,05/17/2015,2015.0
66,Hobart (NEC),14,7-7,115,182,297,0.387,05/17/2015,2015.0
67,Providence (Big East),14,5-9,119,192,311,0.383,05/17/2015,2015.0
68,Colgate (Patriot),16,10-6,142,234,376,0.378,05/17/2015,2015.0
-,UMass Lowell (America East),14,1-13,75,272,347,0.216,05/17/2015,2015.0
1,Denver (Big East),17,15-2,295,143,438,0.674,05/16/2015,2015.0
2,Bryant (NEC),18,8-10,242,119,361,0.670,05/16/2015,2015.0
3,Syracuse (ACC),15,13-2,270,137,407,0.663,05/16/2015,2015.0
4,Cornell (Ivy League),16,10-6,260,136,396,0.657,05/16/2015,2015.0
5,Rutgers (Big Ten),15,5-10,235,128,363,0.647,05/16/2015,2015.0
6,Boston U. (Patriot),14,6-8,216,123,339,0.637,05/16/2015,2015.0
7,Hofstra (CAA),14,5-9,177,115,292,0.606,05/16/2015,2015.0
8,Navy (Patriot),14,9-5,183,122,305,0.600,05/16/2015,2015.0
9,Brown (Ivy League),17,12-5,277,195,472,0.587,05/16/2015,2015.0
10,Ohio St. (Big Ten),19,12-7,248,184,432,0.574,05/16/2015,2015.0
11,Army West Point (Patriot),17,10-7,220,166,386,0.570,05/16/2015,2015.0
12,Fairfield (CAA),15,9-6,173,135,308,0.562,05/16/2015,2015.0
13,Duke (ACC),18,12-6,296,231,527,0.562,05/16/2015,2015.0
14,Dartmouth (Ivy League),13,5-8,178,142,320,0.556,05/16/2015,2015.0
15,Loyola Maryland (Patriot),15,7-8,206,167,373,0.552,05/16/2015,2015.0
16,High Point (SoCon),17,10-7,222,182,404,0.550,05/16/2015,2015.0
17,Drexel (CAA),15,7-8,177,151,328,0.540,05/16/2015,2015.0
18,Johns Hopkins (Big Ten),16,10-6,226,193,419,0.539,05/16/2015,2015.0
19,Hartford (America East),15,7-8,196,171,367,0.534,05/16/2015,2015.0
20,Stony Brook (America East),18,13-5,267,236,503,0.531,05/16/2015,2015.0
21,Binghamton (America East),13,4-9,169,150,319,0.530,05/16/2015,2015.0
22,Marist (MAAC),18,14-4,224,200,424,0.528,05/16/2015,2015.0
23,Maryland (Big Ten),16,13-3,169,153,322,0.525,05/16/2015,2015.0
24,Jacksonville (SoCon),12,4-8,154,140,294,0.524,05/16/2015,2015.0
25,Yale (Ivy League),16,11-5,190,173,363,0.523,05/16/2015,2015.0
26,Penn St. (Big Ten),14,5-9,164,153,317,0.517,05/16/2015,2015.0
27,Sacred Heart (NEC),13,6-7,158,148,306,0.516,05/16/2015,2015.0
28,Mercer (SoCon),13,5-8,151,143,294,0.514,05/16/2015,2015.0
29,Saint Joseph's (NEC),17,11-6,192,183,375,0.512,05/16/2015,2015.0
30,Vermont (America East),16,6-10,245,234,479,0.511,05/16/2015,2015.0
31,Towson (CAA),18,12-6,182,175,357,0.510,05/16/2015,2015.0
32,Notre Dame (ACC),14,12-2,186,180,366,0.508,05/16/2015,2015.0
33,Air Force (ECAC),15,8-7,163,160,323,0.505,05/16/2015,2015.0
34,Richmond (SoCon),16,11-5,180,184,364,0.495,05/16/2015,2015.0
35,North Carolina (ACC),16,13-3,222,229,451,0.492,05/16/2015,2015.0
36,Siena (MAAC),14,5-9,164,174,338,0.485,05/16/2015,2015.0
37,Mount St. Mary's (NEC),15,5-10,142,154,296,0.480,05/16/2015,2015.0
38,Bellarmine (SoCon),12,4-8,131,143,274,0.478,05/16/2015,2015.0
39,Villanova (Big East),14,6-8,155,170,325,0.477,05/16/2015,2015.0
40,Penn (Ivy League),13,6-7,156,172,328,0.476,05/16/2015,2015.0
41,Holy Cross (Patriot),13,6-7,147,167,314,0.468,05/16/2015,2015.0
42,VMI (SoCon),15,1-14,167,191,358,0.466,05/16/2015,2015.0
43,Delaware (CAA),15,5-10,160,186,346,0.462,05/16/2015,2015.0
44,Virginia (ACC),15,10-5,184,214,398,0.462,05/16/2015,2015.0
45,UAlbany (America East),19,16-3,265,314,579,0.458,05/16/2015,2015.0
46,Lehigh (Patriot),16,7-9,170,202,372,0.457,05/16/2015,2015.0
47,Robert Morris (NEC),14,3-11,155,185,340,0.456,05/16/2015,2015.0
48,Canisius (MAAC),15,3-12,152,184,336,0.452,05/16/2015,2015.0
49,St. John's (NY) (Big East),14,3-11,157,192,349,0.450,05/16/2015,2015.0
50,Georgetown (Big East),16,10-6,186,228,414,0.449,05/16/2015,2015.0
51,Detroit Mercy (MAAC),14,8-6,148,183,331,0.447,05/16/2015,2015.0
52,Michigan (Big Ten),13,5-8,146,181,327,0.446,05/16/2015,2015.0
53,Princeton (Ivy League),15,9-6,173,219,392,0.441,05/16/2015,2015.0
54,UMBC (America East),13,5-8,124,160,284,0.437,05/16/2015,2015.0
55,NJIT (Independent),12,0-12,107,140,247,0.433,05/16/2015,2015.0
56,Marquette (Big East),16,10-6,168,221,389,0.432,05/16/2015,2015.0
57,Bucknell (Patriot),15,9-6,149,197,346,0.431,05/16/2015,2015.0
58,Massachusetts (CAA),15,5-10,153,204,357,0.429,05/16/2015,2015.0
58,Wagner (NEC),13,4-9,105,140,245,0.429,05/16/2015,2015.0
60,Harvard (Ivy League),14,7-7,165,223,388,0.425,05/16/2015,2015.0
61,Quinnipiac (MAAC),15,7-8,160,217,377,0.424,05/16/2015,2015.0
62,Furman (SoCon),13,4-9,107,148,255,0.420,05/16/2015,2015.0
63,Monmouth (MAAC),14,6-8,99,147,246,0.402,05/16/2015,2015.0
64,Manhattan (MAAC),15,1-14,136,203,339,0.401,05/16/2015,2015.0
65,Lafayette (Patriot),14,4-10,133,208,341,0.390,05/16/2015,2015.0
66,Hobart (NEC),14,7-7,115,182,297,0.387,05/16/2015,2015.0
67,Providence (Big East),14,5-9,119,192,311,0.383,05/16/2015,2015.0
68,Colgate (Patriot),16,10-6,142,234,376,0.378,05/16/2015,2015.0
-,UMass Lowell (America East),14,1-13,75,272,347,0.216,05/16/2015,2015.0
1,Denver (Big East),16,14-2,280,126,406,0.690,05/10/2015,2015.0
2,Bryant (NEC),18,8-10,242,119,361,0.670,05/10/2015,2015.0
3,Syracuse (ACC),15,13-2,270,137,407,0.663,05/10/2015,2015.0
4,Cornell (Ivy League),16,10-6,260,136,396,0.657,05/10/2015,2015.0
5,Rutgers (Big Ten),15,5-10,235,128,363,0.647,05/10/2015,2015.0
6,Boston U. (Patriot),14,6-8,216,123,339,0.637,05/10/2015,2015.0
7,Hofstra (CAA),14,5-9,177,115,292,0.606,05/10/2015,2015.0
8,Navy (Patriot),14,9-5,183,122,305,0.600,05/10/2015,2015.0
9,Brown (Ivy League),17,12-5,277,195,472,0.587,05/10/2015,2015.0
10,Ohio St. (Big Ten),18,12-6,231,169,400,0.578,05/10/2015,2015.0
11,Army West Point (Patriot),17,10-7,220,166,386,0.570,05/10/2015,2015.0
12,Fairfield (CAA),15,9-6,173,135,308,0.562,05/10/2015,2015.0
13,Duke (ACC),18,12-6,296,231,527,0.562,05/10/2015,2015.0
14,Dartmouth (Ivy League),13,5-8,178,142,320,0.556,05/10/2015,2015.0
15,Loyola Maryland (Patriot),15,7-8,206,167,373,0.552,05/10/2015,2015.0
16,High Point (SoCon),17,10-7,222,182,404,0.550,05/10/2015,2015.0
17,Drexel (CAA),15,7-8,177,151,328,0.540,05/10/2015,2015.0
18,Johns Hopkins (Big Ten),16,10-6,226,193,419,0.539,05/10/2015,2015.0
19,Hartford (America East),15,7-8,196,171,367,0.534,05/10/2015,2015.0
20,Stony Brook (America East),18,13-5,267,236,503,0.531,05/10/2015,2015.0
21,Binghamton (America East),13,4-9,169,150,319,0.530,05/10/2015,2015.0
22,Marist (MAAC),18,14-4,224,200,424,0.528,05/10/2015,2015.0
23,Maryland (Big Ten),16,13-3,169,153,322,0.525,05/10/2015,2015.0
24,Jacksonville (SoCon),12,4-8,154,140,294,0.524,05/10/2015,2015.0
25,Yale (Ivy League),16,11-5,190,173,363,0.523,05/10/2015,2015.0
26,Penn St. (Big Ten),14,5-9,164,153,317,0.517,05/10/2015,2015.0
27,Sacred Heart (NEC),13,6-7,158,148,306,0.516,05/10/2015,2015.0
28,Mercer (SoCon),13,5-8,151,143,294,0.514,05/10/2015,2015.0
29,Saint Joseph's (NEC),17,11-6,192,183,375,0.512,05/10/2015,2015.0
30,Vermont (America East),16,6-10,245,234,479,0.511,05/10/2015,2015.0
31,Towson (CAA),18,12-6,182,175,357,0.510,05/10/2015,2015.0
32,Air Force (ECAC),15,8-7,163,160,323,0.505,05/10/2015,2015.0
33,Notre Dame (ACC),13,11-2,168,170,338,0.497,05/10/2015,2015.0
34,Richmond (SoCon),16,11-5,180,184,364,0.495,05/10/2015,2015.0
35,North Carolina (ACC),16,13-3,222,229,451,0.492,05/10/2015,2015.0
36,Siena (MAAC),14,5-9,164,174,338,0.485,05/10/2015,2015.0
37,Mount St. Mary's (NEC),15,5-10,142,154,296,0.480,05/10/2015,2015.0
38,Bellarmine (SoCon),12,4-8,131,143,274,0.478,05/10/2015,2015.0
39,Villanova (Big East),14,6-8,155,170,325,0.477,05/10/2015,2015.0
40,Penn (Ivy League),13,6-7,156,172,328,0.476,05/10/2015,2015.0
41,Holy Cross (Patriot),13,6-7,147,167,314,0.468,05/10/2015,2015.0
42,VMI (SoCon),15,1-14,167,191,358,0.466,05/10/2015,2015.0
43,UAlbany (America East),18,16-2,255,296,551,0.463,05/10/2015,2015.0
44,Delaware (CAA),15,5-10,160,186,346,0.462,05/10/2015,2015.0
45,Virginia (ACC),15,10-5,184,214,398,0.462,05/10/2015,2015.0
46,Lehigh (Patriot),16,7-9,170,202,372,0.457,05/10/2015,2015.0
47,Robert Morris (NEC),14,3-11,155,185,340,0.456,05/10/2015,2015.0
48,Canisius (MAAC),15,3-12,152,184,336,0.452,05/10/2015,2015.0
49,St. John's (NY) (Big East),14,3-11,157,192,349,0.450,05/10/2015,2015.0
50,Georgetown (Big East),16,10-6,186,228,414,0.449,05/10/2015,2015.0
51,Detroit Mercy (MAAC),14,8-6,148,183,331,0.447,05/10/2015,2015.0
52,Michigan (Big Ten),13,5-8,146,181,327,0.446,05/10/2015,2015.0
53,Princeton (Ivy League),15,9-6,173,219,392,0.441,05/10/2015,2015.0
54,UMBC (America East),13,5-8,124,160,284,0.437,05/10/2015,2015.0
55,NJIT (Independent),12,0-12,107,140,247,0.433,05/10/2015,2015.0
56,Marquette (Big East),16,10-6,168,221,389,0.432,05/10/2015,2015.0
57,Bucknell (Patriot),15,9-6,149,197,346,0.431,05/10/2015,2015.0
