Rank,Team,Games,W-L,Goals,Goals Allowed,Margin,Date,Academic Year
1,UAlbany (America East),19,16-3,325,190,7.11,05/25/2015-Final Statistics,2015.0
2,Denver (Big East),19,17-2,261,161,5.26,05/25/2015-Final Statistics,2015.0
3,Syracuse (ACC),16,13-3,238,154,5.25,05/25/2015-Final Statistics,2015.0
4,Richmond (SoCon),16,11-5,188,119,4.31,05/25/2015-Final Statistics,2015.0
5,North Carolina (ACC),17,13-4,244,173,4.18,05/25/2015-Final Statistics,2015.0
6,Notre Dame (ACC),15,12-3,199,140,3.93,05/25/2015-Final Statistics,2015.0
7,Brown (Ivy League),17,12-5,237,177,3.53,05/25/2015-Final Statistics,2015.0
8,Yale (Ivy League),16,11-5,182,130,3.25,05/25/2015-Final Statistics,2015.0
9,Army West Point (Patriot),17,10-7,191,136,3.24,05/25/2015-Final Statistics,2015.0
10,Marist (MAAC),18,14-4,212,155,3.17,05/25/2015-Final Statistics,2015.0
11,Maryland (Big Ten),19,15-4,194,134,3.16,05/25/2015-Final Statistics,2015.0
12,Saint Joseph's (NEC),17,11-6,182,130,3.06,05/25/2015-Final Statistics,2015.0
13,Stony Brook (America East),18,13-5,250,196,3.00,05/25/2015-Final Statistics,2015.0
14,Duke (ACC),18,12-6,257,208,2.72,05/25/2015-Final Statistics,2015.0
15,Johns Hopkins (Big Ten),18,11-7,234,189,2.50,05/25/2015-Final Statistics,2015.0
16,Fairfield (CAA),15,9-6,144,112,2.13,05/25/2015-Final Statistics,2015.0
17,Cornell (Ivy League),16,10-6,184,159,1.56,05/25/2015-Final Statistics,2015.0
18,Hofstra (CAA),14,5-9,133,112,1.50,05/25/2015-Final Statistics,2015.0
19,Navy (Patriot),14,9-5,137,120,1.21,05/25/2015-Final Statistics,2015.0
20,Princeton (Ivy League),15,9-6,180,162,1.20,05/25/2015-Final Statistics,2015.0
21,Colgate (Patriot),16,10-6,169,150,1.19,05/25/2015-Final Statistics,2015.0
22,Virginia (ACC),15,10-5,181,165,1.07,05/25/2015-Final Statistics,2015.0
23,High Point (SoCon),17,10-7,184,166,1.06,05/25/2015-Final Statistics,2015.0
24,Air Force (ECAC),15,8-7,145,131,0.93,05/25/2015-Final Statistics,2015.0
25,Loyola Maryland (Patriot),15,7-8,168,155,0.87,05/25/2015-Final Statistics,2015.0
26,Ohio St. (Big Ten),19,12-7,190,174,0.84,05/25/2015-Final Statistics,2015.0
27,Towson (CAA),18,12-6,154,139,0.83,05/25/2015-Final Statistics,2015.0
28,Georgetown (Big East),16,10-6,186,174,0.75,05/25/2015-Final Statistics,2015.0
29,Boston U. (Patriot),14,6-8,150,140,0.71,05/25/2015-Final Statistics,2015.0
30,Bellarmine (SoCon),12,4-8,119,116,0.25,05/25/2015-Final Statistics,2015.0
31,Lehigh (Patriot),16,7-9,163,161,0.13,05/25/2015-Final Statistics,2015.0
32,Rutgers (Big Ten),15,5-10,155,154,0.07,05/25/2015-Final Statistics,2015.0
33,Bryant (NEC),18,8-10,149,148,0.06,05/25/2015-Final Statistics,2015.0
34,Harvard (Ivy League),14,7-7,172,172,0.00,05/25/2015-Final Statistics,2015.0
34,Binghamton (America East),13,4-9,140,140,0.00,05/25/2015-Final Statistics,2015.0
36,Detroit Mercy (MAAC),14,8-6,139,143,-0.29,05/25/2015-Final Statistics,2015.0
37,Marquette (Big East),16,10-6,163,168,-0.31,05/25/2015-Final Statistics,2015.0
38,Bucknell (Patriot),15,9-6,144,149,-0.33,05/25/2015-Final Statistics,2015.0
39,Penn St. (Big Ten),14,5-9,129,142,-0.93,05/25/2015-Final Statistics,2015.0
39,Hobart (NEC),14,7-7,118,131,-0.93,05/25/2015-Final Statistics,2015.0
41,Massachusetts (CAA),15,5-10,146,161,-1.00,05/25/2015-Final Statistics,2015.0
41,Villanova (Big East),14,6-8,131,145,-1.00,05/25/2015-Final Statistics,2015.0
41,Monmouth (MAAC),14,6-8,93,107,-1.00,05/25/2015-Final Statistics,2015.0
44,Wagner (NEC),13,4-9,93,107,-1.08,05/25/2015-Final Statistics,2015.0
45,Drexel (CAA),15,7-8,130,147,-1.13,05/25/2015-Final Statistics,2015.0
46,Hartford (America East),15,7-8,147,166,-1.27,05/25/2015-Final Statistics,2015.0
47,Mount St. Mary's (NEC),15,5-10,110,133,-1.53,05/25/2015-Final Statistics,2015.0
48,UMBC (America East),13,5-8,111,131,-1.54,05/25/2015-Final Statistics,2015.0
49,Delaware (CAA),15,5-10,136,160,-1.60,05/25/2015-Final Statistics,2015.0
50,Penn (Ivy League),13,6-7,131,152,-1.62,05/25/2015-Final Statistics,2015.0
51,Michigan (Big Ten),13,5-8,128,150,-1.69,05/25/2015-Final Statistics,2015.0
52,Robert Morris (NEC),14,3-11,133,158,-1.79,05/25/2015-Final Statistics,2015.0
53,Quinnipiac (MAAC),15,7-8,148,176,-1.87,05/25/2015-Final Statistics,2015.0
54,Furman (SoCon),13,4-9,94,120,-2.00,05/25/2015-Final Statistics,2015.0
55,Vermont (America East),16,6-10,194,228,-2.13,05/25/2015-Final Statistics,2015.0
56,St. John's (NY) (Big East),14,3-11,138,168,-2.14,05/25/2015-Final Statistics,2015.0
57,Siena (MAAC),14,5-9,130,162,-2.29,05/25/2015-Final Statistics,2015.0
58,Mercer (SoCon),13,5-8,108,141,-2.54,05/25/2015-Final Statistics,2015.0
59,Holy Cross (Patriot),13,6-7,120,154,-2.62,05/25/2015-Final Statistics,2015.0
60,Providence (Big East),14,5-9,113,152,-2.79,05/25/2015-Final Statistics,2015.0
61,Sacred Heart (NEC),13,6-7,112,152,-3.08,05/25/2015-Final Statistics,2015.0
62,Canisius (MAAC),15,3-12,118,165,-3.13,05/25/2015-Final Statistics,2015.0
63,Lafayette (Patriot),14,4-10,127,171,-3.14,05/25/2015-Final Statistics,2015.0
64,Jacksonville (SoCon),12,4-8,109,148,-3.25,05/25/2015-Final Statistics,2015.0
65,Dartmouth (Ivy League),13,5-8,114,161,-3.62,05/25/2015-Final Statistics,2015.0
66,NJIT (Independent),12,0-12,54,159,-8.75,05/25/2015-Final Statistics,2015.0
67,Manhattan (MAAC),15,1-14,74,218,-9.60,05/25/2015-Final Statistics,2015.0
68,VMI (SoCon),15,1-14,78,231,-10.20,05/25/2015-Final Statistics,2015.0
-,UMass Lowell (America East),14,1-13,95,207,-8.00,05/25/2015-Final Statistics,2015.0
1,UAlbany (America East),19,16-3,325,190,7.11,05/23/2015,2015.0
2,Denver (Big East),18,16-2,251,156,5.28,05/23/2015,2015.0
3,Syracuse (ACC),16,13-3,238,154,5.25,05/23/2015,2015.0
4,Richmond (SoCon),16,11-5,188,119,4.31,05/23/2015,2015.0
5,North Carolina (ACC),17,13-4,244,173,4.18,05/23/2015,2015.0
6,Notre Dame (ACC),15,12-3,199,140,3.93,05/23/2015,2015.0
7,Maryland (Big Ten),18,15-3,189,124,3.61,05/23/2015,2015.0
8,Brown (Ivy League),17,12-5,237,177,3.53,05/23/2015,2015.0
9,Yale (Ivy League),16,11-5,182,130,3.25,05/23/2015,2015.0
10,Army West Point (Patriot),17,10-7,191,136,3.24,05/23/2015,2015.0
11,Marist (MAAC),18,14-4,212,155,3.17,05/23/2015,2015.0
12,Saint Joseph's (NEC),17,11-6,182,130,3.06,05/23/2015,2015.0
13,Stony Brook (America East),18,13-5,250,196,3.00,05/23/2015,2015.0
14,Duke (ACC),18,12-6,257,208,2.72,05/23/2015,2015.0
15,Johns Hopkins (Big Ten),18,11-7,234,189,2.50,05/23/2015,2015.0
16,Fairfield (CAA),15,9-6,144,112,2.13,05/23/2015,2015.0
17,Cornell (Ivy League),16,10-6,184,159,1.56,05/23/2015,2015.0
18,Hofstra (CAA),14,5-9,133,112,1.50,05/23/2015,2015.0
19,Navy (Patriot),14,9-5,137,120,1.21,05/23/2015,2015.0
20,Princeton (Ivy League),15,9-6,180,162,1.20,05/23/2015,2015.0
21,Colgate (Patriot),16,10-6,169,150,1.19,05/23/2015,2015.0
22,Virginia (ACC),15,10-5,181,165,1.07,05/23/2015,2015.0
23,High Point (SoCon),17,10-7,184,166,1.06,05/23/2015,2015.0
24,Air Force (ECAC),15,8-7,145,131,0.93,05/23/2015,2015.0
25,Loyola Maryland (Patriot),15,7-8,168,155,0.87,05/23/2015,2015.0
26,Ohio St. (Big Ten),19,12-7,190,174,0.84,05/23/2015,2015.0
27,Towson (CAA),18,12-6,154,139,0.83,05/23/2015,2015.0
28,Georgetown (Big East),16,10-6,186,174,0.75,05/23/2015,2015.0
29,Boston U. (Patriot),14,6-8,150,140,0.71,05/23/2015,2015.0
30,Bellarmine (SoCon),12,4-8,119,116,0.25,05/23/2015,2015.0
31,Lehigh (Patriot),16,7-9,163,161,0.13,05/23/2015,2015.0
32,Rutgers (Big Ten),15,5-10,155,154,0.07,05/23/2015,2015.0
33,Bryant (NEC),18,8-10,149,148,0.06,05/23/2015,2015.0
34,Harvard (Ivy League),14,7-7,172,172,0.00,05/23/2015,2015.0
34,Binghamton (America East),13,4-9,140,140,0.00,05/23/2015,2015.0
36,Detroit Mercy (MAAC),14,8-6,139,143,-0.29,05/23/2015,2015.0
37,Marquette (Big East),16,10-6,163,168,-0.31,05/23/2015,2015.0
38,Bucknell (Patriot),15,9-6,144,149,-0.33,05/23/2015,2015.0
39,Penn St. (Big Ten),14,5-9,129,142,-0.93,05/23/2015,2015.0
39,Hobart (NEC),14,7-7,118,131,-0.93,05/23/2015,2015.0
41,Massachusetts (CAA),15,5-10,146,161,-1.00,05/23/2015,2015.0
41,Villanova (Big East),14,6-8,131,145,-1.00,05/23/2015,2015.0
41,Monmouth (MAAC),14,6-8,93,107,-1.00,05/23/2015,2015.0
44,Wagner (NEC),13,4-9,93,107,-1.08,05/23/2015,2015.0
45,Drexel (CAA),15,7-8,130,147,-1.13,05/23/2015,2015.0
46,Hartford (America East),15,7-8,147,166,-1.27,05/23/2015,2015.0
47,Mount St. Mary's (NEC),15,5-10,110,133,-1.53,05/23/2015,2015.0
48,UMBC (America East),13,5-8,111,131,-1.54,05/23/2015,2015.0
49,Delaware (CAA),15,5-10,136,160,-1.60,05/23/2015,2015.0
50,Penn (Ivy League),13,6-7,131,152,-1.62,05/23/2015,2015.0
51,Michigan (Big Ten),13,5-8,128,150,-1.69,05/23/2015,2015.0
52,Robert Morris (NEC),14,3-11,133,158,-1.79,05/23/2015,2015.0
53,Quinnipiac (MAAC),15,7-8,148,176,-1.87,05/23/2015,2015.0
54,Furman (SoCon),13,4-9,94,120,-2.00,05/23/2015,2015.0
55,Vermont (America East),16,6-10,194,228,-2.13,05/23/2015,2015.0
56,St. John's (NY) (Big East),14,3-11,138,168,-2.14,05/23/2015,2015.0
57,Siena (MAAC),14,5-9,130,162,-2.29,05/23/2015,2015.0
58,Mercer (SoCon),13,5-8,108,141,-2.54,05/23/2015,2015.0
59,Holy Cross (Patriot),13,6-7,120,154,-2.62,05/23/2015,2015.0
60,Providence (Big East),14,5-9,113,152,-2.79,05/23/2015,2015.0
61,Sacred Heart (NEC),13,6-7,112,152,-3.08,05/23/2015,2015.0
62,Canisius (MAAC),15,3-12,118,165,-3.13,05/23/2015,2015.0
63,Lafayette (Patriot),14,4-10,127,171,-3.14,05/23/2015,2015.0
64,Jacksonville (SoCon),12,4-8,109,148,-3.25,05/23/2015,2015.0
65,Dartmouth (Ivy League),13,5-8,114,161,-3.62,05/23/2015,2015.0
66,NJIT (Independent),12,0-12,54,159,-8.75,05/23/2015,2015.0
67,Manhattan (MAAC),15,1-14,74,218,-9.60,05/23/2015,2015.0
68,VMI (SoCon),15,1-14,78,231,-10.20,05/23/2015,2015.0
-,UMass Lowell (America East),14,1-13,95,207,-8.00,05/23/2015,2015.0
1,UAlbany (America East),19,16-3,325,190,7.11,05/17/2015,2015.0
2,Denver (Big East),17,15-2,240,146,5.53,05/17/2015,2015.0
3,Syracuse (ACC),16,13-3,238,154,5.25,05/17/2015,2015.0
4,Richmond (SoCon),16,11-5,188,119,4.31,05/17/2015,2015.0
5,Notre Dame (ACC),14,12-2,189,129,4.29,05/17/2015,2015.0
6,North Carolina (ACC),17,13-4,244,173,4.18,05/17/2015,2015.0
7,Maryland (Big Ten),17,14-3,177,113,3.76,05/17/2015,2015.0
8,Brown (Ivy League),17,12-5,237,177,3.53,05/17/2015,2015.0
9,Yale (Ivy League),16,11-5,182,130,3.25,05/17/2015,2015.0
10,Army West Point (Patriot),17,10-7,191,136,3.24,05/17/2015,2015.0
11,Marist (MAAC),18,14-4,212,155,3.17,05/17/2015,2015.0
12,Saint Joseph's (NEC),17,11-6,182,130,3.06,05/17/2015,2015.0
13,Stony Brook (America East),18,13-5,250,196,3.00,05/17/2015,2015.0
14,Duke (ACC),18,12-6,257,208,2.72,05/17/2015,2015.0
15,Johns Hopkins (Big Ten),17,11-6,223,177,2.71,05/17/2015,2015.0
16,Fairfield (CAA),15,9-6,144,112,2.13,05/17/2015,2015.0
17,Cornell (Ivy League),16,10-6,184,159,1.56,05/17/2015,2015.0
18,Hofstra (CAA),14,5-9,133,112,1.50,05/17/2015,2015.0
19,Navy (Patriot),14,9-5,137,120,1.21,05/17/2015,2015.0
20,Princeton (Ivy League),15,9-6,180,162,1.20,05/17/2015,2015.0
21,Colgate (Patriot),16,10-6,169,150,1.19,05/17/2015,2015.0
22,Virginia (ACC),15,10-5,181,165,1.07,05/17/2015,2015.0
23,High Point (SoCon),17,10-7,184,166,1.06,05/17/2015,2015.0
24,Air Force (ECAC),15,8-7,145,131,0.93,05/17/2015,2015.0
25,Loyola Maryland (Patriot),15,7-8,168,155,0.87,05/17/2015,2015.0
26,Ohio St. (Big Ten),19,12-7,190,174,0.84,05/17/2015,2015.0
27,Towson (CAA),18,12-6,154,139,0.83,05/17/2015,2015.0
28,Georgetown (Big East),16,10-6,186,174,0.75,05/17/2015,2015.0
29,Boston U. (Patriot),14,6-8,150,140,0.71,05/17/2015,2015.0
30,Bellarmine (SoCon),12,4-8,119,116,0.25,05/17/2015,2015.0
31,Lehigh (Patriot),16,7-9,163,161,0.13,05/17/2015,2015.0
32,Rutgers (Big Ten),15,5-10,155,154,0.07,05/17/2015,2015.0
33,Bryant (NEC),18,8-10,149,148,0.06,05/17/2015,2015.0
34,Harvard (Ivy League),14,7-7,172,172,0.00,05/17/2015,2015.0
34,Binghamton (America East),13,4-9,140,140,0.00,05/17/2015,2015.0
36,Detroit Mercy (MAAC),14,8-6,139,143,-0.29,05/17/2015,2015.0
37,Marquette (Big East),16,10-6,163,168,-0.31,05/17/2015,2015.0
38,Bucknell (Patriot),15,9-6,144,149,-0.33,05/17/2015,2015.0
39,Penn St. (Big Ten),14,5-9,129,142,-0.93,05/17/2015,2015.0
39,Hobart (NEC),14,7-7,118,131,-0.93,05/17/2015,2015.0
41,Massachusetts (CAA),15,5-10,146,161,-1.00,05/17/2015,2015.0
41,Villanova (Big East),14,6-8,131,145,-1.00,05/17/2015,2015.0
41,Monmouth (MAAC),14,6-8,93,107,-1.00,05/17/2015,2015.0
44,Wagner (NEC),13,4-9,93,107,-1.08,05/17/2015,2015.0
45,Drexel (CAA),15,7-8,130,147,-1.13,05/17/2015,2015.0
46,Hartford (America East),15,7-8,147,166,-1.27,05/17/2015,2015.0
47,Mount St. Mary's (NEC),15,5-10,110,133,-1.53,05/17/2015,2015.0
48,UMBC (America East),13,5-8,111,131,-1.54,05/17/2015,2015.0
49,Delaware (CAA),15,5-10,136,160,-1.60,05/17/2015,2015.0
50,Penn (Ivy League),13,6-7,131,152,-1.62,05/17/2015,2015.0
51,Michigan (Big Ten),13,5-8,128,150,-1.69,05/17/2015,2015.0
52,Robert Morris (NEC),14,3-11,133,158,-1.79,05/17/2015,2015.0
53,Quinnipiac (MAAC),15,7-8,148,176,-1.87,05/17/2015,2015.0
54,Furman (SoCon),13,4-9,94,120,-2.00,05/17/2015,2015.0
55,Vermont (America East),16,6-10,194,228,-2.13,05/17/2015,2015.0
56,St. John's (NY) (Big East),14,3-11,138,168,-2.14,05/17/2015,2015.0
57,Siena (MAAC),14,5-9,130,162,-2.29,05/17/2015,2015.0
58,Mercer (SoCon),13,5-8,108,141,-2.54,05/17/2015,2015.0
59,Holy Cross (Patriot),13,6-7,120,154,-2.62,05/17/2015,2015.0
60,Providence (Big East),14,5-9,113,152,-2.79,05/17/2015,2015.0
61,Sacred Heart (NEC),13,6-7,112,152,-3.08,05/17/2015,2015.0
62,Canisius (MAAC),15,3-12,118,165,-3.13,05/17/2015,2015.0
63,Lafayette (Patriot),14,4-10,127,171,-3.14,05/17/2015,2015.0
64,Jacksonville (SoCon),12,4-8,109,148,-3.25,05/17/2015,2015.0
65,Dartmouth (Ivy League),13,5-8,114,161,-3.62,05/17/2015,2015.0
66,NJIT (Independent),12,0-12,54,159,-8.75,05/17/2015,2015.0
67,Manhattan (MAAC),15,1-14,74,218,-9.60,05/17/2015,2015.0
68,VMI (SoCon),15,1-14,78,231,-10.20,05/17/2015,2015.0
-,UMass Lowell (America East),14,1-13,95,207,-8.00,05/17/2015,2015.0
1,UAlbany (America East),19,16-3,325,190,7.11,05/16/2015,2015.0
2,Syracuse (ACC),15,13-2,223,138,5.67,05/16/2015,2015.0
3,Denver (Big East),17,15-2,240,146,5.53,05/16/2015,2015.0
4,North Carolina (ACC),16,13-3,237,159,4.88,05/16/2015,2015.0
5,Richmond (SoCon),16,11-5,188,119,4.31,05/16/2015,2015.0
6,Notre Dame (ACC),14,12-2,189,129,4.29,05/16/2015,2015.0
7,Maryland (Big Ten),16,13-3,163,106,3.56,05/16/2015,2015.0
8,Brown (Ivy League),17,12-5,237,177,3.53,05/16/2015,2015.0
9,Yale (Ivy League),16,11-5,182,130,3.25,05/16/2015,2015.0
10,Army West Point (Patriot),17,10-7,191,136,3.24,05/16/2015,2015.0
11,Marist (MAAC),18,14-4,212,155,3.17,05/16/2015,2015.0
12,Saint Joseph's (NEC),17,11-6,182,130,3.06,05/16/2015,2015.0
13,Stony Brook (America East),18,13-5,250,196,3.00,05/16/2015,2015.0
14,Johns Hopkins (Big Ten),16,10-6,207,162,2.81,05/16/2015,2015.0
15,Duke (ACC),18,12-6,257,208,2.72,05/16/2015,2015.0
16,Fairfield (CAA),15,9-6,144,112,2.13,05/16/2015,2015.0
17,Cornell (Ivy League),16,10-6,184,159,1.56,05/16/2015,2015.0
18,Hofstra (CAA),14,5-9,133,112,1.50,05/16/2015,2015.0
19,Navy (Patriot),14,9-5,137,120,1.21,05/16/2015,2015.0
20,Princeton (Ivy League),15,9-6,180,162,1.20,05/16/2015,2015.0
21,Colgate (Patriot),16,10-6,169,150,1.19,05/16/2015,2015.0
22,Virginia (ACC),15,10-5,181,165,1.07,05/16/2015,2015.0
23,High Point (SoCon),17,10-7,184,166,1.06,05/16/2015,2015.0
24,Air Force (ECAC),15,8-7,145,131,0.93,05/16/2015,2015.0
25,Loyola Maryland (Patriot),15,7-8,168,155,0.87,05/16/2015,2015.0
26,Ohio St. (Big Ten),19,12-7,190,174,0.84,05/16/2015,2015.0
27,Towson (CAA),18,12-6,154,139,0.83,05/16/2015,2015.0
28,Georgetown (Big East),16,10-6,186,174,0.75,05/16/2015,2015.0
29,Boston U. (Patriot),14,6-8,150,140,0.71,05/16/2015,2015.0
30,Bellarmine (SoCon),12,4-8,119,116,0.25,05/16/2015,2015.0
31,Lehigh (Patriot),16,7-9,163,161,0.13,05/16/2015,2015.0
32,Rutgers (Big Ten),15,5-10,155,154,0.07,05/16/2015,2015.0
33,Bryant (NEC),18,8-10,149,148,0.06,05/16/2015,2015.0
34,Harvard (Ivy League),14,7-7,172,172,0.00,05/16/2015,2015.0
34,Binghamton (America East),13,4-9,140,140,0.00,05/16/2015,2015.0
36,Detroit Mercy (MAAC),14,8-6,139,143,-0.29,05/16/2015,2015.0
37,Marquette (Big East),16,10-6,163,168,-0.31,05/16/2015,2015.0
38,Bucknell (Patriot),15,9-6,144,149,-0.33,05/16/2015,2015.0
39,Penn St. (Big Ten),14,5-9,129,142,-0.93,05/16/2015,2015.0
39,Hobart (NEC),14,7-7,118,131,-0.93,05/16/2015,2015.0
41,Massachusetts (CAA),15,5-10,146,161,-1.00,05/16/2015,2015.0
41,Villanova (Big East),14,6-8,131,145,-1.00,05/16/2015,2015.0
41,Monmouth (MAAC),14,6-8,93,107,-1.00,05/16/2015,2015.0
44,Wagner (NEC),13,4-9,93,107,-1.08,05/16/2015,2015.0
45,Drexel (CAA),15,7-8,130,147,-1.13,05/16/2015,2015.0
46,Hartford (America East),15,7-8,147,166,-1.27,05/16/2015,2015.0
47,Mount St. Mary's (NEC),15,5-10,110,133,-1.53,05/16/2015,2015.0
48,UMBC (America East),13,5-8,111,131,-1.54,05/16/2015,2015.0
49,Delaware (CAA),15,5-10,136,160,-1.60,05/16/2015,2015.0
50,Penn (Ivy League),13,6-7,131,152,-1.62,05/16/2015,2015.0
51,Michigan (Big Ten),13,5-8,128,150,-1.69,05/16/2015,2015.0
52,Robert Morris (NEC),14,3-11,133,158,-1.79,05/16/2015,2015.0
53,Quinnipiac (MAAC),15,7-8,148,176,-1.87,05/16/2015,2015.0
54,Furman (SoCon),13,4-9,94,120,-2.00,05/16/2015,2015.0
55,Vermont (America East),16,6-10,194,228,-2.13,05/16/2015,2015.0
56,St. John's (NY) (Big East),14,3-11,138,168,-2.14,05/16/2015,2015.0
57,Siena (MAAC),14,5-9,130,162,-2.29,05/16/2015,2015.0
58,Mercer (SoCon),13,5-8,108,141,-2.54,05/16/2015,2015.0
59,Holy Cross (Patriot),13,6-7,120,154,-2.62,05/16/2015,2015.0
60,Providence (Big East),14,5-9,113,152,-2.79,05/16/2015,2015.0
61,Sacred Heart (NEC),13,6-7,112,152,-3.08,05/16/2015,2015.0
62,Canisius (MAAC),15,3-12,118,165,-3.13,05/16/2015,2015.0
63,Lafayette (Patriot),14,4-10,127,171,-3.14,05/16/2015,2015.0
64,Jacksonville (SoCon),12,4-8,109,148,-3.25,05/16/2015,2015.0
65,Dartmouth (Ivy League),13,5-8,114,161,-3.62,05/16/2015,2015.0
66,NJIT (Independent),12,0-12,54,159,-8.75,05/16/2015,2015.0
67,Manhattan (MAAC),15,1-14,74,218,-9.60,05/16/2015,2015.0
68,VMI (SoCon),15,1-14,78,231,-10.20,05/16/2015,2015.0
-,UMass Lowell (America East),14,1-13,95,207,-8.00,05/16/2015,2015.0
1,UAlbany (America East),18,16-2,315,176,7.72,05/10/2015,2015.0
2,Denver (Big East),16,14-2,225,133,5.75,05/10/2015,2015.0
3,Syracuse (ACC),15,13-2,223,138,5.67,05/10/2015,2015.0
4,North Carolina (ACC),16,13-3,237,159,4.88,05/10/2015,2015.0
5,Richmond (SoCon),16,11-5,188,119,4.31,05/10/2015,2015.0
6,Notre Dame (ACC),13,11-2,175,119,4.31,05/10/2015,2015.0
7,Maryland (Big Ten),16,13-3,163,106,3.56,05/10/2015,2015.0
8,Brown (Ivy League),17,12-5,237,177,3.53,05/10/2015,2015.0
9,Yale (Ivy League),16,11-5,182,130,3.25,05/10/2015,2015.0
10,Army West Point (Patriot),17,10-7,191,136,3.24,05/10/2015,2015.0
11,Marist (MAAC),18,14-4,212,155,3.17,05/10/2015,2015.0
12,Saint Joseph's (NEC),17,11-6,182,130,3.06,05/10/2015,2015.0
13,Stony Brook (America East),18,13-5,250,196,3.00,05/10/2015,2015.0
14,Johns Hopkins (Big Ten),16,10-6,207,162,2.81,05/10/2015,2015.0
15,Duke (ACC),18,12-6,257,208,2.72,05/10/2015,2015.0
16,Fairfield (CAA),15,9-6,144,112,2.13,05/10/2015,2015.0
17,Cornell (Ivy League),16,10-6,184,159,1.56,05/10/2015,2015.0
18,Hofstra (CAA),14,5-9,133,112,1.50,05/10/2015,2015.0
19,Navy (Patriot),14,9-5,137,120,1.21,05/10/2015,2015.0
20,Princeton (Ivy League),15,9-6,180,162,1.20,05/10/2015,2015.0
21,Colgate (Patriot),16,10-6,169,150,1.19,05/10/2015,2015.0
22,Virginia (ACC),15,10-5,181,165,1.07,05/10/2015,2015.0
23,High Point (SoCon),17,10-7,184,166,1.06,05/10/2015,2015.0
24,Ohio St. (Big Ten),18,12-6,177,159,1.00,05/10/2015,2015.0
25,Air Force (ECAC),15,8-7,145,131,0.93,05/10/2015,2015.0
26,Loyola Maryland (Patriot),15,7-8,168,155,0.87,05/10/2015,2015.0
27,Towson (CAA),18,12-6,154,139,0.83,05/10/2015,2015.0
28,Georgetown (Big East),16,10-6,186,174,0.75,05/10/2015,2015.0
29,Boston U. (Patriot),14,6-8,150,140,0.71,05/10/2015,2015.0
30,Bellarmine (SoCon),12,4-8,119,116,0.25,05/10/2015,2015.0
31,Lehigh (Patriot),16,7-9,163,161,0.13,05/10/2015,2015.0
32,Rutgers (Big Ten),15,5-10,155,154,0.07,05/10/2015,2015.0
33,Bryant (NEC),18,8-10,149,148,0.06,05/10/2015,2015.0
34,Harvard (Ivy League),14,7-7,172,172,0.00,05/10/2015,2015.0
34,Binghamton (America East),13,4-9,140,140,0.00,05/10/2015,2015.0
36,Detroit Mercy (MAAC),14,8-6,139,143,-0.29,05/10/2015,2015.0
37,Marquette (Big East),16,10-6,163,168,-0.31,05/10/2015,2015.0
38,Bucknell (Patriot),15,9-6,144,149,-0.33,05/10/2015,2015.0
39,Penn St. (Big Ten),14,5-9,129,142,-0.93,05/10/2015,2015.0
39,Hobart (NEC),14,7-7,118,131,-0.93,05/10/2015,2015.0
41,Massachusetts (CAA),15,5-10,146,161,-1.00,05/10/2015,2015.0
41,Villanova (Big East),14,6-8,131,145,-1.00,05/10/2015,2015.0
41,Monmouth (MAAC),14,6-8,93,107,-1.00,05/10/2015,2015.0
44,Wagner (NEC),13,4-9,93,107,-1.08,05/10/2015,2015.0
45,Drexel (CAA),15,7-8,130,147,-1.13,05/10/2015,2015.0
46,Hartford (America East),15,7-8,147,166,-1.27,05/10/2015,2015.0
47,Mount St. Mary's (NEC),15,5-10,110,133,-1.53,05/10/2015,2015.0
48,UMBC (America East),13,5-8,111,131,-1.54,05/10/2015,2015.0
49,Delaware (CAA),15,5-10,136,160,-1.60,05/10/2015,2015.0
50,Penn (Ivy League),13,6-7,131,152,-1.62,05/10/2015,2015.0
51,Michigan (Big Ten),13,5-8,128,150,-1.69,05/10/2015,2015.0
52,Robert Morris (NEC),14,3-11,133,158,-1.79,05/10/2015,2015.0
53,Quinnipiac (MAAC),15,7-8,148,176,-1.87,05/10/2015,2015.0
54,Furman (SoCon),13,4-9,94,120,-2.00,05/10/2015,2015.0
55,Vermont (America East),16,6-10,194,228,-2.13,05/10/2015,2015.0
56,St. John's (NY) (Big East),14,3-11,138,168,-2.14,05/10/2015,2015.0
57,Siena (MAAC),14,5-9,130,162,-2.29,05/10/2015,2015.0
58,Mercer (SoCon),13,5-8,108,141,-2.54,05/10/2015,2015.0
59,Holy Cross (Patriot),13,6-7,120,154,-2.62,05/10/2015,2015.0
60,Providence (Big East),14,5-9,113,152,-2.79,05/10/2015,2015.0
61,Sacred Heart (NEC),13,6-7,112,152,-3.08,05/10/2015,2015.0
62,Canisius (MAAC),15,3-12,118,165,-3.13,05/10/2015,2015.0
63,Lafayette (Patriot),14,4-10,127,171,-3.14,05/10/2015,2015.0
64,Jacksonville (SoCon),12,4-8,109,148,-3.25,05/10/2015,2015.0
65,Dartmouth (Ivy League),13,5-8,114,161,-3.62,05/10/2015,2015.0
66,NJIT (Independent),12,0-12,54,159,-8.75,05/10/2015,2015.0
67,Manhattan (MAAC),15,1-14,74,218,-9.60,05/10/2015,2015.0
68,VMI (SoCon),15,1-14,78,231,-10.20,05/10/2015,2015.0
-,UMass Lowell (America East),14,1-13,95,207,-8.00,05/10/2015,2015.0
1,UAlbany (America East),18,16-2,315,176,7.72,05/09/2015,2015.0
