Rank,Team,Games,W-L,Goals,Shots,Pct.,Date,Academic Year
19,Richmond (SoCon),16,11-5,188,620,0.303,05/17/2015,2015.0
20,Marquette (Big East),16,10-6,163,539,0.302,05/17/2015,2015.0
21,Ohio St. (Big Ten),19,12-7,190,633,0.300,05/17/2015,2015.0
22,Georgetown (Big East),16,10-6,186,623,0.299,05/17/2015,2015.0
23,Massachusetts (CAA),15,5-10,146,494,0.296,05/17/2015,2015.0
24,Lehigh (Patriot),16,7-9,163,555,0.294,05/17/2015,2015.0
25,Brown (Ivy League),17,12-5,237,808,0.293,05/17/2015,2015.0
26,Bellarmine (SoCon),12,4-8,119,406,0.293,05/17/2015,2015.0
27,Vermont (America East),16,6-10,194,662,0.293,05/17/2015,2015.0
28,Navy (Patriot),14,9-5,137,472,0.290,05/17/2015,2015.0
29,Hartford (America East),15,7-8,147,513,0.287,05/17/2015,2015.0
30,Detroit Mercy (MAAC),14,8-6,139,486,0.286,05/17/2015,2015.0
31,Quinnipiac (MAAC),15,7-8,148,519,0.285,05/17/2015,2015.0
32,Delaware (CAA),15,5-10,136,478,0.285,05/17/2015,2015.0
33,Penn (Ivy League),13,6-7,131,467,0.281,05/17/2015,2015.0
34,Fairfield (CAA),15,9-6,144,515,0.280,05/17/2015,2015.0
35,Penn St. (Big Ten),14,5-9,129,463,0.279,05/17/2015,2015.0
36,Rutgers (Big Ten),15,5-10,155,558,0.278,05/17/2015,2015.0
37,Bucknell (Patriot),15,9-6,144,519,0.277,05/17/2015,2015.0
38,Dartmouth (Ivy League),13,5-8,114,412,0.277,05/17/2015,2015.0
39,UMBC (America East),13,5-8,111,402,0.276,05/17/2015,2015.0
40,St. John's (NY) (Big East),14,3-11,138,503,0.274,05/17/2015,2015.0
41,Jacksonville (SoCon),12,4-8,109,398,0.274,05/17/2015,2015.0
42,Loyola Maryland (Patriot),15,7-8,168,615,0.273,05/17/2015,2015.0
43,Air Force (ECAC),15,8-7,145,536,0.271,05/17/2015,2015.0
