Rank,Team,Games,W-L,Goals,Shots,Pct.,Date,Academic Year
11,Princeton (Ivy League),6,2-4,63,187,0.337,03/23/2016,2016.0
12,North Carolina (ACC),8,5-3,108,330,0.327,03/23/2016,2016.0
13,Syracuse (ACC),6,5-1,82,251,0.327,03/23/2016,2016.0
14,Air Force (SoCon),9,7-2,92,286,0.322,03/23/2016,2016.0
15,Johns Hopkins (Big Ten),6,4-2,73,227,0.322,03/23/2016,2016.0
16,Army West Point (Patriot),8,6-2,109,341,0.320,03/23/2016,2016.0
17,Michigan (Big Ten),8,3-5,80,251,0.319,03/23/2016,2016.0
18,Harvard (Ivy League),8,4-4,85,267,0.318,03/23/2016,2016.0
19,Mount St. Mary's (NEC),6,4-2,60,192,0.313,03/23/2016,2016.0
20,Bucknell (Patriot),8,5-3,92,298,0.309,03/23/2016,2016.0
21,Vermont (America East),8,3-5,97,317,0.306,03/23/2016,2016.0
22,Rutgers (Big Ten),8,6-2,100,327,0.306,03/23/2016,2016.0
23,Monmouth (MAAC),7,4-3,70,233,0.300,03/23/2016,2016.0
24,Villanova (Big East),6,5-1,96,321,0.299,03/23/2016,2016.0
25,Yale (Ivy League),6,6-0,77,258,0.298,03/23/2016,2016.0
26,UMBC (America East),5,1-4,37,126,0.294,03/23/2016,2016.0
27,Jacksonville (SoCon),7,2-5,59,202,0.292,03/23/2016,2016.0
28,Ohio St. (Big Ten),9,5-4,86,295,0.292,03/23/2016,2016.0
29,Fairfield (CAA),9,4-5,85,292,0.291,03/23/2016,2016.0
30,Drexel (CAA),8,3-5,82,286,0.287,03/23/2016,2016.0
31,High Point (SoCon),8,4-4,81,283,0.286,03/23/2016,2016.0
32,Robert Morris (NEC),8,3-5,84,295,0.285,03/23/2016,2016.0
33,Hartford (America East),7,4-3,76,268,0.284,03/23/2016,2016.0
34,Towson (CAA),8,7-1,87,307,0.283,03/23/2016,2016.0
35,Navy (Patriot),7,5-2,69,244,0.283,03/23/2016,2016.0
36,Massachusetts (CAA),8,4-4,77,273,0.282,03/23/2016,2016.0
37,Notre Dame (ACC),6,5-1,62,222,0.279,03/23/2016,2016.0
38,Holy Cross (Patriot),8,0-8,72,260,0.277,03/23/2016,2016.0
39,Boston U. (Patriot),9,7-2,86,311,0.277,03/23/2016,2016.0
40,Maryland (Big Ten),6,4-2,63,233,0.270,03/23/2016,2016.0
41,Marist (MAAC),7,3-4,57,212,0.269,03/23/2016,2016.0
42,Hofstra (CAA),8,5-3,79,295,0.268,03/23/2016,2016.0
43,Bryant (NEC),7,4-3,75,281,0.267,03/23/2016,2016.0
44,Marquette (Big East),6,5-1,58,219,0.265,03/23/2016,2016.0
45,Binghamton (America East),6,2-4,55,209,0.263,03/23/2016,2016.0
46,Wagner (NEC),9,4-5,85,325,0.262,03/23/2016,2016.0
47,Mercer (SoCon),7,3-4,62,238,0.261,03/23/2016,2016.0
48,Bellarmine (SoCon),8,4-4,63,243,0.259,03/23/2016,2016.0
49,Furman (SoCon),7,0-7,45,175,0.257,03/23/2016,2016.0
50,Hobart (NEC),8,5-3,78,304,0.257,03/23/2016,2016.0
51,Lafayette (Patriot),7,1-6,49,192,0.255,03/23/2016,2016.0
52,Delaware (CAA),9,3-6,76,301,0.252,03/23/2016,2016.0
53,Richmond (SoCon),8,6-2,70,278,0.252,03/23/2016,2016.0
54,Virginia (ACC),8,3-5,83,332,0.250,03/23/2016,2016.0
55,Canisius (MAAC),4,2-2,38,154,0.247,03/23/2016,2016.0
56,Cornell (Ivy League),6,3-3,54,221,0.244,03/23/2016,2016.0
57,Georgetown (Big East),8,1-7,64,262,0.244,03/23/2016,2016.0
58,Detroit Mercy (MAAC),6,1-5,41,169,0.243,03/23/2016,2016.0
59,Dartmouth (Ivy League),6,1-5,43,181,0.238,03/23/2016,2016.0
60,Loyola Maryland (Patriot),8,5-3,75,316,0.237,03/23/2016,2016.0
61,Sacred Heart (NEC),8,2-6,70,295,0.237,03/23/2016,2016.0
62,Siena (MAAC),6,1-5,54,228,0.237,03/23/2016,2016.0
63,Quinnipiac (MAAC),6,3-3,51,217,0.235,03/23/2016,2016.0
64,St. John's (NY) (Big East),8,1-7,58,251,0.231,03/23/2016,2016.0
65,Manhattan (MAAC),9,1-8,48,208,0.231,03/23/2016,2016.0
66,NJIT (Independent),10,1-9,55,243,0.226,03/23/2016,2016.0
67,Colgate (Patriot),8,3-5,64,286,0.224,03/23/2016,2016.0
68,VMI (SoCon),9,1-8,45,227,0.198,03/23/2016,2016.0
-,UMass Lowell (America East),9,2-7,77,277,0.278,03/23/2016,2016.0
1,Denver (Big East),7,7-0,95,240,0.396,03/22/2016,2016.0
2,Brown (Ivy League),6,6-0,104,274,0.380,03/22/2016,2016.0
3,Duke (ACC),10,6-4,142,380,0.374,03/22/2016,2016.0
4,Saint Joseph's (NEC),7,5-2,93,252,0.369,03/22/2016,2016.0
5,Penn St. (Big Ten),8,5-3,99,273,0.363,03/22/2016,2016.0
6,UAlbany (America East),6,4-2,78,220,0.355,03/22/2016,2016.0
7,Penn (Ivy League),6,4-2,73,208,0.351,03/22/2016,2016.0
8,Lehigh (Patriot),7,5-2,92,269,0.342,03/22/2016,2016.0
9,Providence (Big East),8,5-3,88,258,0.341,03/22/2016,2016.0
10,Stony Brook (America East),7,5-2,92,270,0.341,03/22/2016,2016.0
11,Princeton (Ivy League),6,2-4,63,187,0.337,03/22/2016,2016.0
12,Michigan (Big Ten),7,3-4,74,223,0.332,03/22/2016,2016.0
13,North Carolina (ACC),8,5-3,108,330,0.327,03/22/2016,2016.0
14,Syracuse (ACC),6,5-1,82,251,0.327,03/22/2016,2016.0
15,Air Force (SoCon),9,7-2,92,286,0.322,03/22/2016,2016.0
16,Johns Hopkins (Big Ten),6,4-2,73,227,0.322,03/22/2016,2016.0
17,Army West Point (Patriot),8,6-2,109,341,0.320,03/22/2016,2016.0
18,Harvard (Ivy League),8,4-4,85,267,0.318,03/22/2016,2016.0
19,Mount St. Mary's (NEC),6,4-2,60,192,0.313,03/22/2016,2016.0
20,Bucknell (Patriot),8,5-3,92,298,0.309,03/22/2016,2016.0
21,Vermont (America East),8,3-5,97,317,0.306,03/22/2016,2016.0
22,Rutgers (Big Ten),8,6-2,100,327,0.306,03/22/2016,2016.0
23,Monmouth (MAAC),7,4-3,70,233,0.300,03/22/2016,2016.0
24,Villanova (Big East),6,5-1,96,321,0.299,03/22/2016,2016.0
25,Yale (Ivy League),6,6-0,77,258,0.298,03/22/2016,2016.0
26,UMBC (America East),5,1-4,37,126,0.294,03/22/2016,2016.0
27,Jacksonville (SoCon),7,2-5,59,202,0.292,03/22/2016,2016.0
28,Ohio St. (Big Ten),9,5-4,86,295,0.292,03/22/2016,2016.0
29,Fairfield (CAA),9,4-5,85,292,0.291,03/22/2016,2016.0
30,Drexel (CAA),8,3-5,82,286,0.287,03/22/2016,2016.0
31,High Point (SoCon),8,4-4,81,283,0.286,03/22/2016,2016.0
32,Robert Morris (NEC),8,3-5,84,295,0.285,03/22/2016,2016.0
33,Marist (MAAC),6,2-4,50,176,0.284,03/22/2016,2016.0
34,Hartford (America East),7,4-3,76,268,0.284,03/22/2016,2016.0
35,Towson (CAA),8,7-1,87,307,0.283,03/22/2016,2016.0
36,Navy (Patriot),7,5-2,69,244,0.283,03/22/2016,2016.0
37,Massachusetts (CAA),8,4-4,77,273,0.282,03/22/2016,2016.0
38,Notre Dame (ACC),6,5-1,62,222,0.279,03/22/2016,2016.0
39,Holy Cross (Patriot),8,0-8,72,260,0.277,03/22/2016,2016.0
40,Boston U. (Patriot),9,7-2,86,311,0.277,03/22/2016,2016.0
41,Maryland (Big Ten),6,4-2,63,233,0.270,03/22/2016,2016.0
42,Hofstra (CAA),8,5-3,79,295,0.268,03/22/2016,2016.0
43,Bryant (NEC),7,4-3,75,281,0.267,03/22/2016,2016.0
44,Marquette (Big East),6,5-1,58,219,0.265,03/22/2016,2016.0
45,Binghamton (America East),6,2-4,55,209,0.263,03/22/2016,2016.0
46,Wagner (NEC),9,4-5,85,325,0.262,03/22/2016,2016.0
47,Mercer (SoCon),7,3-4,62,238,0.261,03/22/2016,2016.0
48,Bellarmine (SoCon),8,4-4,63,243,0.259,03/22/2016,2016.0
49,Furman (SoCon),7,0-7,45,175,0.257,03/22/2016,2016.0
50,Hobart (NEC),8,5-3,78,304,0.257,03/22/2016,2016.0
51,Lafayette (Patriot),7,1-6,49,192,0.255,03/22/2016,2016.0
52,Delaware (CAA),9,3-6,76,301,0.252,03/22/2016,2016.0
53,Richmond (SoCon),8,6-2,70,278,0.252,03/22/2016,2016.0
54,Virginia (ACC),8,3-5,83,332,0.250,03/22/2016,2016.0
55,Canisius (MAAC),4,2-2,38,154,0.247,03/22/2016,2016.0
56,Cornell (Ivy League),6,3-3,54,221,0.244,03/22/2016,2016.0
57,Detroit Mercy (MAAC),6,1-5,41,169,0.243,03/22/2016,2016.0
58,Loyola Maryland (Patriot),7,4-3,65,271,0.240,03/22/2016,2016.0
59,Georgetown (Big East),7,1-6,57,238,0.239,03/22/2016,2016.0
60,Dartmouth (Ivy League),6,1-5,43,181,0.238,03/22/2016,2016.0
61,Sacred Heart (NEC),8,2-6,70,295,0.237,03/22/2016,2016.0
62,Siena (MAAC),6,1-5,54,228,0.237,03/22/2016,2016.0
63,Quinnipiac (MAAC),6,3-3,51,217,0.235,03/22/2016,2016.0
64,St. John's (NY) (Big East),8,1-7,58,251,0.231,03/22/2016,2016.0
65,Manhattan (MAAC),9,1-8,48,208,0.231,03/22/2016,2016.0
66,NJIT (Independent),10,1-9,55,243,0.226,03/22/2016,2016.0
67,Colgate (Patriot),8,3-5,64,286,0.224,03/22/2016,2016.0
68,VMI (SoCon),9,1-8,45,227,0.198,03/22/2016,2016.0
-,UMass Lowell (America East),9,2-7,77,277,0.278,03/22/2016,2016.0
1,Denver (Big East),7,7-0,95,240,0.396,03/20/2016,2016.0
2,Duke (ACC),9,6-3,133,338,0.393,03/20/2016,2016.0
3,Brown (Ivy League),6,6-0,104,274,0.380,03/20/2016,2016.0
4,Saint Joseph's (NEC),7,5-2,93,252,0.369,03/20/2016,2016.0
5,Penn St. (Big Ten),8,5-3,99,273,0.363,03/20/2016,2016.0
6,UAlbany (America East),6,4-2,78,220,0.355,03/20/2016,2016.0
7,Penn (Ivy League),6,4-2,73,208,0.351,03/20/2016,2016.0
8,Lehigh (Patriot),7,5-2,92,269,0.342,03/20/2016,2016.0
9,Stony Brook (America East),7,5-2,92,270,0.341,03/20/2016,2016.0
10,Princeton (Ivy League),6,2-4,63,187,0.337,03/20/2016,2016.0
11,Michigan (Big Ten),7,3-4,74,223,0.332,03/20/2016,2016.0
12,Harvard (Ivy League),7,4-3,77,235,0.328,03/20/2016,2016.0
13,Providence (Big East),7,4-3,73,223,0.327,03/20/2016,2016.0
14,North Carolina (ACC),8,5-3,108,330,0.327,03/20/2016,2016.0
15,Syracuse (ACC),6,5-1,82,251,0.327,03/20/2016,2016.0
16,Johns Hopkins (Big Ten),6,4-2,73,227,0.322,03/20/2016,2016.0
17,Army West Point (Patriot),8,6-2,109,341,0.320,03/20/2016,2016.0
18,Air Force (SoCon),8,6-2,82,258,0.318,03/20/2016,2016.0
19,Mount St. Mary's (NEC),6,4-2,60,192,0.313,03/20/2016,2016.0
20,Bucknell (Patriot),8,5-3,92,298,0.309,03/20/2016,2016.0
21,Rutgers (Big Ten),8,6-2,100,327,0.306,03/20/2016,2016.0
22,Vermont (America East),7,3-4,85,279,0.305,03/20/2016,2016.0
23,Monmouth (MAAC),7,4-3,70,233,0.300,03/20/2016,2016.0
24,Yale (Ivy League),6,6-0,77,257,0.300,03/20/2016,2016.0
25,Villanova (Big East),6,5-1,96,321,0.299,03/20/2016,2016.0
26,Drexel (CAA),7,3-4,75,255,0.294,03/20/2016,2016.0
27,UMBC (America East),5,1-4,37,126,0.294,03/20/2016,2016.0
28,Jacksonville (SoCon),7,2-5,59,202,0.292,03/20/2016,2016.0
29,Ohio St. (Big Ten),9,5-4,86,295,0.292,03/20/2016,2016.0
30,High Point (SoCon),8,4-4,81,283,0.286,03/20/2016,2016.0
31,Robert Morris (NEC),8,3-5,84,295,0.285,03/20/2016,2016.0
32,Marist (MAAC),6,2-4,50,176,0.284,03/20/2016,2016.0
33,Hartford (America East),7,4-3,76,268,0.284,03/20/2016,2016.0
34,Fairfield (CAA),8,3-5,72,254,0.283,03/20/2016,2016.0
35,Towson (CAA),8,7-1,87,307,0.283,03/20/2016,2016.0
36,Navy (Patriot),6,4-2,58,205,0.283,03/20/2016,2016.0
37,Massachusetts (CAA),8,4-4,77,273,0.282,03/20/2016,2016.0
38,Notre Dame (ACC),6,5-1,62,222,0.279,03/20/2016,2016.0
39,Boston U. (Patriot),8,6-2,77,278,0.277,03/20/2016,2016.0
40,Holy Cross (Patriot),8,0-8,72,260,0.277,03/20/2016,2016.0
41,Binghamton (America East),5,1-4,45,165,0.273,03/20/2016,2016.0
42,Maryland (Big Ten),6,4-2,63,233,0.270,03/20/2016,2016.0
43,Bryant (NEC),7,4-3,75,281,0.267,03/20/2016,2016.0
44,Lafayette (Patriot),6,1-5,45,169,0.266,03/20/2016,2016.0
45,Marquette (Big East),6,5-1,58,219,0.265,03/20/2016,2016.0
46,Wagner (NEC),9,4-5,85,325,0.262,03/20/2016,2016.0
47,Mercer (SoCon),7,3-4,62,238,0.261,03/20/2016,2016.0
48,Bellarmine (SoCon),8,4-4,63,243,0.259,03/20/2016,2016.0
49,Hofstra (CAA),7,4-3,66,255,0.259,03/20/2016,2016.0
50,Furman (SoCon),7,0-7,45,175,0.257,03/20/2016,2016.0
50,Dartmouth (Ivy League),5,1-4,36,140,0.257,03/20/2016,2016.0
52,Hobart (NEC),8,5-3,78,304,0.257,03/20/2016,2016.0
53,Delaware (CAA),9,3-6,76,301,0.252,03/20/2016,2016.0
54,Richmond (SoCon),8,6-2,70,278,0.252,03/20/2016,2016.0
55,Virginia (ACC),8,3-5,83,332,0.250,03/20/2016,2016.0
56,Canisius (MAAC),4,2-2,38,154,0.247,03/20/2016,2016.0
57,Cornell (Ivy League),6,3-3,54,222,0.243,03/20/2016,2016.0
58,Detroit Mercy (MAAC),6,1-5,41,169,0.243,03/20/2016,2016.0
59,Loyola Maryland (Patriot),7,4-3,65,271,0.240,03/20/2016,2016.0
60,Georgetown (Big East),7,1-6,57,238,0.239,03/20/2016,2016.0
61,Sacred Heart (NEC),8,2-6,70,295,0.237,03/20/2016,2016.0
62,Siena (MAAC),6,1-5,54,228,0.237,03/20/2016,2016.0
63,Quinnipiac (MAAC),5,3-2,44,186,0.237,03/20/2016,2016.0
64,St. John's (NY) (Big East),8,1-7,58,251,0.231,03/20/2016,2016.0
65,Manhattan (MAAC),9,1-8,48,208,0.231,03/20/2016,2016.0
66,Colgate (Patriot),8,3-5,64,286,0.224,03/20/2016,2016.0
67,NJIT (Independent),9,0-9,45,218,0.206,03/20/2016,2016.0
68,VMI (SoCon),9,1-8,45,227,0.198,03/20/2016,2016.0
-,UMass Lowell (America East),8,2-6,66,253,0.261,03/20/2016,2016.0
1,Denver (Big East),6,6-0,80,207,0.386,03/18/2016,2016.0
2,Brown (Ivy League),5,5-0,93,242,0.384,03/18/2016,2016.0
3,Duke (ACC),8,5-3,113,305,0.370,03/18/2016,2016.0
4,Saint Joseph's (NEC),6,4-2,81,221,0.367,03/18/2016,2016.0
5,Penn St. (Big Ten),7,5-2,90,252,0.357,03/18/2016,2016.0
6,Lehigh (Patriot),6,4-2,81,227,0.357,03/18/2016,2016.0
7,Stony Brook (America East),6,5-1,82,231,0.355,03/18/2016,2016.0
8,UAlbany (America East),5,3-2,62,183,0.339,03/18/2016,2016.0
9,Princeton (Ivy League),5,2-3,53,157,0.338,03/18/2016,2016.0
10,Harvard (Ivy League),6,4-2,69,205,0.337,03/18/2016,2016.0
11,Syracuse (ACC),5,5-0,72,215,0.335,03/18/2016,2016.0
12,North Carolina (ACC),7,4-3,93,288,0.323,03/18/2016,2016.0
12,Monmouth (MAAC),6,4-2,62,192,0.323,03/18/2016,2016.0
14,Michigan (Big Ten),6,3-3,62,194,0.320,03/18/2016,2016.0
15,Mount St. Mary's (NEC),6,4-2,60,192,0.313,03/18/2016,2016.0
16,Providence (Big East),6,3-3,61,196,0.311,03/18/2016,2016.0
17,Army West Point (Patriot),7,5-2,93,301,0.309,03/18/2016,2016.0
18,Johns Hopkins (Big Ten),5,3-2,62,201,0.308,03/18/2016,2016.0
19,Bucknell (Patriot),7,4-3,79,257,0.307,03/18/2016,2016.0
20,Penn (Ivy League),5,3-2,53,173,0.306,03/18/2016,2016.0
21,Rutgers (Big Ten),8,6-2,100,327,0.306,03/18/2016,2016.0
22,Air Force (SoCon),7,5-2,69,226,0.305,03/18/2016,2016.0
23,Vermont (America East),7,3-4,85,279,0.305,03/18/2016,2016.0
24,Villanova (Big East),6,5-1,96,321,0.299,03/18/2016,2016.0
25,Boston U. (Patriot),7,6-1,71,240,0.296,03/18/2016,2016.0
26,Jacksonville (SoCon),6,2-4,50,170,0.294,03/18/2016,2016.0
27,Notre Dame (ACC),5,4-1,54,184,0.293,03/18/2016,2016.0
28,High Point (SoCon),7,4-3,77,263,0.293,03/18/2016,2016.0
29,Hartford (America East),6,3-3,67,229,0.293,03/18/2016,2016.0
30,Ohio St. (Big Ten),8,5-3,80,274,0.292,03/18/2016,2016.0
31,Drexel (CAA),6,2-4,62,214,0.290,03/18/2016,2016.0
32,Massachusetts (CAA),7,3-4,66,232,0.284,03/18/2016,2016.0
33,Yale (Ivy League),5,5-0,62,218,0.284,03/18/2016,2016.0
34,Robert Morris (NEC),7,2-5,72,257,0.280,03/18/2016,2016.0
35,Towson (CAA),7,6-1,72,258,0.279,03/18/2016,2016.0
36,Holy Cross (Patriot),7,0-7,65,233,0.279,03/18/2016,2016.0
37,Lafayette (Patriot),5,1-4,39,140,0.279,03/18/2016,2016.0
38,UMBC (America East),4,1-3,27,98,0.276,03/18/2016,2016.0
39,Marist (MAAC),5,1-4,41,150,0.273,03/18/2016,2016.0
40,Maryland (Big Ten),6,4-2,63,233,0.270,03/18/2016,2016.0
41,Fairfield (CAA),7,2-5,60,224,0.268,03/18/2016,2016.0
42,Bryant (NEC),7,4-3,75,281,0.267,03/18/2016,2016.0
43,Navy (Patriot),5,3-2,48,181,0.265,03/18/2016,2016.0
44,Bellarmine (SoCon),7,3-4,53,200,0.265,03/18/2016,2016.0
45,Hofstra (CAA),6,4-2,59,223,0.265,03/18/2016,2016.0
46,Wagner (NEC),8,4-4,76,292,0.260,03/18/2016,2016.0
47,Hobart (NEC),7,4-3,68,262,0.260,03/18/2016,2016.0
48,Richmond (SoCon),7,6-1,64,247,0.259,03/18/2016,2016.0
49,Delaware (CAA),8,3-5,69,267,0.258,03/18/2016,2016.0
50,Mercer (SoCon),6,2-4,49,191,0.257,03/18/2016,2016.0
51,Marquette (Big East),5,4-1,47,184,0.255,03/18/2016,2016.0
52,St. John's (NY) (Big East),7,1-6,54,214,0.252,03/18/2016,2016.0
53,Virginia (ACC),7,3-4,76,302,0.252,03/18/2016,2016.0
54,Georgetown (Big East),6,1-5,51,205,0.249,03/18/2016,2016.0
55,Siena (MAAC),5,1-4,45,181,0.249,03/18/2016,2016.0
56,Sacred Heart (NEC),7,2-5,63,254,0.248,03/18/2016,2016.0
57,Dartmouth (Ivy League),4,0-4,23,93,0.247,03/18/2016,2016.0
58,Furman (SoCon),6,0-6,39,158,0.247,03/18/2016,2016.0
59,Manhattan (MAAC),8,1-7,45,183,0.246,03/18/2016,2016.0
60,Quinnipiac (MAAC),4,3-1,39,160,0.244,03/18/2016,2016.0
61,Loyola Maryland (Patriot),6,4-2,56,236,0.237,03/18/2016,2016.0
62,Cornell (Ivy League),5,3-2,45,190,0.237,03/18/2016,2016.0
63,Detroit Mercy (MAAC),5,0-5,32,139,0.230,03/18/2016,2016.0
64,Colgate (Patriot),7,3-4,57,250,0.228,03/18/2016,2016.0
65,Binghamton (America East),4,0-4,29,129,0.225,03/18/2016,2016.0
66,Canisius (MAAC),3,1-2,26,119,0.218,03/18/2016,2016.0
67,VMI (SoCon),8,1-7,43,201,0.214,03/18/2016,2016.0
68,NJIT (Independent),9,0-9,45,218,0.206,03/18/2016,2016.0
-,UMass Lowell (America East),7,2-5,58,215,0.270,03/18/2016,2016.0
1,Denver (Big East),6,6-0,80,207,0.386,03/16/2016,2016.0
2,Brown (Ivy League),5,5-0,93,242,0.384,03/16/2016,2016.0
3,Duke (ACC),8,5-3,113,305,0.370,03/16/2016,2016.0
4,Saint Joseph's (NEC),6,4-2,81,221,0.367,03/16/2016,2016.0
5,Penn St. (Big Ten),7,5-2,90,252,0.357,03/16/2016,2016.0
6,Lehigh (Patriot),6,4-2,81,227,0.357,03/16/2016,2016.0
7,Stony Brook (America East),6,5-1,82,231,0.355,03/16/2016,2016.0
8,UAlbany (America East),5,3-2,62,183,0.339,03/16/2016,2016.0
9,Princeton (Ivy League),5,2-3,53,157,0.338,03/16/2016,2016.0
10,Harvard (Ivy League),6,4-2,69,205,0.337,03/16/2016,2016.0
11,Syracuse (ACC),5,5-0,72,215,0.335,03/16/2016,2016.0
12,North Carolina (ACC),7,4-3,93,288,0.323,03/16/2016,2016.0
12,Monmouth (MAAC),6,4-2,62,192,0.323,03/16/2016,2016.0
14,Michigan (Big Ten),6,3-3,62,194,0.320,03/16/2016,2016.0
15,Mount St. Mary's (NEC),6,4-2,60,192,0.313,03/16/2016,2016.0
16,Providence (Big East),6,3-3,61,196,0.311,03/16/2016,2016.0
17,Army West Point (Patriot),7,5-2,93,301,0.309,03/16/2016,2016.0
18,Johns Hopkins (Big Ten),5,3-2,62,201,0.308,03/16/2016,2016.0
19,Bucknell (Patriot),7,4-3,79,257,0.307,03/16/2016,2016.0
20,Penn (Ivy League),5,3-2,53,173,0.306,03/16/2016,2016.0
21,Rutgers (Big Ten),7,5-2,84,275,0.305,03/16/2016,2016.0
22,Air Force (SoCon),7,5-2,69,226,0.305,03/16/2016,2016.0
23,Vermont (America East),7,3-4,85,279,0.305,03/16/2016,2016.0
24,Villanova (Big East),6,5-1,96,321,0.299,03/16/2016,2016.0
25,Boston U. (Patriot),7,6-1,71,240,0.296,03/16/2016,2016.0
26,Jacksonville (SoCon),6,2-4,50,170,0.294,03/16/2016,2016.0
27,Notre Dame (ACC),5,4-1,54,184,0.293,03/16/2016,2016.0
28,High Point (SoCon),7,4-3,77,263,0.293,03/16/2016,2016.0
29,Hartford (America East),6,3-3,67,229,0.293,03/16/2016,2016.0
30,Ohio St. (Big Ten),8,5-3,80,274,0.292,03/16/2016,2016.0
31,Drexel (CAA),6,2-4,62,214,0.290,03/16/2016,2016.0
32,Massachusetts (CAA),7,3-4,66,232,0.284,03/16/2016,2016.0
33,Yale (Ivy League),5,5-0,62,218,0.284,03/16/2016,2016.0
34,Robert Morris (NEC),7,2-5,72,257,0.280,03/16/2016,2016.0
35,Towson (CAA),7,6-1,72,258,0.279,03/16/2016,2016.0
36,Holy Cross (Patriot),7,0-7,65,233,0.279,03/16/2016,2016.0
37,Lafayette (Patriot),5,1-4,39,140,0.279,03/16/2016,2016.0
38,UMBC (America East),4,1-3,27,98,0.276,03/16/2016,2016.0
39,Marist (MAAC),5,1-4,41,150,0.273,03/16/2016,2016.0
40,Maryland (Big Ten),6,4-2,63,233,0.270,03/16/2016,2016.0
41,Fairfield (CAA),7,2-5,60,224,0.268,03/16/2016,2016.0
42,Bryant (NEC),7,4-3,75,281,0.267,03/16/2016,2016.0
43,Navy (Patriot),5,3-2,48,181,0.265,03/16/2016,2016.0
44,Bellarmine (SoCon),7,3-4,53,200,0.265,03/16/2016,2016.0
45,Hofstra (CAA),6,4-2,59,223,0.265,03/16/2016,2016.0
46,Wagner (NEC),8,4-4,76,292,0.260,03/16/2016,2016.0
47,Hobart (NEC),7,4-3,68,262,0.260,03/16/2016,2016.0
48,Richmond (SoCon),7,6-1,64,247,0.259,03/16/2016,2016.0
49,Delaware (CAA),8,3-5,69,267,0.258,03/16/2016,2016.0
50,Mercer (SoCon),6,2-4,49,191,0.257,03/16/2016,2016.0
51,Marquette (Big East),5,4-1,47,184,0.255,03/16/2016,2016.0
52,St. John's (NY) (Big East),7,1-6,54,214,0.252,03/16/2016,2016.0
53,Virginia (ACC),7,3-4,76,302,0.252,03/16/2016,2016.0
54,Georgetown (Big East),6,1-5,51,205,0.249,03/16/2016,2016.0
55,Siena (MAAC),5,1-4,45,181,0.249,03/16/2016,2016.0
56,Sacred Heart (NEC),7,2-5,63,254,0.248,03/16/2016,2016.0
57,Dartmouth (Ivy League),4,0-4,23,93,0.247,03/16/2016,2016.0
58,Furman (SoCon),6,0-6,39,158,0.247,03/16/2016,2016.0
59,Manhattan (MAAC),8,1-7,45,183,0.246,03/16/2016,2016.0
60,Quinnipiac (MAAC),4,3-1,39,160,0.244,03/16/2016,2016.0
61,Loyola Maryland (Patriot),6,4-2,56,236,0.237,03/16/2016,2016.0
62,Cornell (Ivy League),5,3-2,45,190,0.237,03/16/2016,2016.0
63,Detroit Mercy (MAAC),5,0-5,32,139,0.230,03/16/2016,2016.0
64,Colgate (Patriot),7,3-4,57,250,0.228,03/16/2016,2016.0
65,Binghamton (America East),4,0-4,29,129,0.225,03/16/2016,2016.0
66,Canisius (MAAC),3,1-2,26,119,0.218,03/16/2016,2016.0
67,VMI (SoCon),8,1-7,43,201,0.214,03/16/2016,2016.0
68,NJIT (Independent),8,0-8,42,202,0.208,03/16/2016,2016.0
-,UMass Lowell (America East),7,2-5,58,215,0.270,03/16/2016,2016.0
1,Denver (Big East),6,6-0,80,207,0.386,03/15/2016,2016.0
2,Brown (Ivy League),5,5-0,93,242,0.384,03/15/2016,2016.0
3,Duke (ACC),8,5-3,113,305,0.370,03/15/2016,2016.0
4,Saint Joseph's (NEC),6,4-2,81,221,0.367,03/15/2016,2016.0
5,Penn St. (Big Ten),7,5-2,90,252,0.357,03/15/2016,2016.0
6,Lehigh (Patriot),6,4-2,81,227,0.357,03/15/2016,2016.0
7,Stony Brook (America East),6,5-1,82,231,0.355,03/15/2016,2016.0
8,UAlbany (America East),4,3-1,55,160,0.344,03/15/2016,2016.0
9,Princeton (Ivy League),5,2-3,53,157,0.338,03/15/2016,2016.0
10,Harvard (Ivy League),6,4-2,69,205,0.337,03/15/2016,2016.0
11,Syracuse (ACC),5,5-0,72,215,0.335,03/15/2016,2016.0
12,North Carolina (ACC),7,4-3,93,288,0.323,03/15/2016,2016.0
12,Monmouth (MAAC),6,4-2,62,192,0.323,03/15/2016,2016.0
14,Michigan (Big Ten),6,3-3,62,194,0.320,03/15/2016,2016.0
15,Mount St. Mary's (NEC),6,4-2,60,192,0.313,03/15/2016,2016.0
16,Providence (Big East),6,3-3,61,196,0.311,03/15/2016,2016.0
17,Army West Point (Patriot),7,5-2,93,301,0.309,03/15/2016,2016.0
18,Johns Hopkins (Big Ten),5,3-2,62,201,0.308,03/15/2016,2016.0
19,Bucknell (Patriot),7,4-3,79,257,0.307,03/15/2016,2016.0
20,Penn (Ivy League),5,3-2,53,173,0.306,03/15/2016,2016.0
21,Rutgers (Big Ten),7,5-2,84,275,0.305,03/15/2016,2016.0
22,Air Force (SoCon),7,5-2,69,226,0.305,03/15/2016,2016.0
23,Vermont (America East),7,3-4,85,279,0.305,03/15/2016,2016.0
24,Villanova (Big East),6,5-1,96,321,0.299,03/15/2016,2016.0
25,Boston U. (Patriot),7,6-1,71,240,0.296,03/15/2016,2016.0
26,Jacksonville (SoCon),6,2-4,50,170,0.294,03/15/2016,2016.0
27,Notre Dame (ACC),5,4-1,54,184,0.293,03/15/2016,2016.0
28,High Point (SoCon),7,4-3,77,263,0.293,03/15/2016,2016.0
