Date,Team,Man Down Defense Percent
2015-05-17,Mount St. Mary's,0.647
2015-05-17,Lehigh,0.645
2015-05-17,Fairfield,0.64
2015-05-17,Wagner,0.639
2015-05-17,Massachusetts,0.636
2015-05-17,Mercer,0.636
2015-05-17,Johns Hopkins,0.633
2015-05-17,Marquette,0.633
2015-05-17,Harvard,0.629
2015-05-17,Vermont,0.629
2015-05-17,NJIT,0.627
2015-05-17,Villanova,0.625
2015-05-17,Holy Cross,0.622
2015-05-17,UMBC,0.622
2015-05-17,Virginia,0.62
2015-05-17,Army West Point,0.615
2015-05-17,Jacksonville,0.613
2015-05-17,Ohio St.,0.613
2015-05-17,UAlbany,0.612
2015-05-17,Robert Morris,0.6
2015-05-17,Stony Brook,0.593
2015-05-17,Detroit Mercy,0.592
2015-05-17,Air Force,0.591
2015-05-17,Rutgers,0.585
2015-05-17,Navy,0.583
2015-05-17,Bucknell,0.579
2015-05-17,Hofstra,0.578
2015-05-17,Denver,0.574
2015-05-17,Duke,0.569
2015-05-17,Bryant,0.568
2015-05-17,Notre Dame,0.568
2015-05-17,Georgetown,0.547
2015-05-17,Sacred Heart,0.537
2015-05-17,VMI,0.535
2015-05-17,St. John's,0.529
2015-05-17,Hartford,0.517
2015-05-17,Binghamton,0.516
2015-05-17,Loyola Maryland,0.515
2015-05-17,Canisius,0.514
2015-05-17,Princeton,0.484
2015-05-17,UMass Lowell,0.519
2015-05-16,Saint Joseph's,0.8
2015-05-16,Richmond,0.789
2015-05-16,Providence,0.767
2015-05-16,Furman,0.756
2015-05-16,Bellarmine,0.74
2015-05-16,Maryland,0.73
2015-05-16,Towson,0.729
2015-05-16,High Point,0.727
2015-05-16,Monmouth,0.717
2015-05-16,Yale,0.712
2015-05-16,Colgate,0.711
2015-05-16,Marist,0.711
2015-05-16,Hobart,0.706
2015-05-16,Syracuse,0.696
2015-05-16,Dartmouth,0.696
2015-05-16,Lafayette,0.689
2015-05-16,Manhattan,0.687
2015-05-16,Brown,0.683
2015-05-16,Boston U.,0.682
2015-05-16,Michigan,0.675
2015-05-16,Penn St.,0.674
2015-05-16,Drexel,0.672
2015-05-16,North Carolina,0.667
2015-05-16,Quinnipiac,0.667
2015-05-16,Johns Hopkins,0.66
2015-05-16,Cornell,0.656
2015-05-16,Siena,0.655
2015-05-16,Delaware,0.653
2015-05-16,Penn,0.652
2015-05-16,Mount St. Mary's,0.647
2015-05-16,Lehigh,0.645
2015-05-16,Fairfield,0.64
2015-05-16,Wagner,0.639
2015-05-16,Massachusetts,0.636
2015-05-16,Mercer,0.636
2015-05-16,Marquette,0.633
2015-05-16,Harvard,0.629
2015-05-16,Vermont,0.629
2015-05-16,NJIT,0.627
2015-05-16,Villanova,0.625
2015-05-16,Holy Cross,0.622
2015-05-16,UMBC,0.622
2015-05-16,Virginia,0.62
2015-05-16,Army West Point,0.615
2015-05-16,Jacksonville,0.613
2015-05-16,Ohio St.,0.613
2015-05-16,UAlbany,0.612
2015-05-16,Robert Morris,0.6
2015-05-16,Stony Brook,0.593
2015-05-16,Detroit Mercy,0.592
2015-05-16,Air Force,0.591
2015-05-16,Rutgers,0.585
2015-05-16,Navy,0.583
2015-05-16,Bucknell,0.579
2015-05-16,Hofstra,0.578
2015-05-16,Denver,0.574
2015-05-16,Duke,0.569
2015-05-16,Bryant,0.568
2015-05-16,Notre Dame,0.568
2015-05-16,Georgetown,0.547
2015-05-16,Sacred Heart,0.537
2015-05-16,VMI,0.535
2015-05-16,St. John's,0.529
2015-05-16,Hartford,0.517
2015-05-16,Binghamton,0.516
2015-05-16,Loyola Maryland,0.515
2015-05-16,Canisius,0.514
2015-05-16,Princeton,0.484
2015-05-16,UMass Lowell,0.519
2015-05-10,Saint Joseph's,0.8
2015-05-10,Richmond,0.789
2015-05-10,Providence,0.767
2015-05-10,Furman,0.756
2015-05-10,Bellarmine,0.74
2015-05-10,Maryland,0.73
2015-05-10,Towson,0.729
2015-05-10,High Point,0.727
2015-05-10,Monmouth,0.717
2015-05-10,Yale,0.712
2015-05-10,Colgate,0.711
2015-05-10,Marist,0.711
2015-05-10,Hobart,0.706
2015-05-10,Syracuse,0.696
2015-05-10,Dartmouth,0.696
2015-05-10,Lafayette,0.689
2015-05-10,Manhattan,0.687
2015-05-10,Brown,0.683
2015-05-10,Boston U.,0.682
2015-05-10,Michigan,0.675
2015-05-10,Penn St.,0.674
2015-05-10,Drexel,0.672
2015-05-10,North Carolina,0.667
2015-05-10,Quinnipiac,0.667
2015-05-10,Johns Hopkins,0.66
2015-05-10,Cornell,0.656
2015-05-10,Siena,0.655
2015-05-10,Ohio St.,0.655
2015-05-10,Delaware,0.653
2015-05-10,Penn,0.652
2015-05-10,Mount St. Mary's,0.647
2015-05-10,Lehigh,0.645
2015-05-10,Fairfield,0.64
2015-05-10,Wagner,0.639
2015-05-10,Massachusetts,0.636
2015-05-10,Mercer,0.636
2015-05-10,Marquette,0.633
2015-05-10,Harvard,0.629
2015-05-10,Vermont,0.629
2015-05-10,NJIT,0.627
2015-05-10,Villanova,0.625
2015-05-10,UMBC,0.622
2015-05-10,Holy Cross,0.622
2015-05-10,UAlbany,0.621
2015-05-10,Virginia,0.62
2015-05-10,Army West Point,0.615
2015-05-10,Jacksonville,0.613
2015-05-10,Robert Morris,0.6
2015-05-10,Stony Brook,0.593
2015-05-10,Detroit Mercy,0.592
2015-05-10,Air Force,0.591
2015-05-10,Denver,0.587
2015-05-10,Rutgers,0.585
2015-05-10,Navy,0.583
2015-05-10,Bucknell,0.579
2015-05-10,Hofstra,0.578
2015-05-10,Duke,0.569
2015-05-10,Bryant,0.568
2015-05-10,Georgetown,0.547
2015-05-10,Notre Dame,0.543
2015-05-10,Sacred Heart,0.537
2015-05-10,VMI,0.535
2015-05-10,St. John's,0.529
2015-05-10,Hartford,0.517
2015-05-10,Binghamton,0.516
2015-05-10,Loyola Maryland,0.515
2015-05-10,Canisius,0.514
2015-05-10,Princeton,0.484
2015-05-10,UMass Lowell,0.519
2015-05-09,Saint Joseph's,0.8
2015-05-09,Richmond,0.789
2015-05-09,Providence,0.767
2015-05-09,Furman,0.756
