Date,Team,Man Down Defense Percent
2015-03-29,Georgetown,0.5
2015-03-29,Denver,0.5
2015-03-29,Hartford,0.483
2015-03-29,Sacred Heart,0.48
2015-03-29,VMI,0.48
2015-03-29,Notre Dame,0.474
2015-03-29,Mercer,0.462
2015-03-29,Princeton,0.459
2015-03-29,UAlbany,0.452
2015-03-29,Canisius,0.409
2015-03-29,Binghamton,0.3
2015-03-28,Ohio St.,0.923
2015-03-28,Saint Joseph's,0.828
2015-03-28,Providence,0.78
2015-03-28,Colgate,0.773
2015-03-28,Richmond,0.763
2015-03-28,Dartmouth,0.759
2015-03-28,Monmouth,0.75
2015-03-28,Bellarmine,0.727
2015-03-28,Maryland,0.727
2015-03-28,Brown,0.724
2015-03-28,Hobart,0.722
2015-03-28,Army West Point,0.72
2015-03-28,High Point,0.719
2015-03-28,Siena,0.714
2015-03-28,Fairfield,0.714
2015-03-28,Lafayette,0.706
2015-03-28,Marquette,0.706
2015-03-28,North Carolina,0.702
2015-03-28,Cornell,0.697
2015-03-28,Furman,0.692
2015-03-28,Detroit Mercy,0.688
2015-03-28,Villanova,0.688
2015-03-28,Delaware,0.686
2015-03-28,Towson,0.679
2015-03-28,Holy Cross,0.676
2015-03-28,Marist,0.667
2015-03-28,Penn,0.667
2015-03-28,UMBC,0.667
2015-03-28,Johns Hopkins,0.667
2015-03-28,Penn St.,0.667
2015-03-28,Vermont,0.655
2015-03-28,Boston U.,0.636
2015-03-28,Jacksonville,0.636
2015-03-28,Syracuse,0.636
2015-03-28,Manhattan,0.633
2015-03-28,Yale,0.63
2015-03-28,Quinnipiac,0.629
2015-03-28,Michigan,0.625
2015-03-28,Robert Morris,0.625
2015-03-28,Drexel,0.622
2015-03-28,Stony Brook,0.621
2015-03-28,Virginia,0.618
2015-03-28,Harvard,0.612
2015-03-28,NJIT,0.611
2015-03-28,Wagner,0.609
2015-03-28,Air Force,0.606
2015-03-28,Lehigh,0.605
2015-03-28,UMass Lowell,0.6
2015-03-28,Mount St. Mary's,0.6
2015-03-28,Hofstra,0.594
2015-03-28,Bucknell,0.588
2015-03-28,Navy,0.579
2015-03-28,Massachusetts,0.571
2015-03-28,St. John's,0.568
2015-03-28,Bryant,0.55
2015-03-28,Loyola Maryland,0.542
2015-03-28,Rutgers,0.519
2015-03-28,Hartford,0.517
2015-03-28,Georgetown,0.5
2015-03-28,Denver,0.5
2015-03-28,Sacred Heart,0.48
2015-03-28,VMI,0.48
2015-03-28,Notre Dame,0.474
2015-03-28,Mercer,0.462
2015-03-28,Princeton,0.459
2015-03-28,Duke,0.452
2015-03-28,UAlbany,0.452
2015-03-28,Canisius,0.409
2015-03-28,Binghamton,0.3
2015-03-27,Ohio St.,0.923
2015-03-27,Saint Joseph's,0.828
2015-03-27,Providence,0.778
2015-03-27,Dartmouth,0.769
2015-03-27,Monmouth,0.75
2015-03-27,Colgate,0.75
2015-03-27,Richmond,0.743
2015-03-27,Holy Cross,0.733
2015-03-27,Siena,0.727
2015-03-27,Maryland,0.727
2015-03-27,Brown,0.724
2015-03-27,Marquette,0.719
2015-03-27,Bellarmine,0.714
2015-03-27,Fairfield,0.714
2015-03-27,Furman,0.708
2015-03-27,Lafayette,0.706
2015-03-27,North Carolina,0.702
2015-03-27,Army West Point,0.696
2015-03-27,High Point,0.69
2015-03-27,Hobart,0.688
2015-03-27,Towson,0.68
2015-03-27,Vermont,0.679
2015-03-27,Villanova,0.677
2015-03-27,Penn,0.676
2015-03-27,UMBC,0.667
2015-03-27,Cornell,0.667
2015-03-27,Delaware,0.667
2015-03-27,Detroit Mercy,0.667
2015-03-27,Penn St.,0.667
2015-03-27,Quinnipiac,0.655
2015-03-27,Marist,0.647
2015-03-27,Manhattan,0.636
2015-03-27,Boston U.,0.633
2015-03-27,Johns Hopkins,0.625
2015-03-27,Michigan,0.625
2015-03-27,Air Force,0.613
2015-03-27,Harvard,0.612
2015-03-27,Drexel,0.6
2015-03-27,Bucknell,0.6
2015-03-27,UMass Lowell,0.6
2015-03-27,Virginia,0.6
2015-03-27,Stony Brook,0.6
2015-03-27,Jacksonville,0.6
2015-03-27,Syracuse,0.6
2015-03-27,Robert Morris,0.6
2015-03-27,Mount St. Mary's,0.593
2015-03-27,Lehigh,0.585
2015-03-27,Hofstra,0.567
2015-03-27,NJIT,0.567
2015-03-27,Bryant,0.55
2015-03-27,Massachusetts,0.545
2015-03-27,Yale,0.545
2015-03-27,Loyola Maryland,0.545
2015-03-27,Georgetown,0.536
2015-03-27,Wagner,0.526
2015-03-27,St. John's,0.516
2015-03-27,Navy,0.5
2015-03-27,Denver,0.5
2015-03-27,Rutgers,0.5
2015-03-27,Notre Dame,0.5
2015-03-27,Hartford,0.481
2015-03-27,VMI,0.48
2015-03-27,Princeton,0.459
2015-03-27,Sacred Heart,0.458
2015-03-27,Duke,0.452
2015-03-27,Mercer,0.44
2015-03-27,UAlbany,0.433
2015-03-27,Canisius,0.368
2015-03-27,Binghamton,0.316
2015-03-25,Ohio St.,0.923
2015-03-25,Saint Joseph's,0.828
2015-03-25,Providence,0.778
2015-03-25,Dartmouth,0.769
2015-03-25,Lafayette,0.767
2015-03-25,Monmouth,0.75
2015-03-25,Colgate,0.75
2015-03-25,Richmond,0.743
2015-03-25,Holy Cross,0.733
2015-03-25,Siena,0.727
2015-03-25,Maryland,0.727
2015-03-25,Brown,0.724
2015-03-25,Marquette,0.719
2015-03-25,Bellarmine,0.714
2015-03-25,Fairfield,0.714
2015-03-25,Furman,0.708
2015-03-25,North Carolina,0.702
2015-03-25,Army West Point,0.696
2015-03-25,High Point,0.69
2015-03-25,Hobart,0.688
2015-03-25,Towson,0.68
2015-03-25,Vermont,0.679
2015-03-25,Villanova,0.677
2015-03-25,Penn,0.676
2015-03-25,Cornell,0.667
2015-03-25,Detroit Mercy,0.667
2015-03-25,Delaware,0.667
2015-03-25,Penn St.,0.667
2015-03-25,Quinnipiac,0.655
2015-03-25,Marist,0.647
2015-03-25,Manhattan,0.636
2015-03-25,Boston U.,0.633
2015-03-25,UMBC,0.625
2015-03-25,Michigan,0.625
2015-03-25,Johns Hopkins,0.625
2015-03-25,Air Force,0.613
2015-03-25,Harvard,0.612
2015-03-25,Drexel,0.6
2015-03-25,Bucknell,0.6
2015-03-25,UMass Lowell,0.6
2015-03-25,Virginia,0.6
2015-03-25,Stony Brook,0.6
2015-03-25,Jacksonville,0.6
2015-03-25,Syracuse,0.6
2015-03-25,Robert Morris,0.6
2015-03-25,Mount St. Mary's,0.593
2015-03-25,Lehigh,0.585
2015-03-25,Hofstra,0.567
2015-03-25,NJIT,0.567
2015-03-25,Bryant,0.55
2015-03-25,Massachusetts,0.545
2015-03-25,Yale,0.545
2015-03-25,Loyola Maryland,0.545
2015-03-25,Georgetown,0.536
2015-03-25,Wagner,0.526
2015-03-25,St. John's,0.516
2015-03-25,Navy,0.5
2015-03-25,Denver,0.5
2015-03-25,Rutgers,0.5
2015-03-25,Notre Dame,0.5
2015-03-25,Hartford,0.481
2015-03-25,VMI,0.48
2015-03-25,UAlbany,0.467
2015-03-25,Princeton,0.459
2015-03-25,Sacred Heart,0.458
2015-03-25,Duke,0.452
2015-03-25,Mercer,0.44
2015-03-25,Canisius,0.368
2015-03-25,Binghamton,0.316
2015-03-24,Ohio St.,0.923
2015-03-24,Saint Joseph's,0.828
2015-03-24,Providence,0.778
2015-03-24,Dartmouth,0.769
2015-03-24,Lafayette,0.767
2015-03-24,Monmouth,0.75
2015-03-24,Colgate,0.75
2015-03-24,Richmond,0.743
2015-03-24,Holy Cross,0.733
2015-03-24,Siena,0.727
2015-03-24,Maryland,0.727
2015-03-24,Brown,0.724
2015-03-24,Marquette,0.719
2015-03-24,Bellarmine,0.714
2015-03-24,Fairfield,0.714
2015-03-24,Furman,0.708
2015-03-24,North Carolina,0.702
2015-03-24,Army West Point,0.696
2015-03-24,High Point,0.69
2015-03-24,Hobart,0.688
2015-03-24,Towson,0.68
2015-03-24,Vermont,0.679
2015-03-24,Villanova,0.677
2015-03-24,Penn,0.676
2015-03-24,Cornell,0.667
2015-03-24,Delaware,0.667
2015-03-24,Detroit Mercy,0.667
2015-03-24,Penn St.,0.667
2015-03-24,Quinnipiac,0.655
2015-03-24,Marist,0.647
2015-03-24,Manhattan,0.636
2015-03-24,Boston U.,0.633
2015-03-24,Michigan,0.625
2015-03-24,Johns Hopkins,0.625
2015-03-24,UMBC,0.625
2015-03-24,Air Force,0.613
2015-03-24,Drexel,0.6
2015-03-24,Bucknell,0.6
2015-03-24,Virginia,0.6
2015-03-24,UMass Lowell,0.6
2015-03-24,Stony Brook,0.6
2015-03-24,Jacksonville,0.6
2015-03-24,Syracuse,0.6
2015-03-24,Robert Morris,0.6
2015-03-24,Mount St. Mary's,0.593
2015-03-24,Lehigh,0.585
2015-03-24,Harvard,0.585
2015-03-24,Hofstra,0.567
2015-03-24,NJIT,0.567
2015-03-24,Bryant,0.55
2015-03-24,Massachusetts,0.545
2015-03-24,Yale,0.545
2015-03-24,Loyola Maryland,0.545
2015-03-24,Georgetown,0.536
2015-03-24,Wagner,0.526
2015-03-24,St. John's,0.516
2015-03-24,Navy,0.5
2015-03-24,Denver,0.5
2015-03-24,Rutgers,0.5
2015-03-24,Notre Dame,0.5
2015-03-24,Hartford,0.481
2015-03-24,VMI,0.48
2015-03-24,Princeton,0.459
2015-03-24,Sacred Heart,0.458
2015-03-24,Duke,0.452
2015-03-24,UAlbany,0.444
2015-03-24,Mercer,0.44
2015-03-24,Canisius,0.368
2015-03-24,Binghamton,0.316
2015-03-23,Ohio St.,0.923
2015-03-23,Saint Joseph's,0.828
2015-03-23,Monmouth,0.821
2015-03-23,Brown,0.769
2015-03-23,Lafayette,0.767
2015-03-23,Dartmouth,0.762
2015-03-23,Colgate,0.75
2015-03-23,Richmond,0.743
2015-03-23,Providence,0.742
2015-03-23,Holy Cross,0.733
2015-03-23,Siena,0.727
2015-03-23,Marist,0.724
2015-03-23,Marquette,0.719
2015-03-23,Bellarmine,0.714
2015-03-23,Maryland,0.714
2015-03-23,Fairfield,0.714
2015-03-23,Furman,0.708
2015-03-23,North Carolina,0.702
2015-03-23,Army West Point,0.696
2015-03-23,High Point,0.69
2015-03-23,Hobart,0.688
2015-03-23,Towson,0.68
2015-03-23,Villanova,0.677
2015-03-23,Penn,0.676
2015-03-23,Cornell,0.667
2015-03-23,Detroit Mercy,0.667
2015-03-23,Delaware,0.667
2015-03-23,Penn St.,0.667
2015-03-23,Quinnipiac,0.655
2015-03-23,Robert Morris,0.643
2015-03-23,Manhattan,0.636
2015-03-23,Boston U.,0.633
2015-03-23,Mount St. Mary's,0.625
2015-03-23,Michigan,0.625
2015-03-23,Johns Hopkins,0.625
2015-03-23,Air Force,0.613
2015-03-23,Virginia,0.607
2015-03-23,Vermont,0.605
2015-03-23,Bucknell,0.6
2015-03-23,UMass Lowell,0.6
2015-03-23,Stony Brook,0.6
2015-03-23,Jacksonville,0.6
2015-03-23,Syracuse,0.6
2015-03-23,Harvard,0.585
2015-03-23,Drexel,0.581
2015-03-23,Lehigh,0.568
2015-03-23,Hofstra,0.567
2015-03-23,NJIT,0.567
2015-03-23,UMBC,0.556
2015-03-23,Massachusetts,0.545
2015-03-23,Loyola Maryland,0.545
2015-03-23,Yale,0.545
2015-03-23,Georgetown,0.536
2015-03-23,Wagner,0.526
2015-03-23,St. John's,0.516
2015-03-23,Navy,0.5
2015-03-23,Denver,0.5
2015-03-23,Rutgers,0.5
2015-03-23,VMI,0.5
2015-03-23,Notre Dame,0.5
2015-03-23,Hartford,0.481
2015-03-23,Princeton,0.459
2015-03-23,Sacred Heart,0.458
2015-03-23,Duke,0.452
2015-03-23,UAlbany,0.444
2015-03-23,Mercer,0.44
2015-03-23,Bryant,0.438
2015-03-23,Canisius,0.368
2015-03-23,Binghamton,0.333
2015-03-22,Ohio St.,0.923
2015-03-22,Saint Joseph's,0.828
2015-03-22,Monmouth,0.821
2015-03-22,Brown,0.769
2015-03-22,Lafayette,0.767
2015-03-22,Dartmouth,0.762
2015-03-22,Colgate,0.75
2015-03-22,Providence,0.742
2015-03-22,Richmond,0.735
2015-03-22,Holy Cross,0.733
2015-03-22,Siena,0.727
2015-03-22,Marist,0.724
2015-03-22,Marquette,0.719
2015-03-22,Bellarmine,0.714
2015-03-22,Maryland,0.714
2015-03-22,Furman,0.708
2015-03-22,North Carolina,0.702
2015-03-22,Army West Point,0.696
2015-03-22,Fairfield,0.692
2015-03-22,High Point,0.69
2015-03-22,Hobart,0.688
2015-03-22,Towson,0.68
2015-03-22,Villanova,0.677
2015-03-22,Penn,0.676
2015-03-22,Cornell,0.667
2015-03-22,Detroit Mercy,0.667
2015-03-22,Delaware,0.667
2015-03-22,Penn St.,0.667
2015-03-22,Quinnipiac,0.655
2015-03-22,Robert Morris,0.643
2015-03-22,Manhattan,0.636
2015-03-22,Boston U.,0.633
2015-03-22,Mount St. Mary's,0.625
2015-03-22,Michigan,0.625
2015-03-22,Johns Hopkins,0.625
2015-03-22,Air Force,0.613
2015-03-22,Virginia,0.607
2015-03-22,Vermont,0.605
2015-03-22,Bucknell,0.6
2015-03-22,UMass Lowell,0.6
2015-03-22,Stony Brook,0.6
2015-03-22,Jacksonville,0.6
2015-03-22,Syracuse,0.6
2015-03-22,Harvard,0.585
2015-03-22,Drexel,0.581
2015-03-22,Lehigh,0.568
2015-03-22,Hofstra,0.567
2015-03-22,NJIT,0.556
2015-03-22,UMBC,0.556
2015-03-22,Massachusetts,0.545
2015-03-22,Loyola Maryland,0.545
2015-03-22,Yale,0.545
2015-03-22,Hartford,0.536
2015-03-22,Georgetown,0.536
2015-03-22,Wagner,0.526
2015-03-22,St. John's,0.516
2015-03-22,Navy,0.5
2015-03-22,Denver,0.5
2015-03-22,Rutgers,0.5
2015-03-22,VMI,0.5
2015-03-22,Notre Dame,0.5
2015-03-22,Mercer,0.462
2015-03-22,Princeton,0.459
2015-03-22,Sacred Heart,0.458
2015-03-22,Duke,0.452
2015-03-22,UAlbany,0.444
2015-03-22,Bryant,0.438
2015-03-22,Canisius,0.368
2015-03-22,Binghamton,0.333
2015-03-21,Ohio St.,0.923
2015-03-21,Saint Joseph's,0.828
2015-03-21,Monmouth,0.821
2015-03-21,Brown,0.769
2015-03-21,Lafayette,0.767
2015-03-21,Dartmouth,0.762
2015-03-21,Colgate,0.75
2015-03-21,Providence,0.742
2015-03-21,Richmond,0.735
2015-03-21,Holy Cross,0.733
2015-03-21,Siena,0.727
2015-03-21,Marist,0.724
2015-03-21,Marquette,0.719
2015-03-21,Bellarmine,0.714
2015-03-21,Maryland,0.714
2015-03-21,Furman,0.708
2015-03-21,North Carolina,0.702
2015-03-21,Army West Point,0.696
2015-03-21,Fairfield,0.692
2015-03-21,High Point,0.69
2015-03-21,Hobart,0.688
2015-03-21,Towson,0.68
2015-03-21,Villanova,0.677
2015-03-21,Penn,0.676
2015-03-21,Cornell,0.667
2015-03-21,Detroit Mercy,0.667
2015-03-21,Delaware,0.667
2015-03-21,Penn St.,0.667
2015-03-21,Quinnipiac,0.655
2015-03-21,Robert Morris,0.643
2015-03-21,Manhattan,0.636
2015-03-21,Boston U.,0.633
2015-03-21,Mount St. Mary's,0.625
2015-03-21,Michigan,0.625
2015-03-21,Johns Hopkins,0.625
2015-03-21,Air Force,0.613
2015-03-21,Stony Brook,0.609
2015-03-21,Virginia,0.607
2015-03-21,Vermont,0.605
2015-03-21,UMass Lowell,0.6
2015-03-21,Bucknell,0.6
2015-03-21,Jacksonville,0.6
2015-03-21,Harvard,0.585
2015-03-21,Drexel,0.581
2015-03-21,Lehigh,0.568
2015-03-21,Hofstra,0.567
2015-03-21,Syracuse,0.563
2015-03-21,NJIT,0.556
2015-03-21,Massachusetts,0.545
2015-03-21,Loyola Maryland,0.545
2015-03-21,Yale,0.545
2015-03-21,Hartford,0.536
2015-03-21,Georgetown,0.536
2015-03-21,Wagner,0.526
2015-03-21,St. John's,0.516
2015-03-21,Navy,0.5
2015-03-21,Denver,0.5
2015-03-21,Rutgers,0.5
2015-03-21,VMI,0.5
2015-03-21,Notre Dame,0.5
2015-03-21,UMBC,0.5
2015-03-21,Duke,0.48
2015-03-21,Mercer,0.462
2015-03-21,Princeton,0.459
2015-03-21,Sacred Heart,0.458
2015-03-21,UAlbany,0.444
2015-03-21,Bryant,0.438
2015-03-21,Canisius,0.368
2015-03-21,Binghamton,0.333
2015-03-20,Ohio St.,1.0
2015-03-20,Saint Joseph's,0.846
2015-03-20,Lafayette,0.84
2015-03-20,Monmouth,0.81
2015-03-20,Maryland,0.778
2015-03-20,Brown,0.773
2015-03-20,Marist,0.769
2015-03-20,Richmond,0.759
2015-03-20,Providence,0.742
2015-03-20,North Carolina,0.727
2015-03-20,Marquette,0.724
2015-03-20,Detroit Mercy,0.714
2015-03-20,Colgate,0.706
2015-03-20,Furman,0.696
2015-03-20,Quinnipiac,0.696
2015-03-20,Delaware,0.692
2015-03-20,Manhattan,0.675
2015-03-20,Siena,0.667
2015-03-20,Bellarmine,0.667
2015-03-20,Holy Cross,0.667
2015-03-20,Penn St.,0.667
2015-03-20,Army West Point,0.667
2015-03-20,Dartmouth,0.667
2015-03-20,Jacksonville,0.667
2015-03-20,Villanova,0.654
2015-03-20,High Point,0.654
2015-03-20,Towson,0.652
2015-03-20,Johns Hopkins,0.65
2015-03-20,Penn,0.643
2015-03-20,UMass Lowell,0.643
2015-03-20,Cornell,0.64
2015-03-20,Mount St. Mary's,0.636
2015-03-20,Bucknell,0.636
2015-03-20,Fairfield,0.636
2015-03-20,Harvard,0.622
2015-03-20,Boston U.,0.615
2015-03-20,Hobart,0.615
2015-03-20,Michigan,0.609
2015-03-20,Stony Brook,0.609
2015-03-20,Air Force,0.607
2015-03-20,Robert Morris,0.6
2015-03-20,Lehigh,0.588
2015-03-20,Drexel,0.586
2015-03-20,Vermont,0.585
2015-03-20,Virginia,0.583
2015-03-20,Loyola Maryland,0.579
2015-03-20,St. John's,0.571
2015-03-20,Hartford,0.571
2015-03-20,Syracuse,0.563
2015-03-20,Massachusetts,0.56
2015-03-20,Hofstra,0.56
2015-03-20,NJIT,0.556
2015-03-20,Bryant,0.545
2015-03-20,VMI,0.542
2015-03-20,Georgetown,0.536
2015-03-20,Wagner,0.529
2015-03-20,Yale,0.529
2015-03-20,Navy,0.517
2015-03-20,Rutgers,0.5
2015-03-20,UMBC,0.5
2015-03-20,Denver,0.48
2015-03-20,Duke,0.48
2015-03-20,Princeton,0.471
2015-03-20,Sacred Heart,0.429
2015-03-20,UAlbany,0.4
2015-03-20,Binghamton,0.357
2015-03-20,Mercer,0.35
2015-03-20,Canisius,0.333
2015-03-20,Notre Dame,0.308
2015-03-18,Ohio St.,1.0
2015-03-18,Saint Joseph's,0.846
2015-03-18,Lafayette,0.84
2015-03-18,Monmouth,0.81
2015-03-18,Maryland,0.778
2015-03-18,Brown,0.773
2015-03-18,Marist,0.769
2015-03-18,Richmond,0.759
2015-03-18,Providence,0.742
2015-03-18,North Carolina,0.727
2015-03-18,Marquette,0.724
2015-03-18,Detroit Mercy,0.714
2015-03-18,Colgate,0.706
2015-03-18,Furman,0.696
2015-03-18,Quinnipiac,0.696
2015-03-18,Delaware,0.692
2015-03-18,Manhattan,0.675
2015-03-18,Siena,0.667
2015-03-18,Bellarmine,0.667
2015-03-18,Holy Cross,0.667
2015-03-18,Penn St.,0.667
2015-03-18,Army West Point,0.667
2015-03-18,Dartmouth,0.667
2015-03-18,Jacksonville,0.667
2015-03-18,Villanova,0.654
2015-03-18,High Point,0.654
2015-03-18,Towson,0.652
2015-03-18,Johns Hopkins,0.65
2015-03-18,Penn,0.643
2015-03-18,UMass Lowell,0.643
2015-03-18,Air Force,0.643
2015-03-18,Cornell,0.64
2015-03-18,Mount St. Mary's,0.636
2015-03-18,Bucknell,0.636
2015-03-18,Fairfield,0.636
2015-03-18,Harvard,0.622
2015-03-18,Boston U.,0.615
2015-03-18,Hobart,0.615
2015-03-18,Michigan,0.609
2015-03-18,Stony Brook,0.609
2015-03-18,Robert Morris,0.6
2015-03-18,Lehigh,0.588
2015-03-18,Drexel,0.586
2015-03-18,Vermont,0.585
2015-03-18,Virginia,0.583
2015-03-18,Loyola Maryland,0.579
2015-03-18,St. John's,0.571
2015-03-18,Hartford,0.571
2015-03-18,Syracuse,0.563
2015-03-18,Hofstra,0.56
2015-03-18,NJIT,0.56
2015-03-18,Massachusetts,0.56
2015-03-18,Bryant,0.545
2015-03-18,VMI,0.542
2015-03-18,Georgetown,0.536
2015-03-18,Wagner,0.529
2015-03-18,Yale,0.529
2015-03-18,Navy,0.517
2015-03-18,UMBC,0.5
2015-03-18,Denver,0.48
2015-03-18,Duke,0.48
2015-03-18,Rutgers,0.478
2015-03-18,Princeton,0.471
2015-03-18,UAlbany,0.44
2015-03-18,Sacred Heart,0.429
2015-03-18,Binghamton,0.357
2015-03-18,Mercer,0.35
2015-03-18,Canisius,0.333
2015-03-18,Notre Dame,0.308
2015-03-17,Ohio St.,1.0
2015-03-17,Saint Joseph's,0.846
2015-03-17,Lafayette,0.84
2015-03-17,Monmouth,0.81
2015-03-17,Maryland,0.778
2015-03-17,Brown,0.773
2015-03-17,Marist,0.769
2015-03-17,Richmond,0.759
2015-03-17,Providence,0.742
2015-03-17,North Carolina,0.727
2015-03-17,Marquette,0.724
2015-03-17,Detroit Mercy,0.714
2015-03-17,Colgate,0.706
2015-03-17,Furman,0.696
2015-03-17,Quinnipiac,0.696
2015-03-17,Siena,0.667
2015-03-17,Holy Cross,0.667
2015-03-17,Bellarmine,0.667
2015-03-17,Penn St.,0.667
2015-03-17,Army West Point,0.667
2015-03-17,Jacksonville,0.667
2015-03-17,Dartmouth,0.667
2015-03-17,Villanova,0.654
2015-03-17,High Point,0.654
2015-03-17,Towson,0.652
2015-03-17,Johns Hopkins,0.65
2015-03-17,UMass Lowell,0.643
2015-03-17,Air Force,0.643
2015-03-17,Penn,0.643
2015-03-17,Cornell,0.64
2015-03-17,Manhattan,0.636
2015-03-17,Mount St. Mary's,0.636
2015-03-17,Bucknell,0.636
2015-03-17,Fairfield,0.636
2015-03-17,Delaware,0.632
2015-03-17,Harvard,0.622
2015-03-17,Boston U.,0.615
2015-03-17,Hobart,0.615
2015-03-17,Stony Brook,0.609
2015-03-17,Michigan,0.609
2015-03-17,Robert Morris,0.6
2015-03-17,Lehigh,0.588
2015-03-17,Drexel,0.586
2015-03-17,Vermont,0.585
2015-03-17,Virginia,0.583
2015-03-17,St. John's,0.571
2015-03-17,Hartford,0.571
2015-03-17,Syracuse,0.563
2015-03-17,Massachusetts,0.56
2015-03-17,Hofstra,0.56
2015-03-17,NJIT,0.56
2015-03-17,Georgetown,0.556
2015-03-17,Loyola Maryland,0.556
2015-03-17,Bryant,0.545
2015-03-17,VMI,0.542
2015-03-17,Yale,0.529
2015-03-17,Wagner,0.529
2015-03-17,Navy,0.517
2015-03-17,UMBC,0.5
2015-03-17,Duke,0.48
2015-03-17,Denver,0.48
2015-03-17,Rutgers,0.478
2015-03-17,Princeton,0.471
2015-03-17,UAlbany,0.44
2015-03-17,Sacred Heart,0.429
2015-03-17,Binghamton,0.357
2015-03-17,Mercer,0.35
2015-03-17,Canisius,0.333
2015-03-17,Notre Dame,0.308
2015-03-14,Ohio St.,1.0
2015-03-14,Saint Joseph's,0.846
2015-03-14,Lafayette,0.826
2015-03-14,Marist,0.792
2015-03-14,Brown,0.783
2015-03-14,Maryland,0.778
2015-03-14,Richmond,0.759
2015-03-14,Providence,0.742
2015-03-14,UMass Lowell,0.739
2015-03-14,Marquette,0.724
2015-03-14,North Carolina,0.718
2015-03-14,Detroit Mercy,0.714
2015-03-14,Monmouth,0.714
2015-03-14,Towson,0.7
2015-03-14,Furman,0.696
2015-03-14,Quinnipiac,0.696
2015-03-14,Stony Brook,0.684
2015-03-14,Cornell,0.682
2015-03-14,Harvard,0.667
2015-03-14,Siena,0.667
2015-03-14,Bellarmine,0.667
2015-03-14,Penn St.,0.667
2015-03-14,Army West Point,0.667
2015-03-14,Dartmouth,0.667
2015-03-14,Colgate,0.667
2015-03-14,Jacksonville,0.667
2015-03-14,Lehigh,0.655
2015-03-14,Villanova,0.654
2015-03-14,High Point,0.654
2015-03-14,Johns Hopkins,0.65
2015-03-14,Penn,0.643
2015-03-14,Air Force,0.643
2015-03-14,Manhattan,0.636
2015-03-14,Mount St. Mary's,0.636
2015-03-14,Delaware,0.632
2015-03-14,Boston U.,0.615
2015-03-14,Hobart,0.615
2015-03-14,Michigan,0.609
2015-03-14,Bucknell,0.6
2015-03-14,Holy Cross,0.6
2015-03-14,Robert Morris,0.6
2015-03-14,Fairfield,0.6
2015-03-14,Drexel,0.586
2015-03-14,Vermont,0.585
2015-03-14,Virginia,0.583
2015-03-14,Hartford,0.579
2015-03-14,VMI,0.571
2015-03-14,Hofstra,0.565
2015-03-14,Syracuse,0.563
2015-03-14,St. John's,0.56
2015-03-14,Massachusetts,0.56
2015-03-14,Georgetown,0.556
2015-03-14,Loyola Maryland,0.556
2015-03-14,Bryant,0.545
2015-03-14,Yale,0.529
2015-03-14,Wagner,0.529
2015-03-14,Rutgers,0.524
2015-03-14,Navy,0.517
2015-03-14,UMBC,0.5
2015-03-14,Canisius,0.5
2015-03-14,Duke,0.48
2015-03-14,Sacred Heart,0.471
2015-03-14,Denver,0.458
2015-03-14,Princeton,0.419
2015-03-14,NJIT,0.412
2015-03-14,Binghamton,0.357
2015-03-14,Mercer,0.35
2015-03-14,UAlbany,0.313
2015-03-14,Notre Dame,0.308
2015-03-11,Ohio St.,1.0
2015-03-11,Saint Joseph's,0.857
2015-03-11,Lafayette,0.818
2015-03-11,Marist,0.792
2015-03-11,Brown,0.789
2015-03-11,Penn,0.789
2015-03-11,Richmond,0.783
2015-03-11,Providence,0.778
2015-03-11,Maryland,0.765
2015-03-11,UMass Lowell,0.75
2015-03-11,High Point,0.727
2015-03-11,Marquette,0.724
2015-03-11,North Carolina,0.722
2015-03-11,Cornell,0.722
2015-03-11,Quinnipiac,0.714
2015-03-11,Detroit Mercy,0.714
2015-03-11,Monmouth,0.714
2015-03-11,Army West Point,0.706
2015-03-11,Furman,0.7
2015-03-11,Towson,0.688
2015-03-11,Johns Hopkins,0.684
2015-03-11,Stony Brook,0.684
2015-03-11,Air Force,0.667
2015-03-11,Dartmouth,0.667
2015-03-11,Fairfield,0.667
2015-03-11,Siena,0.652
2015-03-11,Delaware,0.647
2015-03-11,Penn St.,0.647
2015-03-11,Colgate,0.643
2015-03-11,Jacksonville,0.643
2015-03-11,Lehigh,0.64
2015-03-11,Mount St. Mary's,0.636
2015-03-11,Michigan,0.636
2015-03-11,Manhattan,0.633
2015-03-11,Georgetown,0.625
2015-03-11,Villanova,0.625
2015-03-11,Harvard,0.621
2015-03-11,Hobart,0.615
2015-03-11,Vermont,0.6
2015-03-11,Robert Morris,0.6
2015-03-11,Massachusetts,0.591
2015-03-11,Bucknell,0.588
2015-03-11,Syracuse,0.583
2015-03-11,Yale,0.583
2015-03-11,Holy Cross,0.579
2015-03-11,Bellarmine,0.579
2015-03-11,VMI,0.579
2015-03-11,Navy,0.577
2015-03-11,St. John's,0.565
2015-03-11,Virginia,0.565
2015-03-11,Boston U.,0.565
2015-03-11,Drexel,0.556
2015-03-11,Hofstra,0.545
2015-03-11,Bryant,0.545
2015-03-11,Loyola Maryland,0.533
2015-03-11,UMBC,0.533
2015-03-11,Wagner,0.529
2015-03-11,Hartford,0.529
2015-03-11,Canisius,0.5
2015-03-11,Rutgers,0.471
2015-03-11,Duke,0.455
2015-03-11,Sacred Heart,0.455
2015-03-11,Princeton,0.444
2015-03-11,Binghamton,0.417
2015-03-11,NJIT,0.412
