Date,Team,Faceoff Percent
2015-03-24,Fairfield,0.563
2015-03-24,Johns Hopkins,0.559
2015-03-24,Penn St.,0.557
2015-03-24,Sacred Heart,0.545
2015-03-24,Saint Joseph's,0.545
2015-03-24,Mercer,0.531
2015-03-24,Georgetown,0.53
2015-03-24,Vermont,0.528
2015-03-24,Stony Brook,0.522
2015-03-24,Dartmouth,0.506
2015-03-24,Marquette,0.497
2015-03-24,Notre Dame,0.497
2015-03-24,Michigan,0.493
2015-03-24,Marist,0.492
2015-03-24,UAlbany,0.489
2015-03-24,Air Force,0.484
2015-03-24,Bellarmine,0.483
2015-03-24,Penn,0.483
2015-03-24,Canisius,0.48
2015-03-24,North Carolina,0.478
2015-03-24,Towson,0.477
2015-03-24,Delaware,0.475
2015-03-24,Holy Cross,0.462
2015-03-24,Massachusetts,0.459
2015-03-24,Siena,0.456
2015-03-24,Princeton,0.455
2015-03-24,Mount St. Mary's,0.454
2015-03-24,St. John's,0.449
2015-03-24,NJIT,0.447
2015-03-24,Binghamton,0.446
2015-03-24,Furman,0.442
2015-03-24,Robert Morris,0.441
2015-03-24,VMI,0.43
2015-03-24,Harvard,0.422
2015-03-24,Hobart,0.42
2015-03-24,Richmond,0.419
2015-03-24,Wagner,0.415
2015-03-24,Colgate,0.413
2015-03-24,Villanova,0.411
2015-03-24,Virginia,0.406
2015-03-24,Lehigh,0.401
2015-03-24,Quinnipiac,0.396
2015-03-24,Detroit Mercy,0.395
2015-03-24,Bucknell,0.391
2015-03-24,Monmouth,0.376
2015-03-24,Manhattan,0.359
2015-03-24,Providence,0.347
2015-03-24,UMBC,0.346
2015-03-24,Lafayette,0.321
2015-03-24,UMass Lowell,0.235
2015-03-23,Boston U.,0.673
2015-03-23,Syracuse,0.67
2015-03-23,Denver,0.67
2015-03-23,Rutgers,0.664
2015-03-23,Cornell,0.664
2015-03-23,Navy,0.653
2015-03-23,Ohio St.,0.643
2015-03-23,Hofstra,0.631
2015-03-23,Brown,0.63
2015-03-23,Bryant,0.601
2015-03-23,Yale,0.59
2015-03-23,Jacksonville,0.578
2015-03-23,High Point,0.577
2015-03-23,Drexel,0.577
2015-03-23,Loyola Maryland,0.573
2015-03-23,Hartford,0.572
2015-03-23,Duke,0.567
2015-03-23,Maryland,0.566
2015-03-23,Army West Point,0.565
2015-03-23,Fairfield,0.563
2015-03-23,Johns Hopkins,0.559
2015-03-23,Penn St.,0.557
2015-03-23,Sacred Heart,0.545
2015-03-23,Saint Joseph's,0.545
2015-03-23,Vermont,0.541
2015-03-23,Mercer,0.531
2015-03-23,Georgetown,0.53
2015-03-23,Stony Brook,0.522
2015-03-23,Marist,0.514
2015-03-23,Marquette,0.497
2015-03-23,Notre Dame,0.497
2015-03-23,Michigan,0.493
2015-03-23,UAlbany,0.489
2015-03-23,Dartmouth,0.488
2015-03-23,Air Force,0.484
2015-03-23,Bellarmine,0.483
2015-03-23,Penn,0.483
2015-03-23,Canisius,0.48
2015-03-23,North Carolina,0.478
2015-03-23,Towson,0.477
2015-03-23,Delaware,0.475
2015-03-23,Holy Cross,0.462
2015-03-23,Massachusetts,0.459
2015-03-23,Siena,0.456
2015-03-23,Princeton,0.455
2015-03-23,Mount St. Mary's,0.45
2015-03-23,St. John's,0.449
2015-03-23,NJIT,0.447
2015-03-23,Binghamton,0.446
2015-03-23,Furman,0.442
2015-03-23,Robert Morris,0.44
2015-03-23,VMI,0.431
2015-03-23,Harvard,0.422
2015-03-23,Hobart,0.42
2015-03-23,Richmond,0.419
2015-03-23,Wagner,0.415
2015-03-23,Colgate,0.413
2015-03-23,Villanova,0.411
2015-03-23,Quinnipiac,0.396
2015-03-23,Detroit Mercy,0.395
2015-03-23,Bucknell,0.391
2015-03-23,Virginia,0.388
2015-03-23,Lehigh,0.385
2015-03-23,Providence,0.364
2015-03-23,Manhattan,0.359
2015-03-23,Monmouth,0.35
2015-03-23,Lafayette,0.321
2015-03-23,UMBC,0.319
2015-03-23,UMass Lowell,0.235
2015-03-22,Boston U.,0.673
2015-03-22,Syracuse,0.67
2015-03-22,Denver,0.67
2015-03-22,Rutgers,0.664
2015-03-22,Cornell,0.664
2015-03-22,Navy,0.653
2015-03-22,Ohio St.,0.643
2015-03-22,Hofstra,0.631
2015-03-22,Brown,0.63
2015-03-22,Bryant,0.601
2015-03-22,Yale,0.59
2015-03-22,Jacksonville,0.578
2015-03-22,High Point,0.577
2015-03-22,Drexel,0.577
2015-03-22,Loyola Maryland,0.573
2015-03-22,Hartford,0.572
2015-03-22,Duke,0.567
2015-03-22,Maryland,0.566
2015-03-22,Army West Point,0.565
2015-03-22,Fairfield,0.563
2015-03-22,Johns Hopkins,0.559
2015-03-22,Penn St.,0.557
2015-03-22,Sacred Heart,0.545
2015-03-22,Saint Joseph's,0.545
2015-03-22,Vermont,0.541
2015-03-22,Mercer,0.531
2015-03-22,Georgetown,0.53
2015-03-22,Stony Brook,0.522
2015-03-22,Marist,0.514
2015-03-22,Marquette,0.497
2015-03-22,Notre Dame,0.497
2015-03-22,Michigan,0.493
2015-03-22,UAlbany,0.489
2015-03-22,Dartmouth,0.488
2015-03-22,Air Force,0.484
2015-03-22,Bellarmine,0.483
2015-03-22,Penn,0.483
2015-03-22,Canisius,0.48
2015-03-22,North Carolina,0.478
2015-03-22,Towson,0.477
2015-03-22,Delaware,0.475
2015-03-22,NJIT,0.468
2015-03-22,Holy Cross,0.462
2015-03-22,Massachusetts,0.459
2015-03-22,Siena,0.456
2015-03-22,Princeton,0.455
2015-03-22,Mount St. Mary's,0.45
2015-03-22,St. John's,0.449
2015-03-22,Binghamton,0.446
2015-03-22,Furman,0.442
2015-03-22,Robert Morris,0.44
2015-03-22,VMI,0.431
2015-03-22,Harvard,0.422
2015-03-22,Hobart,0.42
2015-03-22,Wagner,0.415
2015-03-22,Colgate,0.413
2015-03-22,Villanova,0.411
2015-03-22,Quinnipiac,0.396
2015-03-22,Detroit Mercy,0.395
2015-03-22,Bucknell,0.391
2015-03-22,Virginia,0.388
2015-03-22,Richmond,0.386
2015-03-22,Lehigh,0.385
2015-03-22,Providence,0.364
2015-03-22,Manhattan,0.359
2015-03-22,Monmouth,0.35
2015-03-22,Lafayette,0.321
2015-03-22,UMBC,0.319
2015-03-22,UMass Lowell,0.235
2015-03-21,Syracuse,0.686
2015-03-21,Boston U.,0.673
2015-03-21,Denver,0.67
2015-03-21,Rutgers,0.664
2015-03-21,Cornell,0.664
2015-03-21,Navy,0.653
2015-03-21,Ohio St.,0.643
2015-03-21,Hofstra,0.631
2015-03-21,Brown,0.63
2015-03-21,Bryant,0.601
2015-03-21,Yale,0.59
2015-03-21,Duke,0.585
2015-03-21,Jacksonville,0.578
2015-03-21,High Point,0.577
2015-03-21,Drexel,0.577
2015-03-21,Loyola Maryland,0.573
2015-03-21,Hartford,0.572
2015-03-21,Maryland,0.566
2015-03-21,Army West Point,0.565
2015-03-21,Fairfield,0.563
2015-03-21,Johns Hopkins,0.559
2015-03-21,Penn St.,0.557
2015-03-21,Sacred Heart,0.545
2015-03-21,Saint Joseph's,0.545
2015-03-21,Vermont,0.541
2015-03-21,Mercer,0.531
2015-03-21,Georgetown,0.53
2015-03-21,Marist,0.514
2015-03-21,Marquette,0.497
2015-03-21,Notre Dame,0.497
2015-03-21,Michigan,0.493
2015-03-21,Stony Brook,0.492
2015-03-21,UAlbany,0.489
2015-03-21,Dartmouth,0.488
2015-03-21,Air Force,0.484
2015-03-21,Bellarmine,0.483
2015-03-21,Penn,0.483
2015-03-21,Canisius,0.48
2015-03-21,North Carolina,0.478
2015-03-21,Towson,0.477
2015-03-21,Delaware,0.475
2015-03-21,NJIT,0.468
2015-03-21,Holy Cross,0.462
2015-03-21,Massachusetts,0.459
2015-03-21,Siena,0.456
2015-03-21,Princeton,0.455
2015-03-21,Mount St. Mary's,0.45
2015-03-21,St. John's,0.449
2015-03-21,Binghamton,0.446
2015-03-21,Furman,0.442
2015-03-21,Robert Morris,0.44
2015-03-21,VMI,0.431
2015-03-21,Harvard,0.422
2015-03-21,Hobart,0.42
2015-03-21,Wagner,0.415
2015-03-21,Colgate,0.413
2015-03-21,Villanova,0.411
2015-03-21,Quinnipiac,0.396
2015-03-21,Detroit Mercy,0.395
2015-03-21,Bucknell,0.391
2015-03-21,Virginia,0.388
2015-03-21,Richmond,0.386
2015-03-21,Lehigh,0.385
2015-03-21,Providence,0.364
2015-03-21,Manhattan,0.359
2015-03-21,Monmouth,0.35
2015-03-21,UMBC,0.336
2015-03-21,Lafayette,0.321
2015-03-21,UMass Lowell,0.235
2015-03-20,Syracuse,0.686
2015-03-20,Denver,0.675
2015-03-20,Cornell,0.667
2015-03-20,Rutgers,0.664
2015-03-20,Navy,0.653
2015-03-20,Boston U.,0.648
2015-03-20,Ohio St.,0.64
2015-03-20,Hofstra,0.639
2015-03-20,Brown,0.621
2015-03-20,Bryant,0.606
2015-03-20,Hartford,0.602
2015-03-20,Drexel,0.586
2015-03-20,Duke,0.585
2015-03-20,Penn St.,0.584
2015-03-20,Fairfield,0.581
2015-03-20,Yale,0.57
2015-03-20,Sacred Heart,0.569
2015-03-20,High Point,0.569
2015-03-20,Army West Point,0.554
2015-03-20,Jacksonville,0.553
2015-03-20,Loyola Maryland,0.55
2015-03-20,Marist,0.548
2015-03-20,Maryland,0.542
2015-03-20,Johns Hopkins,0.528
2015-03-20,Georgetown,0.526
2015-03-20,Saint Joseph's,0.522
2015-03-20,Vermont,0.516
2015-03-20,Notre Dame,0.515
2015-03-20,Mercer,0.507
2015-03-20,Marquette,0.506
2015-03-20,Air Force,0.503
2015-03-20,Penn,0.497
2015-03-20,Delaware,0.495
2015-03-20,North Carolina,0.492
2015-03-20,Michigan,0.492
2015-03-20,Stony Brook,0.492
2015-03-20,Princeton,0.479
2015-03-20,UAlbany,0.476
2015-03-20,Holy Cross,0.473
2015-03-20,Bellarmine,0.471
2015-03-20,NJIT,0.468
2015-03-20,Towson,0.465
2015-03-20,Furman,0.464
2015-03-20,Massachusetts,0.46
2015-03-20,Mount St. Mary's,0.457
2015-03-20,Siena,0.453
2015-03-20,Harvard,0.452
2015-03-20,Canisius,0.452
2015-03-20,Binghamton,0.449
2015-03-20,VMI,0.426
2015-03-20,Bucknell,0.425
2015-03-20,St. John's,0.425
2015-03-20,Colgate,0.419
2015-03-20,Hobart,0.418
2015-03-20,Robert Morris,0.418
2015-03-20,Virginia,0.407
2015-03-20,Richmond,0.404
2015-03-20,Dartmouth,0.396
2015-03-20,Wagner,0.394
2015-03-20,Lehigh,0.392
2015-03-20,Detroit Mercy,0.389
2015-03-20,Villanova,0.389
2015-03-20,Manhattan,0.366
2015-03-20,Providence,0.364
2015-03-20,Quinnipiac,0.362
2015-03-20,UMBC,0.336
2015-03-20,Monmouth,0.33
2015-03-20,Lafayette,0.329
2015-03-20,UMass Lowell,0.226
2015-03-18,Syracuse,0.686
2015-03-18,Denver,0.675
2015-03-18,Rutgers,0.67
2015-03-18,Cornell,0.667
2015-03-18,Navy,0.653
2015-03-18,Boston U.,0.648
2015-03-18,Ohio St.,0.64
2015-03-18,Hofstra,0.639
2015-03-18,Brown,0.621
2015-03-18,Bryant,0.606
2015-03-18,Hartford,0.602
2015-03-18,Drexel,0.586
2015-03-18,Duke,0.585
2015-03-18,Penn St.,0.584
2015-03-18,Fairfield,0.581
2015-03-18,Yale,0.57
2015-03-18,Sacred Heart,0.569
2015-03-18,High Point,0.569
2015-03-18,Army West Point,0.554
2015-03-18,Jacksonville,0.553
2015-03-18,Loyola Maryland,0.55
2015-03-18,Marist,0.548
2015-03-18,Maryland,0.542
2015-03-18,Johns Hopkins,0.528
2015-03-18,Georgetown,0.526
2015-03-18,Saint Joseph's,0.522
2015-03-18,Vermont,0.516
2015-03-18,Notre Dame,0.515
2015-03-18,Mercer,0.507
2015-03-18,Marquette,0.506
2015-03-18,Air Force,0.503
2015-03-18,Penn,0.497
2015-03-18,Delaware,0.495
2015-03-18,North Carolina,0.492
2015-03-18,Michigan,0.492
2015-03-18,Stony Brook,0.492
2015-03-18,NJIT,0.49
2015-03-18,Princeton,0.479
2015-03-18,UAlbany,0.476
2015-03-18,Holy Cross,0.473
2015-03-18,Bellarmine,0.471
2015-03-18,Towson,0.465
2015-03-18,Furman,0.464
2015-03-18,Massachusetts,0.46
2015-03-18,Mount St. Mary's,0.457
2015-03-18,Siena,0.453
2015-03-18,Harvard,0.452
2015-03-18,Canisius,0.452
2015-03-18,Binghamton,0.449
2015-03-18,VMI,0.426
2015-03-18,Bucknell,0.425
2015-03-18,St. John's,0.425
2015-03-18,Colgate,0.419
2015-03-18,Hobart,0.418
2015-03-18,Robert Morris,0.418
2015-03-18,Virginia,0.407
2015-03-18,Richmond,0.404
2015-03-18,Dartmouth,0.396
2015-03-18,Wagner,0.394
2015-03-18,Lehigh,0.392
2015-03-18,Detroit Mercy,0.389
2015-03-18,Villanova,0.389
2015-03-18,Manhattan,0.366
2015-03-18,Providence,0.364
2015-03-18,Quinnipiac,0.362
2015-03-18,UMBC,0.336
2015-03-18,Monmouth,0.33
2015-03-18,Lafayette,0.329
2015-03-18,UMass Lowell,0.226
2015-03-17,Syracuse,0.686
2015-03-17,Denver,0.675
2015-03-17,Rutgers,0.67
2015-03-17,Cornell,0.667
2015-03-17,Navy,0.653
2015-03-17,Boston U.,0.648
2015-03-17,Ohio St.,0.64
2015-03-17,Hofstra,0.639
2015-03-17,Brown,0.621
2015-03-17,Bryant,0.606
2015-03-17,Hartford,0.602
2015-03-17,Drexel,0.586
2015-03-17,Duke,0.585
2015-03-17,Penn St.,0.584
2015-03-17,Fairfield,0.581
2015-03-17,Yale,0.57
2015-03-17,Sacred Heart,0.569
2015-03-17,High Point,0.569
2015-03-17,Loyola Maryland,0.563
2015-03-17,Army West Point,0.554
2015-03-17,Jacksonville,0.553
2015-03-17,Marist,0.548
2015-03-17,Maryland,0.542
2015-03-17,Johns Hopkins,0.528
2015-03-17,Georgetown,0.524
2015-03-17,Saint Joseph's,0.522
2015-03-17,Vermont,0.516
2015-03-17,Notre Dame,0.515
2015-03-17,Mercer,0.507
2015-03-17,Marquette,0.506
2015-03-17,Air Force,0.503
2015-03-17,Penn,0.497
2015-03-17,North Carolina,0.492
2015-03-17,Michigan,0.492
2015-03-17,Stony Brook,0.492
2015-03-17,NJIT,0.49
2015-03-17,Delaware,0.487
2015-03-17,Princeton,0.479
2015-03-17,UAlbany,0.476
2015-03-17,Holy Cross,0.473
2015-03-17,Bellarmine,0.471
2015-03-17,Towson,0.465
2015-03-17,Furman,0.464
2015-03-17,Massachusetts,0.46
2015-03-17,Mount St. Mary's,0.457
2015-03-17,Siena,0.453
2015-03-17,Harvard,0.452
2015-03-17,Canisius,0.452
2015-03-17,Binghamton,0.449
2015-03-17,VMI,0.426
2015-03-17,Bucknell,0.425
2015-03-17,St. John's,0.425
2015-03-17,Colgate,0.419
2015-03-17,Hobart,0.418
2015-03-17,Robert Morris,0.418
2015-03-17,Virginia,0.407
2015-03-17,Richmond,0.404
2015-03-17,Dartmouth,0.396
2015-03-17,Wagner,0.394
2015-03-17,Lehigh,0.392
2015-03-17,Detroit Mercy,0.389
2015-03-17,Villanova,0.389
2015-03-17,Providence,0.364
2015-03-17,Quinnipiac,0.362
2015-03-17,Manhattan,0.358
2015-03-17,UMBC,0.336
2015-03-17,Monmouth,0.33
2015-03-17,Lafayette,0.329
2015-03-17,UMass Lowell,0.226
2015-03-14,Syracuse,0.686
2015-03-14,Denver,0.671
2015-03-14,Rutgers,0.665
2015-03-14,Cornell,0.663
2015-03-14,Navy,0.653
2015-03-14,Boston U.,0.648
2015-03-14,Hartford,0.647
2015-03-14,Ohio St.,0.641
2015-03-14,Hofstra,0.635
2015-03-14,Brown,0.616
2015-03-14,Bryant,0.606
2015-03-14,Drexel,0.586
2015-03-14,Duke,0.585
2015-03-14,Penn St.,0.584
2015-03-14,Yale,0.57
2015-03-14,High Point,0.569
2015-03-14,Loyola Maryland,0.563
2015-03-14,Fairfield,0.558
2015-03-14,Army West Point,0.554
2015-03-14,Jacksonville,0.553
2015-03-14,Maryland,0.542
2015-03-14,Johns Hopkins,0.528
2015-03-14,Georgetown,0.524
2015-03-14,Marist,0.523
2015-03-14,Saint Joseph's,0.522
2015-03-14,Vermont,0.516
2015-03-14,Notre Dame,0.515
2015-03-14,Princeton,0.515
2015-03-14,Mercer,0.507
2015-03-14,Marquette,0.506
2015-03-14,Sacred Heart,0.505
2015-03-14,Air Force,0.503
2015-03-14,Penn,0.497
2015-03-14,North Carolina,0.493
2015-03-14,Michigan,0.492
2015-03-14,Stony Brook,0.49
2015-03-14,Delaware,0.487
2015-03-14,NJIT,0.478
2015-03-14,Towson,0.475
2015-03-14,Bellarmine,0.471
2015-03-14,Furman,0.464
2015-03-14,Massachusetts,0.46
2015-03-14,Canisius,0.459
2015-03-14,Mount St. Mary's,0.457
2015-03-14,Siena,0.453
2015-03-14,Binghamton,0.449
2015-03-14,Holy Cross,0.449
2015-03-14,Harvard,0.443
2015-03-14,Colgate,0.438
2015-03-14,Bucknell,0.437
2015-03-14,St. John's,0.437
2015-03-14,UAlbany,0.423
2015-03-14,Hobart,0.418
2015-03-14,Robert Morris,0.418
2015-03-14,VMI,0.407
2015-03-14,Virginia,0.407
2015-03-14,Richmond,0.404
2015-03-14,Lehigh,0.403
2015-03-14,Dartmouth,0.396
2015-03-14,Detroit Mercy,0.389
2015-03-14,Villanova,0.389
2015-03-14,Wagner,0.387
2015-03-14,Providence,0.364
2015-03-14,Quinnipiac,0.362
2015-03-14,Lafayette,0.358
2015-03-14,Manhattan,0.358
2015-03-14,UMBC,0.336
2015-03-14,Monmouth,0.328
2015-03-14,UMass Lowell,0.226
2015-03-11,Syracuse,0.706
2015-03-11,Ohio St.,0.704
2015-03-11,Rutgers,0.681
2015-03-11,Cornell,0.674
2015-03-11,Denver,0.669
2015-03-11,Boston U.,0.649
2015-03-11,Navy,0.631
2015-03-11,Loyola Maryland,0.624
2015-03-11,Brown,0.613
2015-03-11,Yale,0.607
2015-03-11,Bryant,0.606
2015-03-11,Drexel,0.596
2015-03-11,Hofstra,0.592
2015-03-11,Hartford,0.579
2015-03-11,Fairfield,0.574
2015-03-11,High Point,0.573
2015-03-11,Penn St.,0.572
2015-03-11,Georgetown,0.571
2015-03-11,Duke,0.566
2015-03-11,Johns Hopkins,0.55
2015-03-11,Jacksonville,0.54
2015-03-11,Saint Joseph's,0.539
2015-03-11,Vermont,0.538
2015-03-11,Notre Dame,0.528
2015-03-11,Marist,0.523
2015-03-11,Mercer,0.516
2015-03-11,Army West Point,0.516
2015-03-11,Penn,0.51
2015-03-11,Marquette,0.506
2015-03-11,Delaware,0.5
2015-03-11,Air Force,0.5
2015-03-11,Princeton,0.5
2015-03-11,Towson,0.492
2015-03-11,Stony Brook,0.49
2015-03-11,Maryland,0.489
2015-03-11,North Carolina,0.487
2015-03-11,Michigan,0.479
2015-03-11,NJIT,0.478
2015-03-11,Massachusetts,0.476
2015-03-11,Canisius,0.472
2015-03-11,Bellarmine,0.465
2015-03-11,Furman,0.458
2015-03-11,Mount St. Mary's,0.457
2015-03-11,Harvard,0.455
2015-03-11,Sacred Heart,0.453
2015-03-11,Siena,0.45
2015-03-11,Holy Cross,0.444
2015-03-11,Lehigh,0.441
2015-03-11,St. John's,0.43
2015-03-11,UAlbany,0.423
2015-03-11,Bucknell,0.421
2015-03-11,Colgate,0.42
2015-03-11,Robert Morris,0.418
2015-03-11,VMI,0.415
2015-03-11,Villanova,0.414
2015-03-11,Providence,0.405
2015-03-11,Binghamton,0.398
2015-03-11,Dartmouth,0.396
2015-03-11,Richmond,0.389
2015-03-11,Virginia,0.388
2015-03-11,Wagner,0.387
2015-03-11,Hobart,0.385
2015-03-11,Detroit Mercy,0.378
2015-03-11,Lafayette,0.358
2015-03-11,UMBC,0.344
2015-03-11,Quinnipiac,0.336
2015-03-11,Manhattan,0.329
2015-03-11,Monmouth,0.328
2015-03-11,UMass Lowell,0.259
2015-03-10,Syracuse,0.706
2015-03-10,Ohio St.,0.704
2015-03-10,Rutgers,0.681
2015-03-10,Cornell,0.674
2015-03-10,Denver,0.669
2015-03-10,Boston U.,0.649
2015-03-10,Navy,0.631
2015-03-10,Loyola Maryland,0.624
2015-03-10,Brown,0.613
2015-03-10,Yale,0.607
2015-03-10,Bryant,0.606
2015-03-10,Drexel,0.596
2015-03-10,Hofstra,0.592
2015-03-10,Hartford,0.579
2015-03-10,Fairfield,0.574
2015-03-10,High Point,0.573
2015-03-10,Penn St.,0.572
2015-03-10,Georgetown,0.571
2015-03-10,Duke,0.566
2015-03-10,Jacksonville,0.559
2015-03-10,Johns Hopkins,0.55
2015-03-10,Saint Joseph's,0.539
2015-03-10,Vermont,0.538
2015-03-10,Notre Dame,0.528
2015-03-10,Marist,0.523
2015-03-10,Mercer,0.516
2015-03-10,Army West Point,0.516
2015-03-10,Penn,0.51
2015-03-10,Marquette,0.506
2015-03-10,Delaware,0.5
2015-03-10,Air Force,0.5
2015-03-10,Princeton,0.5
2015-03-10,Towson,0.492
2015-03-10,Stony Brook,0.49
2015-03-10,Maryland,0.489
2015-03-10,North Carolina,0.487
2015-03-10,Michigan,0.479
2015-03-10,NJIT,0.478
2015-03-10,Massachusetts,0.476
2015-03-10,Canisius,0.472
2015-03-10,Bellarmine,0.465
2015-03-10,Furman,0.458
2015-03-10,Harvard,0.455
2015-03-10,Sacred Heart,0.453
2015-03-10,Siena,0.45
2015-03-10,Holy Cross,0.444
2015-03-10,Lehigh,0.441
2015-03-10,St. John's,0.43
2015-03-10,UAlbany,0.423
2015-03-10,Bucknell,0.421
2015-03-10,Colgate,0.42
2015-03-10,Richmond,0.42
2015-03-10,VMI,0.415
2015-03-10,Villanova,0.414
2015-03-10,Providence,0.405
2015-03-10,Binghamton,0.398
2015-03-10,Dartmouth,0.396
2015-03-10,Mount St. Mary's,0.392
2015-03-10,Robert Morris,0.39
2015-03-10,Virginia,0.388
2015-03-10,Wagner,0.387
2015-03-10,Hobart,0.385
2015-03-10,Detroit Mercy,0.378
2015-03-10,Lafayette,0.358
2015-03-10,UMBC,0.344
2015-03-10,Quinnipiac,0.336
2015-03-10,Manhattan,0.329
2015-03-10,Monmouth,0.328
2015-03-10,UMass Lowell,0.259
2015-03-09,Syracuse,0.706
2015-03-09,Ohio St.,0.704
2015-03-09,Rutgers,0.681
2015-03-09,Cornell,0.674
2015-03-09,Denver,0.669
2015-03-09,Boston U.,0.649
2015-03-09,Loyola Maryland,0.624
2015-03-09,Navy,0.621
2015-03-09,Brown,0.613
2015-03-09,Yale,0.607
2015-03-09,Bryant,0.596
2015-03-09,Drexel,0.596
2015-03-09,Hofstra,0.592
2015-03-09,Hartford,0.579
2015-03-09,Vermont,0.576
2015-03-09,Fairfield,0.575
2015-03-09,High Point,0.573
2015-03-09,Marist,0.57
2015-03-09,Duke,0.566
2015-03-09,Saint Joseph's,0.566
2015-03-09,Jacksonville,0.559
2015-03-09,Penn St.,0.556
2015-03-09,Georgetown,0.553
2015-03-09,Johns Hopkins,0.55
2015-03-09,Notre Dame,0.528
2015-03-09,Mercer,0.516
2015-03-09,Army West Point,0.516
2015-03-09,Penn,0.51
2015-03-09,Marquette,0.506
2015-03-09,North Carolina,0.506
2015-03-09,Delaware,0.5
2015-03-09,Air Force,0.5
2015-03-09,Princeton,0.5
2015-03-09,Towson,0.492
2015-03-09,Stony Brook,0.49
2015-03-09,Maryland,0.489
2015-03-09,Michigan,0.479
2015-03-09,NJIT,0.478
2015-03-09,Bellarmine,0.465
2015-03-09,Furman,0.458
2015-03-09,Harvard,0.455
2015-03-09,Canisius,0.455
2015-03-09,Sacred Heart,0.453
2015-03-09,Siena,0.45
2015-03-09,Holy Cross,0.444
2015-03-09,Massachusetts,0.439
2015-03-09,St. John's,0.43
2015-03-09,Lehigh,0.425
2015-03-09,UAlbany,0.423
2015-03-09,Colgate,0.42
2015-03-09,Richmond,0.42
2015-03-09,Bucknell,0.417
2015-03-09,VMI,0.415
2015-03-09,Villanova,0.413
2015-03-09,Binghamton,0.398
2015-03-09,Dartmouth,0.396
2015-03-09,Mount St. Mary's,0.392
2015-03-09,Robert Morris,0.39
2015-03-09,Wagner,0.387
2015-03-09,Detroit Mercy,0.378
2015-03-09,Hobart,0.375
2015-03-09,Lafayette,0.37
2015-03-09,Virginia,0.348
2015-03-09,UMBC,0.344
2015-03-09,Quinnipiac,0.337
2015-03-09,Providence,0.336
2015-03-09,Manhattan,0.329
2015-03-09,Monmouth,0.328
2015-03-09,UMass Lowell,0.263
2015-03-08,Syracuse,0.706
2015-03-08,Ohio St.,0.704
2015-03-08,Rutgers,0.681
2015-03-08,Cornell,0.674
2015-03-08,Denver,0.669
2015-03-08,Boston U.,0.649
2015-03-08,Loyola Maryland,0.624
2015-03-08,Navy,0.621
2015-03-08,Brown,0.613
2015-03-08,Yale,0.607
2015-03-08,Bryant,0.596
2015-03-08,Drexel,0.596
2015-03-08,Hofstra,0.592
2015-03-08,Hartford,0.579
2015-03-08,Vermont,0.576
2015-03-08,Fairfield,0.575
2015-03-08,High Point,0.573
2015-03-08,Marist,0.57
2015-03-08,Duke,0.566
2015-03-08,Saint Joseph's,0.566
2015-03-08,Jacksonville,0.559
2015-03-08,Penn St.,0.556
2015-03-08,Georgetown,0.553
2015-03-08,Johns Hopkins,0.55
2015-03-08,Notre Dame,0.528
2015-03-08,Mercer,0.516
2015-03-08,Army West Point,0.516
2015-03-08,Penn,0.51
2015-03-08,Marquette,0.506
2015-03-08,North Carolina,0.506
2015-03-08,Delaware,0.5
2015-03-08,Air Force,0.5
2015-03-08,Princeton,0.5
2015-03-08,Towson,0.492
2015-03-08,Stony Brook,0.49
2015-03-08,Maryland,0.489
2015-03-08,Harvard,0.48
2015-03-08,Michigan,0.479
2015-03-08,NJIT,0.478
2015-03-08,Bellarmine,0.465
2015-03-08,Furman,0.458
2015-03-08,Canisius,0.455
2015-03-08,Sacred Heart,0.453
2015-03-08,Siena,0.45
2015-03-08,Massachusetts,0.439
2015-03-08,St. John's,0.43
2015-03-08,Lehigh,0.425
2015-03-08,UAlbany,0.423
2015-03-08,Colgate,0.42
2015-03-08,Richmond,0.42
2015-03-08,Bucknell,0.417
2015-03-08,VMI,0.415
2015-03-08,Villanova,0.413
2015-03-08,Binghamton,0.398
2015-03-08,Dartmouth,0.396
2015-03-08,Mount St. Mary's,0.392
2015-03-08,Robert Morris,0.39
2015-03-08,Holy Cross,0.387
2015-03-08,Wagner,0.387
2015-03-08,Detroit Mercy,0.378
2015-03-08,Hobart,0.375
2015-03-08,Lafayette,0.37
2015-03-08,Virginia,0.348
2015-03-08,UMBC,0.344
2015-03-08,Quinnipiac,0.337
2015-03-08,Providence,0.336
2015-03-08,Manhattan,0.329
2015-03-08,Monmouth,0.328
2015-03-08,UMass Lowell,0.263
2015-03-07,Syracuse,0.706
2015-03-07,Ohio St.,0.704
2015-03-07,Cornell,0.674
2015-03-07,Denver,0.669
2015-03-07,Rutgers,0.664
2015-03-07,Boston U.,0.649
2015-03-07,Loyola Maryland,0.624
2015-03-07,Navy,0.621
2015-03-07,Brown,0.616
2015-03-07,Yale,0.607
2015-03-07,Bryant,0.596
2015-03-07,Drexel,0.596
2015-03-07,Hofstra,0.592
2015-03-07,Hartford,0.579
2015-03-07,Vermont,0.576
2015-03-07,Fairfield,0.575
2015-03-07,High Point,0.573
2015-03-07,Marist,0.57
2015-03-07,Duke,0.566
2015-03-07,Saint Joseph's,0.566
2015-03-07,Jacksonville,0.559
2015-03-07,Penn St.,0.556
2015-03-07,Georgetown,0.553
2015-03-07,Johns Hopkins,0.55
2015-03-07,Stony Brook,0.546
2015-03-07,Notre Dame,0.528
