Date,Team,Faceoff Percent
2015-05-17,Princeton,0.441
2015-05-17,UMBC,0.437
2015-05-17,NJIT,0.433
2015-05-17,Marquette,0.432
2015-05-17,Bucknell,0.431
2015-05-17,Massachusetts,0.429
2015-05-17,Wagner,0.429
2015-05-17,Harvard,0.425
2015-05-17,Quinnipiac,0.424
2015-05-17,Furman,0.42
2015-05-17,Monmouth,0.402
2015-05-17,Manhattan,0.401
2015-05-17,Lafayette,0.39
2015-05-17,Hobart,0.387
2015-05-17,Providence,0.383
2015-05-17,Colgate,0.378
2015-05-17,UMass Lowell,0.216
2015-05-16,Denver,0.674
2015-05-16,Bryant,0.67
2015-05-16,Syracuse,0.663
2015-05-16,Cornell,0.657
2015-05-16,Rutgers,0.647
2015-05-16,Boston U.,0.637
2015-05-16,Hofstra,0.606
2015-05-16,Navy,0.6
2015-05-16,Brown,0.587
2015-05-16,Ohio St.,0.574
2015-05-16,Army West Point,0.57
2015-05-16,Fairfield,0.562
2015-05-16,Duke,0.562
2015-05-16,Dartmouth,0.556
2015-05-16,Loyola Maryland,0.552
2015-05-16,High Point,0.55
2015-05-16,Drexel,0.54
2015-05-16,Johns Hopkins,0.539
2015-05-16,Hartford,0.534
2015-05-16,Stony Brook,0.531
2015-05-16,Binghamton,0.53
2015-05-16,Marist,0.528
2015-05-16,Maryland,0.525
2015-05-16,Jacksonville,0.524
2015-05-16,Yale,0.523
2015-05-16,Penn St.,0.517
2015-05-16,Sacred Heart,0.516
2015-05-16,Mercer,0.514
2015-05-16,Saint Joseph's,0.512
2015-05-16,Vermont,0.511
2015-05-16,Towson,0.51
2015-05-16,Notre Dame,0.508
2015-05-16,Air Force,0.505
2015-05-16,Richmond,0.495
2015-05-16,North Carolina,0.492
2015-05-16,Siena,0.485
2015-05-16,Mount St. Mary's,0.48
2015-05-16,Bellarmine,0.478
2015-05-16,Villanova,0.477
2015-05-16,Penn,0.476
2015-05-16,Holy Cross,0.468
2015-05-16,VMI,0.466
2015-05-16,Delaware,0.462
2015-05-16,Virginia,0.462
2015-05-16,UAlbany,0.458
2015-05-16,Lehigh,0.457
2015-05-16,Robert Morris,0.456
2015-05-16,Canisius,0.452
2015-05-16,St. John's,0.45
2015-05-16,Georgetown,0.449
2015-05-16,Detroit Mercy,0.447
2015-05-16,Michigan,0.446
2015-05-16,Princeton,0.441
2015-05-16,UMBC,0.437
2015-05-16,NJIT,0.433
2015-05-16,Marquette,0.432
2015-05-16,Bucknell,0.431
2015-05-16,Massachusetts,0.429
2015-05-16,Wagner,0.429
2015-05-16,Harvard,0.425
2015-05-16,Quinnipiac,0.424
2015-05-16,Furman,0.42
2015-05-16,Monmouth,0.402
2015-05-16,Manhattan,0.401
2015-05-16,Lafayette,0.39
2015-05-16,Hobart,0.387
2015-05-16,Providence,0.383
2015-05-16,Colgate,0.378
2015-05-16,UMass Lowell,0.216
2015-05-10,Denver,0.69
2015-05-10,Bryant,0.67
2015-05-10,Syracuse,0.663
2015-05-10,Cornell,0.657
2015-05-10,Rutgers,0.647
2015-05-10,Boston U.,0.637
2015-05-10,Hofstra,0.606
2015-05-10,Navy,0.6
2015-05-10,Brown,0.587
2015-05-10,Ohio St.,0.578
2015-05-10,Army West Point,0.57
2015-05-10,Fairfield,0.562
2015-05-10,Duke,0.562
2015-05-10,Dartmouth,0.556
2015-05-10,Loyola Maryland,0.552
2015-05-10,High Point,0.55
2015-05-10,Drexel,0.54
2015-05-10,Johns Hopkins,0.539
2015-05-10,Hartford,0.534
2015-05-10,Stony Brook,0.531
2015-05-10,Binghamton,0.53
2015-05-10,Marist,0.528
2015-05-10,Maryland,0.525
2015-05-10,Jacksonville,0.524
2015-05-10,Yale,0.523
2015-05-10,Penn St.,0.517
2015-05-10,Sacred Heart,0.516
2015-05-10,Mercer,0.514
2015-05-10,Saint Joseph's,0.512
2015-05-10,Vermont,0.511
2015-05-10,Towson,0.51
2015-05-10,Air Force,0.505
2015-05-10,Notre Dame,0.497
2015-05-10,Richmond,0.495
