Date,Team,Opponent Clear Percent
2020-03-10,Penn St.,0.799
2020-03-10,Furman,0.8
2020-03-10,Robert Morris,0.806
2020-03-10,Holy Cross,0.806
2020-03-10,Hofstra,0.808
2020-03-10,Rutgers,0.809
2020-03-10,Bellarmine,0.812
2020-03-10,Syracuse,0.812
2020-03-10,Cleveland St.,0.824
2020-03-10,UAlbany,0.824
2020-03-10,Drexel,0.824
2020-03-10,Siena,0.827
2020-03-10,Denver,0.829
2020-03-10,Stony Brook,0.831
2020-03-10,Brown,0.832
2020-03-10,NJIT,0.832
2020-03-10,Richmond,0.834
2020-03-10,Penn,0.836
2020-03-10,Boston U.,0.843
2020-03-10,UMass Lowell,0.843
2020-03-10,Lehigh,0.845
2020-03-10,Dartmouth,0.857
2020-03-10,Bryant,0.857
2020-03-10,St. John's,0.858
2020-03-10,Hobart,0.862
2020-03-10,Sacred Heart,0.863
2020-03-10,Duke,0.866
2020-03-10,Villanova,0.867
2020-03-10,Monmouth,0.869
2020-03-10,Manhattan,0.871
2020-03-10,St. Bonaventure,0.872
2020-03-10,Mercer,0.872
2020-03-10,Colgate,0.873
2020-03-10,Quinnipiac,0.874
2020-03-10,Marist,0.875
2020-03-10,VMI,0.877
2020-03-10,Canisius,0.878
2020-03-10,Air Force,0.879
2020-03-10,Hampton,0.881
2020-03-10,Delaware,0.881
2020-03-10,UMBC,0.883
2020-03-10,Marquette,0.884
2020-03-10,Mount St. Mary's,0.885
2020-03-10,Johns Hopkins,0.892
2020-03-10,Providence,0.893
2020-03-10,Hartford,0.893
2020-03-10,Maryland,0.894
2020-03-10,High Point,0.897
2020-03-10,Wagner,0.903
2020-03-10,Utah,0.903
2020-03-10,Notre Dame,0.906
2020-03-10,Lafayette,0.912
2020-03-10,Towson,0.915
2020-03-10,Harvard,0.918
2020-03-10,Binghamton,0.92
2020-03-10,LIU,0.928
2020-03-10,Saint Joseph's,0.931
2020-03-10,Detroit Mercy,0.942
2020-03-10,Merrimack,0.835
2020-03-09,Bucknell,0.69
2020-03-09,Jacksonville,0.711
2020-03-09,Virginia,0.737
2020-03-09,North Carolina,0.738
2020-03-09,Fairfield,0.754
2020-03-09,Princeton,0.765
2020-03-09,Georgetown,0.768
2020-03-09,Loyola Maryland,0.772
2020-03-09,Army West Point,0.775
2020-03-09,Ohio St.,0.778
2020-03-09,Massachusetts,0.786
2020-03-09,Penn St.,0.788
2020-03-09,Furman,0.792
2020-03-09,Vermont,0.792
2020-03-09,Hofstra,0.794
2020-03-09,Navy,0.796
2020-03-09,Yale,0.798
2020-03-09,Michigan,0.798
2020-03-09,Robert Morris,0.806
2020-03-09,Holy Cross,0.806
2020-03-09,Rutgers,0.809
2020-03-09,Bellarmine,0.812
2020-03-09,Syracuse,0.812
2020-03-09,Cornell,0.816
2020-03-09,Cleveland St.,0.824
2020-03-09,UAlbany,0.824
2020-03-09,Drexel,0.824
2020-03-09,Denver,0.829
2020-03-09,Stony Brook,0.831
2020-03-09,Brown,0.832
2020-03-09,NJIT,0.832
2020-03-09,Richmond,0.834
2020-03-09,Penn,0.836
2020-03-09,Boston U.,0.843
2020-03-09,UMass Lowell,0.843
2020-03-09,Lehigh,0.845
2020-03-09,Siena,0.852
2020-03-09,Duke,0.854
2020-03-09,Bryant,0.856
2020-03-09,St. John's,0.856
2020-03-09,Dartmouth,0.857
2020-03-09,Hobart,0.862
2020-03-09,Sacred Heart,0.863
2020-03-09,Villanova,0.867
2020-03-09,Monmouth,0.869
2020-03-09,Manhattan,0.871
2020-03-09,Mercer,0.872
2020-03-09,St. Bonaventure,0.872
2020-03-09,Colgate,0.873
2020-03-09,Quinnipiac,0.874
2020-03-09,Marist,0.875
2020-03-09,VMI,0.877
2020-03-09,Canisius,0.878
2020-03-09,Air Force,0.879
2020-03-09,Hampton,0.881
2020-03-09,Delaware,0.881
2020-03-09,UMBC,0.883
2020-03-09,Marquette,0.884
2020-03-09,Mount St. Mary's,0.887
2020-03-09,Providence,0.893
2020-03-09,Hartford,0.893
2020-03-09,Maryland,0.894
2020-03-09,Johns Hopkins,0.897
2020-03-09,High Point,0.897
2020-03-09,Wagner,0.903
2020-03-09,Utah,0.903
2020-03-09,Lafayette,0.912
2020-03-09,Towson,0.915
2020-03-09,Notre Dame,0.916
2020-03-09,Harvard,0.918
2020-03-09,Binghamton,0.92
2020-03-09,Saint Joseph's,0.931
2020-03-09,LIU,0.935
2020-03-09,Detroit Mercy,0.942
2020-03-09,Merrimack,0.835
2020-03-08,Bucknell,0.69
2020-03-08,Jacksonville,0.711
2020-03-08,North Carolina,0.732
2020-03-08,Virginia,0.737
2020-03-08,Fairfield,0.754
2020-03-08,Princeton,0.765
2020-03-08,Georgetown,0.768
2020-03-08,Loyola Maryland,0.772
2020-03-08,Army West Point,0.775
2020-03-08,Ohio St.,0.778
2020-03-08,Massachusetts,0.786
2020-03-08,Penn St.,0.788
2020-03-08,Vermont,0.792
2020-03-08,Hofstra,0.794
2020-03-08,Navy,0.796
2020-03-08,Yale,0.798
2020-03-08,Michigan,0.798
2020-03-08,Furman,0.8
2020-03-08,Robert Morris,0.806
2020-03-08,Holy Cross,0.806
2020-03-08,Rutgers,0.809
2020-03-08,Bellarmine,0.812
2020-03-08,Syracuse,0.812
2020-03-08,Cleveland St.,0.821
2020-03-08,UAlbany,0.824
2020-03-08,Drexel,0.824
2020-03-08,Cornell,0.827
2020-03-08,Denver,0.829
2020-03-08,Stony Brook,0.831
2020-03-08,Brown,0.832
2020-03-08,NJIT,0.832
2020-03-08,Richmond,0.834
2020-03-08,Penn,0.836
2020-03-08,Boston U.,0.843
2020-03-08,UMass Lowell,0.843
2020-03-08,Lehigh,0.845
2020-03-08,Siena,0.852
2020-03-08,Duke,0.854
2020-03-08,Bryant,0.856
2020-03-08,St. John's,0.856
2020-03-08,Dartmouth,0.857
2020-03-08,Hobart,0.862
2020-03-08,Sacred Heart,0.863
2020-03-08,Villanova,0.867
2020-03-08,Monmouth,0.869
2020-03-08,Manhattan,0.871
2020-03-08,St. Bonaventure,0.872
2020-03-08,Colgate,0.873
2020-03-08,Quinnipiac,0.874
2020-03-08,Marist,0.875
2020-03-08,VMI,0.877
2020-03-08,Canisius,0.878
2020-03-08,Air Force,0.879
2020-03-08,Hampton,0.881
2020-03-08,Delaware,0.881
2020-03-08,UMBC,0.883
2020-03-08,Marquette,0.884
2020-03-08,Mount St. Mary's,0.887
2020-03-08,Mercer,0.89
2020-03-08,Providence,0.893
2020-03-08,Hartford,0.893
2020-03-08,Maryland,0.894
2020-03-08,Johns Hopkins,0.897
2020-03-08,High Point,0.897
2020-03-08,Wagner,0.903
2020-03-08,Utah,0.903
2020-03-08,Lafayette,0.912
2020-03-08,Towson,0.915
2020-03-08,Notre Dame,0.916
2020-03-08,Harvard,0.918
2020-03-08,Binghamton,0.92
2020-03-08,Saint Joseph's,0.931
2020-03-08,LIU,0.935
2020-03-08,Detroit Mercy,0.942
2020-03-08,Merrimack,0.835
2020-03-06,Bucknell,0.69
2020-03-06,Jacksonville,0.711
2020-03-06,North Carolina,0.732
2020-03-06,Virginia,0.739
2020-03-06,Loyola Maryland,0.752
2020-03-06,Navy,0.759
2020-03-06,Fairfield,0.76
2020-03-06,Princeton,0.765
2020-03-06,Yale,0.766
2020-03-06,Penn St.,0.766
2020-03-06,Army West Point,0.769
2020-03-06,Ohio St.,0.77
2020-03-06,Hofstra,0.775
2020-03-06,Georgetown,0.78
2020-03-06,Vermont,0.786
2020-03-06,Massachusetts,0.786
2020-03-06,Robert Morris,0.789
2020-03-06,Furman,0.8
2020-03-06,Syracuse,0.808
2020-03-06,Bellarmine,0.812
2020-03-06,Penn,0.812
2020-03-06,Denver,0.816
2020-03-06,Michigan,0.817
2020-03-06,Rutgers,0.82
2020-03-06,Cleveland St.,0.821
2020-03-06,Stony Brook,0.821
2020-03-06,Holy Cross,0.824
2020-03-06,Cornell,0.824
2020-03-06,NJIT,0.826
2020-03-06,Lehigh,0.827
2020-03-06,Siena,0.831
2020-03-06,UAlbany,0.831
2020-03-06,Brown,0.835
2020-03-06,Richmond,0.836
2020-03-06,Bryant,0.837
2020-03-06,Sacred Heart,0.838
2020-03-06,UMass Lowell,0.842
2020-03-06,Manhattan,0.843
2020-03-06,Boston U.,0.843
2020-03-06,Villanova,0.847
2020-03-06,Drexel,0.85
2020-03-06,VMI,0.857
2020-03-06,Duke,0.857
2020-03-06,Quinnipiac,0.86
2020-03-06,Dartmouth,0.86
2020-03-06,Hobart,0.863
2020-03-06,St. Bonaventure,0.872
2020-03-06,Monmouth,0.875
2020-03-06,Colgate,0.875
2020-03-06,Marist,0.877
2020-03-06,Delaware,0.879
2020-03-06,Hampton,0.881
2020-03-06,Canisius,0.882
2020-03-06,Air Force,0.882
2020-03-06,Providence,0.883
2020-03-06,Marquette,0.884
2020-03-06,Maryland,0.887
2020-03-06,Mount St. Mary's,0.887
2020-03-06,Johns Hopkins,0.89
2020-03-06,High Point,0.891
2020-03-06,St. John's,0.895
