Date,Team,Saves per Game
2015-05-17,Lafayette,11.07
2015-05-17,Mount St. Mary's,11.07
2015-05-17,Princeton,11.0
2015-05-17,Duke,11.0
2015-05-17,Villanova,10.93
2015-05-17,Notre Dame,10.86
2015-05-17,Penn,10.85
2015-05-17,Bellarmine,10.83
2015-05-17,Robert Morris,10.79
2015-05-17,Richmond,10.75
2015-05-17,Massachusetts,10.73
2015-05-17,Marquette,10.63
2015-05-17,Loyola Maryland,10.47
2015-05-17,Fairfield,10.47
2015-05-17,St. John's,10.43
2015-05-17,Syracuse,10.38
2015-05-17,Dartmouth,10.15
2015-05-17,Canisius,10.13
2015-05-17,Lehigh,10.0
2015-05-17,Towson,9.94
2015-05-17,Binghamton,9.92
2015-05-17,Maryland,9.88
2015-05-17,Bucknell,9.8
2015-05-17,Colgate,9.75
2015-05-17,Johns Hopkins,9.65
2015-05-17,Denver,9.65
2015-05-17,Saint Joseph's,9.53
2015-05-17,Ohio St.,9.53
2015-05-17,Drexel,9.47
2015-05-17,Air Force,9.47
2015-05-17,Holy Cross,9.46
2015-05-17,Wagner,9.31
2015-05-17,Navy,9.14
2015-05-17,Cornell,9.06
2015-05-17,Rutgers,9.0
2015-05-17,Army West Point,8.82
2015-05-17,Yale,8.44
2015-05-17,Stony Brook,8.33
2015-05-17,Hofstra,8.14
2015-05-17,UMass Lowell,13.0
2015-05-16,Detroit Mercy,15.14
2015-05-16,Providence,13.93
2015-05-16,Michigan,13.62
2015-05-16,Vermont,13.44
2015-05-16,Jacksonville,13.25
2015-05-16,Harvard,13.21
2015-05-16,Georgetown,13.19
2015-05-16,Virginia,13.0
2015-05-16,High Point,12.94
2015-05-16,Mercer,12.77
2015-05-16,Penn St.,12.57
2015-05-16,Furman,12.23
2015-05-16,UAlbany,12.21
2015-05-16,Quinnipiac,12.2
2015-05-16,Hobart,12.07
2015-05-16,Brown,11.94
2015-05-16,Hartford,11.93
2015-05-16,Monmouth,11.86
2015-05-16,Manhattan,11.67
2015-05-16,Boston U.,11.64
2015-05-16,Siena,11.57
2015-05-16,Delaware,11.53
2015-05-16,VMI,11.4
2015-05-16,NJIT,11.33
2015-05-16,North Carolina,11.31
2015-05-16,UMBC,11.31
2015-05-16,Marist,11.28
2015-05-16,Bryant,11.22
2015-05-16,Sacred Heart,11.15
2015-05-16,Lafayette,11.07
2015-05-16,Mount St. Mary's,11.07
2015-05-16,Princeton,11.0
2015-05-16,Duke,11.0
2015-05-16,Villanova,10.93
2015-05-16,Notre Dame,10.86
2015-05-16,Penn,10.85
2015-05-16,Bellarmine,10.83
2015-05-16,Robert Morris,10.79
2015-05-16,Richmond,10.75
2015-05-16,Massachusetts,10.73
2015-05-16,Marquette,10.63
2015-05-16,Loyola Maryland,10.47
2015-05-16,Fairfield,10.47
2015-05-16,St. John's,10.43
2015-05-16,Dartmouth,10.15
2015-05-16,Syracuse,10.13
2015-05-16,Canisius,10.13
2015-05-16,Lehigh,10.0
2015-05-16,Towson,9.94
2015-05-16,Binghamton,9.92
2015-05-16,Bucknell,9.8
2015-05-16,Colgate,9.75
2015-05-16,Denver,9.65
2015-05-16,Maryland,9.56
2015-05-16,Saint Joseph's,9.53
2015-05-16,Ohio St.,9.53
2015-05-16,Drexel,9.47
2015-05-16,Air Force,9.47
2015-05-16,Holy Cross,9.46
2015-05-16,Johns Hopkins,9.31
2015-05-16,Wagner,9.31
2015-05-16,Navy,9.14
2015-05-16,Cornell,9.06
2015-05-16,Rutgers,9.0
2015-05-16,Army West Point,8.82
2015-05-16,Yale,8.44
2015-05-16,Stony Brook,8.33
2015-05-16,Hofstra,8.14
2015-05-16,UMass Lowell,13.0
2015-05-10,Detroit Mercy,15.14
2015-05-10,Providence,13.93
2015-05-10,Michigan,13.62
2015-05-10,Vermont,13.44
2015-05-10,Jacksonville,13.25
2015-05-10,Harvard,13.21
2015-05-10,Georgetown,13.19
2015-05-10,Virginia,13.0
2015-05-10,High Point,12.94
2015-05-10,Mercer,12.77
2015-05-10,Penn St.,12.57
2015-05-10,Furman,12.23
2015-05-10,Quinnipiac,12.2
2015-05-10,UAlbany,12.11
2015-05-10,Hobart,12.07
2015-05-10,Brown,11.94
2015-05-10,Hartford,11.93
2015-05-10,Monmouth,11.86
2015-05-10,Manhattan,11.67
2015-05-10,Boston U.,11.64
2015-05-10,Siena,11.57
2015-05-10,Delaware,11.53
2015-05-10,VMI,11.4
2015-05-10,NJIT,11.33
2015-05-10,North Carolina,11.31
2015-05-10,UMBC,11.31
2015-05-10,Marist,11.28
2015-05-10,Bryant,11.22
2015-05-10,Sacred Heart,11.15
2015-05-10,Lafayette,11.07
2015-05-10,Mount St. Mary's,11.07
2015-05-10,Duke,11.0
2015-05-10,Princeton,11.0
2015-05-10,Villanova,10.93
2015-05-10,Notre Dame,10.92
2015-05-10,Penn,10.85
2015-05-10,Bellarmine,10.83
2015-05-10,Robert Morris,10.79
2015-05-10,Richmond,10.75
2015-05-10,Massachusetts,10.73
2015-05-10,Marquette,10.63
2015-05-10,Loyola Maryland,10.47
2015-05-10,Fairfield,10.47
2015-05-10,St. John's,10.43
2015-05-10,Dartmouth,10.15
2015-05-10,Syracuse,10.13
2015-05-10,Canisius,10.13
2015-05-10,Lehigh,10.0
2015-05-10,Towson,9.94
2015-05-10,Binghamton,9.92
2015-05-10,Bucknell,9.8
2015-05-10,Ohio St.,9.78
2015-05-10,Colgate,9.75
2015-05-10,Maryland,9.56
2015-05-10,Saint Joseph's,9.53
2015-05-10,Drexel,9.47
2015-05-10,Air Force,9.47
2015-05-10,Holy Cross,9.46
2015-05-10,Denver,9.44
2015-05-10,Johns Hopkins,9.31
2015-05-10,Wagner,9.31
2015-05-10,Navy,9.14
2015-05-10,Cornell,9.06
2015-05-10,Rutgers,9.0
2015-05-10,Army West Point,8.82
2015-05-10,Yale,8.44
2015-05-10,Stony Brook,8.33
2015-05-10,Hofstra,8.14
2015-05-10,UMass Lowell,13.0
2015-05-09,Detroit Mercy,15.14
2015-05-09,Providence,13.93
2015-05-09,Michigan,13.62
2015-05-09,Virginia,13.5
2015-05-09,Vermont,13.44
2015-05-09,Jacksonville,13.25
2015-05-09,Harvard,13.21
2015-05-09,Georgetown,13.19
2015-05-09,High Point,12.94
2015-05-09,Mercer,12.77
2015-05-09,Penn St.,12.57
2015-05-09,Furman,12.23
2015-05-09,Quinnipiac,12.2
2015-05-09,Brown,12.13
2015-05-09,Hobart,12.07
2015-05-09,UAlbany,12.06
2015-05-09,Hartford,11.93
2015-05-09,Monmouth,11.86
2015-05-09,Manhattan,11.67
2015-05-09,Boston U.,11.64
2015-05-09,Siena,11.57
2015-05-09,Delaware,11.53
2015-05-09,VMI,11.4
2015-05-09,NJIT,11.33
2015-05-09,North Carolina,11.33
2015-05-09,UMBC,11.31
2015-05-09,Bryant,11.22
2015-05-09,Sacred Heart,11.15
2015-05-09,Marist,11.12
2015-05-09,Lafayette,11.07
2015-05-09,Mount St. Mary's,11.07
2015-05-09,Duke,11.0
2015-05-09,Princeton,11.0
2015-05-09,Villanova,10.93
2015-05-09,Notre Dame,10.92
2015-05-09,Penn,10.85
2015-05-09,Bellarmine,10.83
2015-05-09,Robert Morris,10.79
2015-05-09,Richmond,10.75
2015-05-09,Massachusetts,10.73
2015-05-09,Marquette,10.63
2015-05-09,Fairfield,10.47
2015-05-09,Loyola Maryland,10.47
2015-05-09,St. John's,10.43
2015-05-09,Syracuse,10.36
2015-05-09,Dartmouth,10.15
2015-05-09,Canisius,10.13
2015-05-09,Lehigh,10.0
2015-05-09,Towson,9.94
2015-05-09,Binghamton,9.92
2015-05-09,Bucknell,9.8
2015-05-09,Ohio St.,9.78
2015-05-09,Maryland,9.56
2015-05-09,Saint Joseph's,9.53
2015-05-09,Air Force,9.47
2015-05-09,Colgate,9.47
2015-05-09,Drexel,9.47
2015-05-09,Holy Cross,9.46
2015-05-09,Wagner,9.31
2015-05-09,Navy,9.14
2015-05-09,Cornell,9.13
2015-05-09,Denver,9.0
2015-05-09,Rutgers,9.0
2015-05-09,Johns Hopkins,9.0
2015-05-09,Army West Point,8.82
2015-05-09,Yale,8.44
2015-05-09,Stony Brook,8.33
2015-05-09,Hofstra,8.14
2015-05-09,UMass Lowell,13.0
2015-05-06,Detroit Mercy,15.14
2015-05-06,Providence,13.93
2015-05-06,Michigan,13.62
2015-05-06,Virginia,13.5
2015-05-06,Vermont,13.44
2015-05-06,Jacksonville,13.25
2015-05-06,Harvard,13.21
2015-05-06,Georgetown,13.19
2015-05-06,High Point,12.94
2015-05-06,Mercer,12.77
2015-05-06,Penn St.,12.57
2015-05-06,Furman,12.23
2015-05-06,Quinnipiac,12.2
2015-05-06,Brown,12.13
2015-05-06,Hobart,12.07
2015-05-06,Hartford,11.93
2015-05-06,Monmouth,11.86
2015-05-06,Manhattan,11.67
2015-05-06,UAlbany,11.65
2015-05-06,Boston U.,11.64
2015-05-06,Siena,11.57
2015-05-06,Delaware,11.53
2015-05-06,VMI,11.4
2015-05-06,NJIT,11.33
2015-05-06,North Carolina,11.33
2015-05-06,UMBC,11.31
2015-05-06,Bryant,11.22
2015-05-06,Notre Dame,11.17
2015-05-06,Sacred Heart,11.15
2015-05-06,Marist,11.12
