Date,Team,Groundballs per Game
2016-04-26,Sacred Heart,24.93
2016-04-26,Detroit Mercy,24.82
2016-04-26,Air Force,24.64
2016-04-26,Monmouth,24.58
2016-04-26,Fairfield,24.43
2016-04-26,Colgate,24.38
2016-04-26,NJIT,24.14
2016-04-26,UMBC,24.0
2016-04-26,Drexel,23.92
2016-04-26,Furman,23.75
2016-04-26,Manhattan,23.29
2016-04-26,Georgetown,23.0
2016-04-26,Mercer,22.58
2016-04-26,Marist,21.31
2016-04-26,UMass Lowell,29.93
2016-04-24,Brown,38.31
2016-04-24,Virginia,35.79
2016-04-24,Duke,35.0
2016-04-24,Army West Point,34.54
2016-04-24,Rutgers,33.31
2016-04-24,Boston U.,32.71
2016-04-24,Denver,32.42
2016-04-24,Hartford,32.36
2016-04-24,North Carolina,31.85
2016-04-24,Cornell,31.83
2016-04-24,Stony Brook,31.64
2016-04-24,Bryant,31.62
2016-04-24,Hofstra,31.23
2016-04-24,Yale,31.17
2016-04-24,Notre Dame,30.91
2016-04-24,Navy,30.85
2016-04-24,Syracuse,30.5
2016-04-24,Bucknell,30.46
2016-04-24,Villanova,30.42
2016-04-24,Loyola Maryland,30.31
2016-04-24,Saint Joseph's,30.17
2016-04-24,Princeton,30.0
2016-04-24,High Point,29.77
2016-04-24,Johns Hopkins,29.33
2016-04-24,Harvard,29.15
2016-04-24,Vermont,29.07
2016-04-24,Mount St. Mary's,29.0
2016-04-24,Dartmouth,28.38
2016-04-24,Lafayette,28.36
2016-04-24,Wagner,28.36
2016-04-24,Massachusetts,28.33
2016-04-24,Lehigh,28.29
2016-04-24,Marquette,28.0
2016-04-24,Michigan,28.0
2016-04-24,Maryland,27.62
2016-04-24,Jacksonville,27.58
2016-04-24,Delaware,27.5
2016-04-24,UAlbany,27.33
2016-04-24,Richmond,27.08
2016-04-24,Penn St.,26.92
2016-04-24,Providence,26.86
2016-04-24,Towson,26.85
2016-04-24,Penn,26.77
2016-04-24,Siena,26.64
2016-04-24,Robert Morris,26.46
2016-04-24,VMI,26.27
2016-04-24,Quinnipiac,26.18
2016-04-24,St. John's,26.15
2016-04-24,Hobart,26.15
2016-04-24,Ohio St.,26.0
2016-04-24,Canisius,25.18
2016-04-24,Binghamton,25.15
2016-04-24,Sacred Heart,25.0
2016-04-24,Bellarmine,25.0
2016-04-24,Holy Cross,24.93
2016-04-24,Detroit Mercy,24.82
2016-04-24,Air Force,24.64
2016-04-24,Monmouth,24.58
2016-04-24,Fairfield,24.43
2016-04-24,Colgate,24.38
2016-04-24,NJIT,24.14
2016-04-24,UMBC,24.0
2016-04-24,Drexel,23.92
2016-04-24,Furman,23.75
2016-04-24,Manhattan,23.29
2016-04-24,Georgetown,23.0
2016-04-24,Mercer,22.58
2016-04-24,Marist,21.31
2016-04-24,UMass Lowell,29.93
2016-04-22,Brown,37.83
2016-04-22,Virginia,36.69
2016-04-22,Duke,35.0
2016-04-22,Army West Point,34.54
2016-04-22,Rutgers,33.31
2016-04-22,Denver,32.91
2016-04-22,Boston U.,32.71
2016-04-22,Hartford,32.69
2016-04-22,Stony Brook,31.85
2016-04-22,North Carolina,31.5
2016-04-22,Hofstra,31.42
2016-04-22,Bryant,31.42
2016-04-22,Cornell,31.27
2016-04-22,Yale,31.09
2016-04-22,Navy,30.85
2016-04-22,Notre Dame,30.7
2016-04-22,Syracuse,30.5
2016-04-22,Bucknell,30.46
2016-04-22,Saint Joseph's,30.45
2016-04-22,High Point,30.42
2016-04-22,Loyola Maryland,30.31
2016-04-22,Villanova,30.0
2016-04-22,Princeton,29.91
2016-04-22,Vermont,28.85
2016-04-22,Wagner,28.77
2016-04-22,Johns Hopkins,28.73
2016-04-22,Harvard,28.58
2016-04-22,Maryland,28.42
2016-04-22,Lafayette,28.36
2016-04-22,Mount St. Mary's,28.33
2016-04-22,Lehigh,28.29
2016-04-22,Dartmouth,28.17
2016-04-22,Delaware,28.15
2016-04-22,Marquette,28.0
2016-04-22,Michigan,27.91
2016-04-22,Massachusetts,27.91
2016-04-22,Jacksonville,27.73
2016-04-22,Providence,27.31
2016-04-22,UAlbany,27.27
2016-04-22,Richmond,27.17
2016-04-22,Penn St.,26.92
2016-04-22,Quinnipiac,26.9
2016-04-22,Penn,26.67
2016-04-22,Robert Morris,26.58
2016-04-22,Hobart,26.5
2016-04-22,Ohio St.,26.38
2016-04-22,VMI,26.29
2016-04-22,Towson,26.17
2016-04-22,St. John's,25.92
2016-04-22,Binghamton,25.83
2016-04-22,Siena,25.8
2016-04-22,Air Force,25.31
2016-04-22,Detroit Mercy,25.3
2016-04-22,Monmouth,25.09
2016-04-22,Sacred Heart,25.0
2016-04-22,Holy Cross,24.93
2016-04-22,Canisius,24.5
2016-04-22,Drexel,24.5
2016-04-22,Colgate,24.38
2016-04-22,Bellarmine,24.33
2016-04-22,Furman,24.09
2016-04-22,Fairfield,24.08
2016-04-22,NJIT,23.46
2016-04-22,UMBC,23.42
2016-04-22,Manhattan,23.0
2016-04-22,Georgetown,22.25
2016-04-22,Mercer,21.82
2016-04-22,Marist,20.92
2016-04-22,UMass Lowell,30.21
2016-04-20,Brown,37.83
2016-04-20,Virginia,36.69
2016-04-20,Army West Point,35.33
2016-04-20,Duke,35.0
2016-04-20,Boston U.,33.62
2016-04-20,Rutgers,33.25
2016-04-20,Denver,32.91
2016-04-20,Hartford,32.69
2016-04-20,Stony Brook,31.85
2016-04-20,North Carolina,31.5
2016-04-20,Bryant,31.42
2016-04-20,Hofstra,31.42
2016-04-20,Cornell,31.27
2016-04-20,Yale,31.09
2016-04-20,Navy,30.75
2016-04-20,Notre Dame,30.7
2016-04-20,Syracuse,30.5
2016-04-20,Saint Joseph's,30.45
2016-04-20,High Point,30.42
2016-04-20,Bucknell,30.08
2016-04-20,Loyola Maryland,30.0
2016-04-20,Villanova,30.0
2016-04-20,Princeton,29.91
2016-04-20,Lehigh,28.92
2016-04-20,Vermont,28.85
2016-04-20,Wagner,28.77
2016-04-20,Johns Hopkins,28.73
2016-04-20,Marquette,28.64
2016-04-20,Harvard,28.58
2016-04-20,Lafayette,28.54
2016-04-20,Maryland,28.42
2016-04-20,Mount St. Mary's,28.33
2016-04-20,Dartmouth,28.17
2016-04-20,Delaware,28.15
2016-04-20,Michigan,27.91
2016-04-20,Massachusetts,27.91
2016-04-20,Jacksonville,27.73
2016-04-20,Providence,27.31
2016-04-20,UAlbany,27.27
2016-04-20,Richmond,27.17
2016-04-20,Penn St.,26.92
2016-04-20,Quinnipiac,26.9
2016-04-20,Penn,26.67
2016-04-20,Robert Morris,26.58
2016-04-20,Hobart,26.5
2016-04-20,Ohio St.,26.38
2016-04-20,VMI,26.29
2016-04-20,Towson,26.17
2016-04-20,St. John's,25.92
2016-04-20,Binghamton,25.83
2016-04-20,Siena,25.8
2016-04-20,Sacred Heart,25.62
2016-04-20,Holy Cross,25.46
2016-04-20,Air Force,25.31
2016-04-20,Detroit Mercy,25.3
2016-04-20,Monmouth,25.09
2016-04-20,Canisius,24.5
2016-04-20,Drexel,24.5
2016-04-20,Bellarmine,24.33
2016-04-20,Furman,24.09
2016-04-20,Fairfield,24.08
2016-04-20,Colgate,23.67
2016-04-20,NJIT,23.46
2016-04-20,UMBC,23.42
2016-04-20,Manhattan,23.0
2016-04-20,Georgetown,22.25
2016-04-20,Mercer,21.82
2016-04-20,Marist,20.92
2016-04-20,UMass Lowell,30.21
2016-04-19,Brown,37.83
2016-04-19,Virginia,36.69
2016-04-19,Army West Point,35.33
2016-04-19,Duke,35.0
2016-04-19,Boston U.,33.62
2016-04-19,Rutgers,33.25
2016-04-19,Denver,32.91
2016-04-19,Hartford,32.69
2016-04-19,Stony Brook,31.85
2016-04-19,North Carolina,31.5
2016-04-19,Bryant,31.42
2016-04-19,Hofstra,31.42
2016-04-19,Cornell,31.27
2016-04-19,Yale,31.09
2016-04-19,Navy,30.75
2016-04-19,Notre Dame,30.7
2016-04-19,Syracuse,30.64
2016-04-19,Saint Joseph's,30.45
2016-04-19,High Point,30.42
2016-04-19,Bucknell,30.08
2016-04-19,Loyola Maryland,30.0
2016-04-19,Villanova,30.0
2016-04-19,Princeton,29.91
2016-04-19,Lehigh,28.92
2016-04-19,Vermont,28.85
2016-04-19,Wagner,28.77
2016-04-19,Johns Hopkins,28.73
2016-04-19,Marquette,28.64
2016-04-19,Harvard,28.58
2016-04-19,Lafayette,28.54
2016-04-19,Maryland,28.42
2016-04-19,Mount St. Mary's,28.33
2016-04-19,Dartmouth,28.17
2016-04-19,Delaware,28.15
2016-04-19,Michigan,27.91
2016-04-19,Massachusetts,27.91
2016-04-19,Jacksonville,27.73
2016-04-19,Providence,27.31
2016-04-19,UAlbany,27.27
2016-04-19,Richmond,27.17
2016-04-19,Penn St.,26.92
2016-04-19,Quinnipiac,26.9
2016-04-19,Penn,26.67
2016-04-19,Robert Morris,26.58
2016-04-19,Hobart,26.5
2016-04-19,Ohio St.,26.38
2016-04-19,VMI,26.29
2016-04-19,Binghamton,26.27
2016-04-19,Towson,26.17
2016-04-19,St. John's,25.92
2016-04-19,Siena,25.8
2016-04-19,Sacred Heart,25.62
2016-04-19,Holy Cross,25.46
2016-04-19,Air Force,25.31
2016-04-19,Detroit Mercy,25.3
2016-04-19,Monmouth,25.09
2016-04-19,Canisius,24.5
2016-04-19,Drexel,24.5
2016-04-19,Bellarmine,24.33
2016-04-19,Furman,24.09
2016-04-19,Fairfield,24.08
2016-04-19,Colgate,23.67
2016-04-19,NJIT,23.46
2016-04-19,UMBC,23.42
2016-04-19,Manhattan,23.0
2016-04-19,Georgetown,22.25
2016-04-19,Mercer,21.82
2016-04-19,Marist,20.92
2016-04-19,UMass Lowell,30.21
2016-04-17,Brown,36.73
2016-04-17,Virginia,36.69
2016-04-17,Army West Point,35.33
2016-04-17,Duke,35.0
2016-04-17,Boston U.,33.62
2016-04-17,Rutgers,33.25
2016-04-17,Hartford,32.92
2016-04-17,Denver,32.91
2016-04-17,Bryant,32.36
2016-04-17,Stony Brook,31.85
2016-04-17,Navy,31.55
2016-04-17,North Carolina,31.5
2016-04-17,Hofstra,31.42
2016-04-17,Cornell,31.27
2016-04-17,Yale,31.09
2016-04-17,Notre Dame,30.7
2016-04-17,Syracuse,30.64
2016-04-17,Saint Joseph's,30.45
2016-04-17,High Point,30.42
2016-04-17,Bucknell,30.08
2016-04-17,Loyola Maryland,30.0
2016-04-17,Villanova,30.0
2016-04-17,Princeton,29.91
2016-04-17,Lehigh,28.92
2016-04-17,Vermont,28.85
2016-04-17,Wagner,28.77
2016-04-17,Mount St. Mary's,28.73
2016-04-17,Johns Hopkins,28.73
2016-04-17,Marquette,28.64
2016-04-17,Harvard,28.58
2016-04-17,Lafayette,28.54
2016-04-17,Maryland,28.36
2016-04-17,Delaware,28.15
2016-04-17,Michigan,27.91
2016-04-17,Massachusetts,27.91
2016-04-17,Jacksonville,27.73
2016-04-17,UAlbany,27.27
2016-04-17,Providence,27.25
2016-04-17,Richmond,27.17
2016-04-17,Penn St.,26.92
2016-04-17,Quinnipiac,26.9
2016-04-17,Penn,26.82
2016-04-17,Hobart,26.5
2016-04-17,Ohio St.,26.38
2016-04-17,VMI,26.29
2016-04-17,Binghamton,26.27
2016-04-17,Towson,26.17
2016-04-17,Sacred Heart,26.17
2016-04-17,Robert Morris,26.0
2016-04-17,St. John's,25.92
2016-04-17,Siena,25.8
2016-04-17,Holy Cross,25.46
2016-04-17,Air Force,25.31
2016-04-17,Detroit Mercy,25.3
2016-04-17,Dartmouth,25.09
2016-04-17,Monmouth,25.09
2016-04-17,Drexel,24.5
2016-04-17,Canisius,24.33
2016-04-17,Bellarmine,24.33
2016-04-17,Furman,24.09
2016-04-17,Fairfield,24.08
2016-04-17,UMBC,23.82
2016-04-17,Colgate,23.67
2016-04-17,NJIT,23.46
2016-04-17,Manhattan,23.0
2016-04-17,Georgetown,22.25
2016-04-17,Mercer,21.73
2016-04-17,Marist,20.92
2016-04-17,UMass Lowell,28.69
2016-04-15,Virginia,37.67
2016-04-15,Brown,36.8
2016-04-15,Duke,35.38
2016-04-15,Rutgers,34.55
2016-04-15,Army West Point,34.36
2016-04-15,Boston U.,34.08
2016-04-15,Hartford,33.09
2016-04-15,Denver,32.7
2016-04-15,Bryant,32.6
2016-04-15,North Carolina,32.55
2016-04-15,Yale,31.6
2016-04-15,Stony Brook,31.42
2016-04-15,Hofstra,31.36
2016-04-15,Saint Joseph's,30.9
2016-04-15,Syracuse,30.8
2016-04-15,Navy,30.8
2016-04-15,Notre Dame,30.7
2016-04-15,Villanova,30.6
2016-04-15,Bucknell,30.08
2016-04-15,High Point,30.0
2016-04-15,Loyola Maryland,29.64
2016-04-15,Cornell,29.6
2016-04-15,Harvard,29.36
2016-04-15,Princeton,29.3
2016-04-15,Wagner,29.25
2016-04-15,Lehigh,29.17
2016-04-15,Mount St. Mary's,28.7
2016-04-15,Johns Hopkins,28.6
2016-04-15,Lafayette,28.54
2016-04-15,Vermont,28.5
2016-04-15,Massachusetts,28.4
2016-04-15,Michigan,28.4
2016-04-15,Marquette,28.3
2016-04-15,Delaware,28.08
2016-04-15,Maryland,28.0
2016-04-15,Providence,27.55
2016-04-15,VMI,27.54
2016-04-15,UAlbany,27.5
2016-04-15,Jacksonville,27.4
2016-04-15,Richmond,27.18
2016-04-15,Hobart,27.09
2016-04-15,Penn St.,27.09
2016-04-15,Binghamton,26.6
2016-04-15,Towson,26.55
2016-04-15,Ohio St.,26.5
2016-04-15,Siena,26.33
2016-04-15,Quinnipiac,26.33
2016-04-15,Sacred Heart,26.09
2016-04-15,Robert Morris,26.0
2016-04-15,Penn,25.9
2016-04-15,Air Force,25.83
2016-04-15,St. John's,25.82
2016-04-15,Dartmouth,25.3
2016-04-15,Monmouth,25.2
2016-04-15,Furman,25.2
2016-04-15,Holy Cross,25.0
2016-04-15,Detroit Mercy,25.0
2016-04-15,Drexel,24.91
2016-04-15,Bellarmine,24.82
2016-04-15,Fairfield,24.08
2016-04-15,Canisius,24.0
2016-04-15,NJIT,23.46
2016-04-15,Colgate,23.36
2016-04-15,UMBC,23.3
2016-04-15,Georgetown,22.82
2016-04-15,Manhattan,22.33
2016-04-15,Mercer,21.7
2016-04-15,Marist,20.55
2016-04-15,UMass Lowell,28.67
2016-04-13,Virginia,37.67
2016-04-13,Brown,36.8
2016-04-13,Duke,35.38
2016-04-13,Rutgers,34.55
2016-04-13,Army West Point,34.36
2016-04-13,Boston U.,34.08
2016-04-13,Hartford,33.09
2016-04-13,Denver,32.7
2016-04-13,Bryant,32.6
2016-04-13,North Carolina,32.55
2016-04-13,Yale,31.6
2016-04-13,Stony Brook,31.42
2016-04-13,Hofstra,31.36
2016-04-13,Saint Joseph's,30.9
2016-04-13,Navy,30.8
2016-04-13,Syracuse,30.8
2016-04-13,Notre Dame,30.7
2016-04-13,Villanova,30.6
2016-04-13,High Point,30.0
2016-04-13,Loyola Maryland,29.64
2016-04-13,Cornell,29.6
2016-04-13,Bucknell,29.55
2016-04-13,Lafayette,29.5
2016-04-13,Harvard,29.36
2016-04-13,Princeton,29.3
2016-04-13,Wagner,29.25
2016-04-13,Lehigh,29.17
2016-04-13,Mount St. Mary's,28.7
2016-04-13,Johns Hopkins,28.6
2016-04-13,Vermont,28.5
2016-04-13,Michigan,28.4
2016-04-13,Massachusetts,28.4
2016-04-13,Marquette,28.3
2016-04-13,Delaware,28.08
2016-04-13,Maryland,28.0
2016-04-13,Providence,27.55
2016-04-13,VMI,27.54
2016-04-13,UAlbany,27.5
2016-04-13,Jacksonville,27.4
2016-04-13,Richmond,27.18
2016-04-13,Hobart,27.09
2016-04-13,Penn St.,27.09
2016-04-13,Binghamton,26.6
2016-04-13,Towson,26.55
2016-04-13,Ohio St.,26.5
2016-04-13,Siena,26.33
2016-04-13,Quinnipiac,26.33
2016-04-13,Sacred Heart,26.09
2016-04-13,Robert Morris,26.0
2016-04-13,Penn,25.9
2016-04-13,Air Force,25.83
2016-04-13,St. John's,25.82
2016-04-13,Dartmouth,25.3
2016-04-13,Monmouth,25.2
2016-04-13,Furman,25.2
2016-04-13,Holy Cross,25.0
2016-04-13,Detroit Mercy,25.0
2016-04-13,Drexel,24.91
2016-04-13,Bellarmine,24.82
2016-04-13,Fairfield,24.08
2016-04-13,Canisius,24.0
2016-04-13,NJIT,23.46
2016-04-13,Colgate,23.36
2016-04-13,UMBC,23.3
2016-04-13,Georgetown,22.82
2016-04-13,Manhattan,22.33
2016-04-13,Mercer,21.7
2016-04-13,Marist,20.55
2016-04-13,UMass Lowell,28.67
2016-04-12,Virginia,37.67
2016-04-12,Brown,36.8
2016-04-12,Duke,35.38
2016-04-12,Rutgers,34.55
2016-04-12,Army West Point,34.36
2016-04-12,Boston U.,34.08
2016-04-12,Hartford,33.09
2016-04-12,Denver,32.7
2016-04-12,Bryant,32.6
2016-04-12,North Carolina,32.55
2016-04-12,Yale,31.6
2016-04-12,Stony Brook,31.42
2016-04-12,Hofstra,31.36
2016-04-12,Saint Joseph's,30.9
2016-04-12,Navy,30.8
2016-04-12,Syracuse,30.8
2016-04-12,Villanova,30.6
2016-04-12,Notre Dame,30.11
2016-04-12,High Point,30.0
2016-04-12,Loyola Maryland,29.64
2016-04-12,Cornell,29.6
2016-04-12,Bucknell,29.55
2016-04-12,Lafayette,29.5
2016-04-12,Harvard,29.36
2016-04-12,Princeton,29.3
2016-04-12,Wagner,29.25
2016-04-12,Lehigh,29.17
2016-04-12,Mount St. Mary's,28.7
2016-04-12,Johns Hopkins,28.6
2016-04-12,Vermont,28.5
2016-04-12,Massachusetts,28.4
2016-04-12,Michigan,28.4
2016-04-12,Delaware,28.08
2016-04-12,Maryland,28.0
2016-04-12,Marquette,27.78
2016-04-12,Providence,27.55
2016-04-12,VMI,27.54
2016-04-12,UAlbany,27.5
2016-04-12,Jacksonville,27.4
2016-04-12,Richmond,27.18
2016-04-12,Hobart,27.09
2016-04-12,Penn St.,27.09
2016-04-12,Binghamton,26.6
2016-04-12,Towson,26.55
2016-04-12,Ohio St.,26.5
2016-04-12,Siena,26.33
2016-04-12,Quinnipiac,26.33
2016-04-12,Sacred Heart,26.09
2016-04-12,Robert Morris,26.0
2016-04-12,Penn,25.9
2016-04-12,Air Force,25.83
2016-04-12,St. John's,25.82
2016-04-12,Dartmouth,25.3
2016-04-12,Monmouth,25.2
2016-04-12,Furman,25.2
2016-04-12,Detroit Mercy,25.0
2016-04-12,Holy Cross,25.0
2016-04-12,Drexel,24.91
2016-04-12,Bellarmine,24.82
2016-04-12,Fairfield,24.08
2016-04-12,Canisius,24.0
2016-04-12,NJIT,23.46
2016-04-12,Colgate,23.36
2016-04-12,UMBC,23.3
2016-04-12,Georgetown,22.82
2016-04-12,Manhattan,22.33
2016-04-12,Mercer,21.7
2016-04-12,Marist,20.55
2016-04-12,UMass Lowell,28.67
2016-04-10,Virginia,37.67
2016-04-10,Brown,36.8
2016-04-10,Duke,35.38
2016-04-10,Rutgers,34.55
2016-04-10,Army West Point,34.36
2016-04-10,Boston U.,34.08
2016-04-10,Hartford,33.09
2016-04-10,Denver,32.7
2016-04-10,Bryant,32.6
2016-04-10,North Carolina,32.55
2016-04-10,Syracuse,31.67
2016-04-10,Yale,31.6
2016-04-10,Hofstra,31.36
2016-04-10,Stony Brook,31.0
2016-04-10,Saint Joseph's,30.9
2016-04-10,Navy,30.8
2016-04-10,Cornell,30.67
2016-04-10,Villanova,30.6
2016-04-10,Notre Dame,30.11
2016-04-10,High Point,30.0
2016-04-10,Princeton,30.0
2016-04-10,Loyola Maryland,29.64
2016-04-10,Bucknell,29.55
2016-04-10,Harvard,29.36
2016-04-10,Lafayette,29.27
2016-04-10,Wagner,29.25
2016-04-10,Lehigh,28.64
2016-04-10,Johns Hopkins,28.6
2016-04-10,Vermont,28.5
2016-04-10,Michigan,28.4
2016-04-10,Massachusetts,28.4
2016-04-10,Delaware,28.08
2016-04-10,Maryland,28.0
2016-04-10,Marquette,27.78
2016-04-10,Mount St. Mary's,27.67
2016-04-10,Providence,27.55
2016-04-10,VMI,27.54
2016-04-10,UAlbany,27.5
2016-04-10,Jacksonville,27.4
2016-04-10,Richmond,27.18
2016-04-10,Penn St.,27.09
2016-04-10,Hobart,27.09
2016-04-10,Binghamton,26.78
2016-04-10,Towson,26.55
2016-04-10,Ohio St.,26.5
2016-04-10,Siena,26.33
2016-04-10,Quinnipiac,26.33
2016-04-10,Sacred Heart,26.09
2016-04-10,Robert Morris,26.0
2016-04-10,Penn,25.9
2016-04-10,Air Force,25.83
2016-04-10,St. John's,25.82
2016-04-10,Dartmouth,25.3
2016-04-10,Monmouth,25.2
2016-04-10,Furman,25.2
2016-04-10,Detroit Mercy,25.0
2016-04-10,Holy Cross,25.0
2016-04-10,Drexel,24.91
2016-04-10,Bellarmine,24.82
2016-04-10,Canisius,24.43
2016-04-10,NJIT,24.42
2016-04-10,Fairfield,24.08
2016-04-10,Colgate,23.36
2016-04-10,Georgetown,22.82
2016-04-10,UMBC,22.78
2016-04-10,Manhattan,22.33
2016-04-10,Mercer,21.7
2016-04-10,Marist,20.9
2016-04-10,UMass Lowell,28.67
2016-04-08,Virginia,39.55
2016-04-08,Brown,38.89
2016-04-08,Rutgers,35.5
2016-04-08,Duke,35.5
2016-04-08,Boston U.,33.91
2016-04-08,Denver,33.89
2016-04-08,Hartford,33.8
2016-04-08,Army West Point,33.7
2016-04-08,North Carolina,32.7
2016-04-08,Bryant,32.56
2016-04-08,Stony Brook,32.5
2016-04-08,Syracuse,31.67
2016-04-08,Hofstra,31.2
2016-04-08,Villanova,31.11
2016-04-08,Yale,31.0
2016-04-08,Wagner,30.55
2016-04-08,Saint Joseph's,30.11
2016-04-08,High Point,29.9
2016-04-08,Lafayette,29.9
2016-04-08,Navy,29.89
2016-04-08,Notre Dame,29.88
2016-04-08,Cornell,29.75
2016-04-08,Harvard,29.6
2016-04-08,Loyola Maryland,29.6
2016-04-08,Bucknell,29.55
2016-04-08,Princeton,29.38
2016-04-08,Vermont,29.27
2016-04-08,Massachusetts,28.78
2016-04-08,Michigan,28.56
2016-04-08,Marquette,28.5
2016-04-08,Lehigh,28.5
2016-04-08,Johns Hopkins,28.44
2016-04-08,Delaware,28.27
2016-04-08,Providence,28.2
2016-04-08,VMI,27.83
2016-04-08,Mount St. Mary's,27.67
2016-04-08,UAlbany,27.56
2016-04-08,Penn St.,27.5
2016-04-08,Quinnipiac,27.5
2016-04-08,Maryland,27.44
2016-04-08,Jacksonville,27.44
2016-04-08,Richmond,27.1
2016-04-08,Towson,26.8
2016-04-08,Hobart,26.7
2016-04-08,Ohio St.,26.45
2016-04-08,St. John's,26.4
2016-04-08,Sacred Heart,26.1
2016-04-08,Robert Morris,25.8
2016-04-08,Penn,25.67
2016-04-08,Drexel,25.5
2016-04-08,Siena,25.38
2016-04-08,Monmouth,25.2
2016-04-08,Dartmouth,25.0
2016-04-08,Bellarmine,25.0
2016-04-08,Detroit Mercy,24.88
2016-04-08,Furman,24.78
2016-04-08,Binghamton,24.75
2016-04-08,Air Force,24.55
2016-04-08,Holy Cross,24.55
2016-04-08,NJIT,24.42
2016-04-08,Fairfield,23.73
2016-04-08,Canisius,23.67
2016-04-08,UMBC,23.5
2016-04-08,Colgate,23.4
2016-04-08,Manhattan,22.82
2016-04-08,Georgetown,22.3
2016-04-08,Marist,20.56
2016-04-08,Mercer,19.78
2016-04-08,UMass Lowell,29.73
2016-04-06,Virginia,39.55
2016-04-06,Brown,38.89
2016-04-06,Rutgers,35.5
2016-04-06,Duke,35.5
2016-04-06,Boston U.,33.91
2016-04-06,Denver,33.89
2016-04-06,Hartford,33.8
2016-04-06,Army West Point,33.7
2016-04-06,North Carolina,32.7
2016-04-06,Bryant,32.56
2016-04-06,Stony Brook,32.5
2016-04-06,Syracuse,31.67
2016-04-06,Hofstra,31.2
2016-04-06,Villanova,31.11
2016-04-06,Yale,31.0
2016-04-06,Wagner,30.55
2016-04-06,Saint Joseph's,30.11
2016-04-06,High Point,29.9
2016-04-06,Lafayette,29.9
2016-04-06,Navy,29.89
2016-04-06,Notre Dame,29.88
2016-04-06,Cornell,29.75
2016-04-06,Harvard,29.6
2016-04-06,Loyola Maryland,29.6
2016-04-06,Princeton,29.38
2016-04-06,Bucknell,29.3
2016-04-06,Vermont,29.27
2016-04-06,Massachusetts,28.78
2016-04-06,Michigan,28.56
2016-04-06,Marquette,28.5
2016-04-06,Lehigh,28.5
2016-04-06,Johns Hopkins,28.44
2016-04-06,Delaware,28.27
2016-04-06,Providence,28.2
2016-04-06,Mount St. Mary's,28.13
2016-04-06,VMI,27.83
2016-04-06,UAlbany,27.56
2016-04-06,Penn St.,27.5
2016-04-06,Quinnipiac,27.5
2016-04-06,Maryland,27.44
2016-04-06,Jacksonville,27.44
2016-04-06,Richmond,27.1
2016-04-06,Towson,26.8
2016-04-06,Hobart,26.7
2016-04-06,Ohio St.,26.45
2016-04-06,St. John's,26.4
2016-04-06,Sacred Heart,26.1
2016-04-06,Robert Morris,25.8
2016-04-06,Penn,25.67
2016-04-06,Drexel,25.5
2016-04-06,Siena,25.38
2016-04-06,Monmouth,25.2
2016-04-06,Dartmouth,25.0
2016-04-06,Bellarmine,25.0
2016-04-06,Detroit Mercy,24.88
2016-04-06,Furman,24.78
2016-04-06,Binghamton,24.75
2016-04-06,Air Force,24.55
2016-04-06,Holy Cross,24.55
2016-04-06,NJIT,24.42
2016-04-06,Fairfield,23.73
2016-04-06,Canisius,23.67
2016-04-06,UMBC,23.5
2016-04-06,Colgate,23.4
2016-04-06,Manhattan,22.82
2016-04-06,Georgetown,22.3
2016-04-06,Marist,20.56
2016-04-06,Mercer,19.78
2016-04-06,UMass Lowell,29.73
2016-04-05,Virginia,39.55
2016-04-05,Brown,38.89
2016-04-05,Rutgers,35.5
2016-04-05,Duke,35.5
2016-04-05,Boston U.,33.91
2016-04-05,Denver,33.89
2016-04-05,Hartford,33.8
2016-04-05,Army West Point,33.7
2016-04-05,North Carolina,32.7
2016-04-05,Bryant,32.56
2016-04-05,Stony Brook,32.5
2016-04-05,Syracuse,32.25
2016-04-05,Hofstra,31.2
2016-04-05,Villanova,31.11
2016-04-05,Yale,31.0
2016-04-05,Wagner,30.55
2016-04-05,Saint Joseph's,30.11
2016-04-05,High Point,29.9
2016-04-05,Lafayette,29.9
2016-04-05,Navy,29.89
2016-04-05,Notre Dame,29.88
2016-04-05,Cornell,29.75
2016-04-05,Loyola Maryland,29.6
2016-04-05,Harvard,29.6
2016-04-05,Princeton,29.38
2016-04-05,Bucknell,29.3
2016-04-05,Vermont,29.27
2016-04-05,Massachusetts,28.78
2016-04-05,Michigan,28.56
2016-04-05,Lehigh,28.5
2016-04-05,Marquette,28.5
2016-04-05,Johns Hopkins,28.44
2016-04-05,Delaware,28.27
2016-04-05,Providence,28.2
2016-04-05,Mount St. Mary's,28.13
2016-04-05,Hobart,28.0
2016-04-05,VMI,27.83
2016-04-05,UAlbany,27.56
2016-04-05,Penn St.,27.5
2016-04-05,Quinnipiac,27.5
2016-04-05,Maryland,27.44
2016-04-05,Jacksonville,27.44
2016-04-05,Richmond,27.1
2016-04-05,Towson,26.8
2016-04-05,Ohio St.,26.45
2016-04-05,St. John's,26.4
2016-04-05,Sacred Heart,26.1
2016-04-05,Robert Morris,25.8
2016-04-05,Penn,25.67
2016-04-05,Drexel,25.5
2016-04-05,Siena,25.38
2016-04-05,Monmouth,25.2
2016-04-05,Bellarmine,25.0
2016-04-05,Dartmouth,25.0
2016-04-05,Detroit Mercy,24.88
2016-04-05,Furman,24.78
2016-04-05,Binghamton,24.75
2016-04-05,Air Force,24.55
2016-04-05,Holy Cross,24.55
2016-04-05,NJIT,24.42
2016-04-05,Fairfield,23.73
