Date,Team,Groundballs per Game
2015-05-17,Quinnipiac,29.0
2015-05-17,Penn,28.92
2015-05-17,Army West Point,28.53
2015-05-17,Fairfield,28.47
2015-05-17,Detroit Mercy,28.21
2015-05-17,Sacred Heart,28.15
2015-05-17,Ohio St.,28.05
2015-05-17,Hofstra,27.86
2015-05-17,Drexel,27.73
2015-05-17,Michigan,27.62
2015-05-17,Penn St.,27.57
2015-05-17,Yale,27.38
2015-05-17,Princeton,27.27
2015-05-17,Towson,27.11
2015-05-17,Mercer,27.08
2015-05-17,Lafayette,26.79
2015-05-17,VMI,26.73
2015-05-17,Bellarmine,26.67
2015-05-17,Providence,26.64
2015-05-17,Robert Morris,26.64
2015-05-17,Bucknell,26.6
2015-05-17,Maryland,26.59
2015-05-17,Jacksonville,26.58
2015-05-17,Massachusetts,26.33
2015-05-17,Delaware,26.27
2015-05-17,Air Force,26.27
2015-05-17,Mount St. Mary's,26.2
2015-05-17,Binghamton,25.85
2015-05-17,Holy Cross,25.69
2015-05-17,Colgate,25.69
2015-05-17,Canisius,25.27
2015-05-17,Marquette,24.88
2015-05-17,UMBC,24.54
2015-05-17,Monmouth,23.0
2015-05-17,NJIT,22.5
2015-05-17,Villanova,22.5
2015-05-17,Manhattan,22.47
2015-05-17,Wagner,22.31
2015-05-17,Hobart,22.29
2015-05-17,Furman,21.69
2015-05-17,UMass Lowell,27.5
2015-05-16,Brown,38.65
2015-05-16,UAlbany,38.63
2015-05-16,North Carolina,38.44
2015-05-16,Duke,37.0
2015-05-16,Cornell,35.81
2015-05-16,Vermont,35.13
2015-05-16,Syracuse,34.6
2015-05-16,Stony Brook,34.11
2015-05-16,Notre Dame,32.57
2015-05-16,Rutgers,32.47
2015-05-16,Richmond,32.19
2015-05-16,Virginia,32.13
2015-05-16,Navy,32.0
2015-05-16,Hartford,31.93
2015-05-16,Dartmouth,31.85
2015-05-16,Loyola Maryland,31.0
2015-05-16,Harvard,30.93
2015-05-16,Boston U.,30.86
2015-05-16,Bryant,30.61
2015-05-16,Saint Joseph's,30.59
2015-05-16,Georgetown,30.25
2015-05-16,St. John's,30.21
2015-05-16,Denver,30.06
2015-05-16,High Point,29.71
2015-05-16,Johns Hopkins,29.63
2015-05-16,Lehigh,29.44
2015-05-16,Siena,29.36
2015-05-16,Marist,29.11
2015-05-16,Quinnipiac,29.0
2015-05-16,Penn,28.92
2015-05-16,Army West Point,28.53
2015-05-16,Fairfield,28.47
2015-05-16,Detroit Mercy,28.21
2015-05-16,Sacred Heart,28.15
2015-05-16,Ohio St.,28.05
2015-05-16,Hofstra,27.86
2015-05-16,Drexel,27.73
2015-05-16,Michigan,27.62
2015-05-16,Penn St.,27.57
2015-05-16,Yale,27.38
2015-05-16,Princeton,27.27
2015-05-16,Towson,27.11
2015-05-16,Mercer,27.08
2015-05-16,Maryland,26.88
2015-05-16,Lafayette,26.79
2015-05-16,VMI,26.73
2015-05-16,Bellarmine,26.67
2015-05-16,Robert Morris,26.64
2015-05-16,Providence,26.64
2015-05-16,Bucknell,26.6
2015-05-16,Jacksonville,26.58
2015-05-16,Massachusetts,26.33
2015-05-16,Air Force,26.27
2015-05-16,Delaware,26.27
2015-05-16,Mount St. Mary's,26.2
2015-05-16,Binghamton,25.85
2015-05-16,Holy Cross,25.69
2015-05-16,Colgate,25.69
2015-05-16,Canisius,25.27
2015-05-16,Marquette,24.88
2015-05-16,UMBC,24.54
2015-05-16,Monmouth,23.0
2015-05-16,NJIT,22.5
2015-05-16,Villanova,22.5
2015-05-16,Manhattan,22.47
2015-05-16,Wagner,22.31
2015-05-16,Hobart,22.29
2015-05-16,Furman,21.69
2015-05-16,UMass Lowell,27.5
2015-05-10,UAlbany,39.0
2015-05-10,Brown,38.65
2015-05-10,North Carolina,38.44
2015-05-10,Duke,37.0
2015-05-10,Cornell,35.81
2015-05-10,Vermont,35.13
2015-05-10,Syracuse,34.6
2015-05-10,Stony Brook,34.11
2015-05-10,Rutgers,32.47
2015-05-10,Richmond,32.19
2015-05-10,Virginia,32.13
2015-05-10,Navy,32.0
2015-05-10,Hartford,31.93
2015-05-10,Dartmouth,31.85
2015-05-10,Notre Dame,31.85
2015-05-10,Loyola Maryland,31.0
2015-05-10,Harvard,30.93
2015-05-10,Boston U.,30.86
2015-05-10,Bryant,30.61
2015-05-10,Saint Joseph's,30.59
2015-05-10,Denver,30.31
2015-05-10,Georgetown,30.25
2015-05-10,St. John's,30.21
2015-05-10,High Point,29.71
2015-05-10,Johns Hopkins,29.63
2015-05-10,Lehigh,29.44
2015-05-10,Siena,29.36
2015-05-10,Marist,29.11
2015-05-10,Quinnipiac,29.0
2015-05-10,Penn,28.92
2015-05-10,Army West Point,28.53
2015-05-10,Fairfield,28.47
2015-05-10,Ohio St.,28.22
2015-05-10,Detroit Mercy,28.21
2015-05-10,Sacred Heart,28.15
2015-05-10,Hofstra,27.86
2015-05-10,Drexel,27.73
2015-05-10,Michigan,27.62
2015-05-10,Penn St.,27.57
2015-05-10,Yale,27.38
2015-05-10,Princeton,27.27
2015-05-10,Towson,27.11
2015-05-10,Mercer,27.08
2015-05-10,Maryland,26.88
2015-05-10,Lafayette,26.79
2015-05-10,VMI,26.73
2015-05-10,Bellarmine,26.67
2015-05-10,Robert Morris,26.64
2015-05-10,Providence,26.64
2015-05-10,Bucknell,26.6
2015-05-10,Jacksonville,26.58
2015-05-10,Massachusetts,26.33
2015-05-10,Air Force,26.27
