Date,Year,Team 1,Score 1,Team 2,Score 2,Winner
2017-02-28,2017,Vermont,9,Dartmouth,11,Dartmouth
2017-02-28,2017,NJIT,4,Hofstra,20,Hofstra
2017-02-28,2017,Delaware,15,VMI,9,Delaware
2017-02-28,2017,Wagner,5,Rutgers,12,Rutgers
2017-02-28,2017,Fairfield,8,Mass.-Lowell,7,Fairfield
2017-02-28,2017,Manhattan,14,Hartford,13,Manhattan
2017-02-28,2017,Bryant,9,Boston U.,12,Boston U.
2017-03-01,2017,Loyola Maryland,11,Towson,7,Loyola Maryland
2017-03-01,2017,Massachusetts,8,Albany (NY),17,Albany (NY)
2017-03-01,2017,Saint Joseph's,8,St. John's (NY),5,Saint Joseph's
2017-03-01,2017,High Point,12,Virginia,18,Virginia
2017-03-02,2017,Michigan,11,Mercer,6,Michigan
2017-03-03,2017,Detroit,13,Bellarmine,10,Detroit
2017-03-03,2017,Ohio St.,12,Marquette,6,Ohio St.
2017-03-03,2017,Johns Hopkins,7,Princeton,18,Princeton
2017-03-04,2017,Holy Cross,9,Loyola Maryland,16,Loyola Maryland
2017-03-04,2017,Quinnipiac,11,NJIT,8,Quinnipiac
2017-03-04,2017,Maryland,4,Notre Dame,5,Notre Dame
2017-03-04,2017,Hofstra,11,Georgetown,9,Hofstra
2017-03-04,2017,Delaware,13,Villanova,10,Delaware
2017-03-04,2017,Fairfield,6,Stony Brook,9,Stony Brook
2017-03-04,2017,Towson,8,UMBC,6,Towson
2017-03-04,2017,Drexel,7,Marist,11,Marist
2017-03-04,2017,Sacred Heart,10,Providence,8,Sacred Heart
2017-03-04,2017,Saint Joseph's,18,Manhattan,6,Saint Joseph's
2017-03-04,2017,Canisius,17,Cleveland St.,7,Canisius
2017-03-04,2017,Michigan,7,Furman,5,Michigan
2017-03-04,2017,North Carolina,13,Denver,9,North Carolina
2017-03-04,2017,Vermont,10,Harvard,13,Harvard
2017-03-04,2017,Mass.-Lowell,6,Monmouth,7,Monmouth
2017-03-04,2017,Dartmouth,6,Wagner,7,Wagner
2017-03-04,2017,Brown,11,Rutgers,13,Rutgers
2017-03-04,2017,Penn,13,Penn St.,14,Penn St.
2017-03-04,2017,Air Force,6,Boston U.,8,Boston U.
2017-03-04,2017,Jacksonville,3,Hartford,15,Hartford
2017-03-04,2017,Lafayette,4,Army,14,Army
2017-03-04,2017,Bucknell,7,Navy,13,Navy
2017-03-05,2017,Virginia,13,Syracuse,14,Syracuse
2017-03-05,2017,Detroit,6,Marquette,8,Marquette
2017-03-05,2017,Duke,9,Richmond,8,Duke
2017-03-05,2017,Robert Morris,9,High Point,7,Robert Morris
2017-03-05,2017,Bellarmine,11,Ohio St.,14,Ohio St.
2017-03-05,2017,Albany (NY),17,Cornell,6,Albany (NY)
2017-03-05,2017,Hobart,6,Binghamton,12,Binghamton
2017-03-05,2017,Bryant,9,Yale,6,Bryant
2017-03-05,2017,St. John's (NY),13,Siena,12,St. John's (NY)
2017-03-05,2017,Lehigh,11,Colgate,5,Lehigh
2017-03-07,2017,Navy,9,Penn,11,Penn
2017-03-07,2017,Villanova,17,Brown,15,Villanova
2017-03-07,2017,Furman,10,Penn St.,12,Penn St.
