Date,Year,Team 1,Score 1,Team 2,Score 2,Winner,Team 1 Assists per Game,Team 2 Assists per Game,Team 1 Caused Turnovers per Game,Team 2 Caused Turnovers per Game,Team 1 Clearing Percent,Team 2 Clearing Percent,Team 1 Faceoff Percent,Team 2 Faceoff Percent,Team 1 Groundballs per Game,Team 2 Groundballs per Game,Team 1 Man Down Defense Percent,Team 2 Man Down Defense Percent,Team 1 Man Up Offense Percent,Team 2 Man Up Offense Percent,Team 1 Opponent Clear Percent,Team 2 Opponent Clear Percent,Team 1 Goals per Game,Team 2 Goals per Game,Team 1 Saves per Game,Team 2 Saves per Game,Team 1 Goals Allowed per Game,Team 2 Goals Allowed per Game,Team 1 Average Margin,Team 2 Average Margin,Team 1 Shot Percent,Team 2 Shot Percent,Team 1 Turnovers per Game,Team 2 Turnovers per Game,Team 1 RPI,Team 2 RPI,Team 1 Save Percent,Team 2 Save Percent,Team 1 Games Played,Team 2 Games Played,Team 1 Assists per Game Total,Team 1 Caused Turnovers per Game Total,Team 1 Clearing Percent Total,Team 1 Faceoff Percent Total,Team 1 Groundballs per Game Total,Team 1 Man Down Defense Percent Total,Team 1 Man Up Offense Percent Total,Team 1 Opponent Clear Percent Total,Team 1 Goals per Game Total,Team 1 Goals Allowed per Game Total,Team 1 Average Margin Total,Team 1 Shot Percent Total,Team 1 Turnovers per Game Total,Team 1 Save Percent Total,Team 1 RPI Total,Team 2 Assists per Game Total,Team 2 Caused Turnovers per Game Total,Team 2 Clearing Percent Total,Team 2 Faceoff Percent Total,Team 2 Groundballs per Game Total,Team 2 Man Down Defense Percent Total,Team 2 Man Up Offense Percent Total,Team 2 Opponent Clear Percent Total,Team 2 Goals per Game Total,Team 2 Goals Allowed per Game Total,Team 2 Average Margin Total,Team 2 Shot Percent Total,Team 2 Turnovers per Game Total,Team 2 Save Percent Total,Team 2 RPI Total,Team 1 Assists per Game RollingAvg_3,Team 1 Caused Turnovers per Game RollingAvg_3,Team 1 Clearing Percent RollingAvg_3,Team 1 Faceoff Percent RollingAvg_3,Team 1 Groundballs per Game RollingAvg_3,Team 1 Man Down Defense Percent RollingAvg_3,Team 1 Man Up Offense Percent RollingAvg_3,Team 1 Opponent Clear Percent RollingAvg_3,Team 1 Goals per Game RollingAvg_3,Team 1 Goals Allowed per Game RollingAvg_3,Team 1 Average Margin RollingAvg_3,Team 1 Shot Percent RollingAvg_3,Team 1 Turnovers per Game RollingAvg_3,Team 1 Save Percent RollingAvg_3,Team 1 RPI RollingAvg_3,Team 2 Assists per Game RollingAvg_3,Team 2 Caused Turnovers per Game RollingAvg_3,Team 2 Clearing Percent RollingAvg_3,Team 2 Faceoff Percent RollingAvg_3,Team 2 Groundballs per Game RollingAvg_3,Team 2 Man Down Defense Percent RollingAvg_3,Team 2 Man Up Offense Percent RollingAvg_3,Team 2 Opponent Clear Percent RollingAvg_3,Team 2 Goals per Game RollingAvg_3,Team 2 Goals Allowed per Game RollingAvg_3,Team 2 Average Margin RollingAvg_3,Team 2 Shot Percent RollingAvg_3,Team 2 Turnovers per Game RollingAvg_3,Team 2 Save Percent RollingAvg_3,Team 2 RPI RollingAvg_3
2017-02-11,2017,north carolina,7.0,furman,3.0,north carolina,7.0,4.5,8.0,7.5,0.938,0.821,0.704,0.5,37.0,24.0,0.5,0.6,,0.333,,,17.0,9.0,5.0,6.0,6.0,12.5,11.0,-3.5,0.415,0.257,15.0,12.0,0.25,,0.45454545454545453,0.32432432432432434,1,0,7.0,8.0,0.938,0.704,37.0,0.5,,,17.0,6.0,11.0,0.415,15.0,0.45454545454545453,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.0,0.0,0.0,0.0,,7.0,8.0,0.938,0.704,37.0,0.5,,,17.0,6.0,11.0,0.415,15.0,0.45454545454545453,0.25,,,,,,,,,,,,,,,
2017-02-11,2017,umbc,5.0,johns hopkins,15.0,johns hopkins,4.0,9.0,10.0,12.0,0.652,0.9,0.296,0.462,27.0,32.0,,0.333,0.5,1.0,,,6.0,15.0,11.0,8.0,17.0,8.0,-11.0,7.0,0.25,0.405,19.0,13.0,0.0,,0.39285714285714285,0.5,1,0,4.0,10.0,0.652,0.296,27.0,,0.5,,6.0,17.0,-11.0,0.25,19.0,0.39285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,10.0,0.652,0.296,27.0,,0.5,,6.0,17.0,-11.0,0.25,19.0,0.39285714285714285,0.0,,,,,,,,,,,,,,,
2017-02-11,2017,bellarmine,8.0,robert morris,10.0,robert morris,,8.0,,6.0,,0.895,,0.3,,18.0,,0.667,,1.0,,,,11.0,,15.0,,15.0,,-4.0,,0.379,,15.0,,0.0,,0.5,0,1,,,,,,,,,,,,,,,,8.0,6.0,0.895,0.3,18.0,0.667,1.0,,11.0,15.0,-4.0,0.379,15.0,0.5,0.0,,,,,,,,,,,,,,,,8.0,6.0,0.895,0.3,18.0,0.667,1.0,,11.0,15.0,-4.0,0.379,15.0,0.5,0.0
2017-02-11,2017,army west point,9.0,massachusetts,2.0,army,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-11,2017,lehigh,13.0,jacksonville,12.0,lehigh,6.0,,6.0,,0.857,,0.875,,41.0,,1.0,,,,,,15.0,,8.0,,5.0,,10.0,,0.349,,11.0,,0.25,,0.6153846153846154,,1,0,6.0,6.0,0.857,0.875,41.0,1.0,,,15.0,5.0,10.0,0.349,11.0,0.6153846153846154,0.25,,,,,,,,,,,,,,,,6.0,6.0,0.857,0.875,41.0,1.0,,,15.0,5.0,10.0,0.349,11.0,0.6153846153846154,0.25,,,,,,,,,,,,,,,
2017-02-11,2017,boston u.,18.0,umass lowell,8.0,boston u.,7.0,,3.0,,0.731,,0.444,,19.0,,0.333,,0.429,,,,8.0,,17.0,,7.0,,1.0,,0.2,,17.0,,0.25,,0.7083333333333334,,1,0,7.0,3.0,0.731,0.444,19.0,0.333,0.429,,8.0,7.0,1.0,0.2,17.0,0.7083333333333334,0.25,,,,,,,,,,,,,,,,7.0,3.0,0.731,0.444,19.0,0.333,0.429,,8.0,7.0,1.0,0.2,17.0,0.7083333333333334,0.25,,,,,,,,,,,,,,,
2017-02-11,2017,maryland,15.0,navy,12.0,maryland,,5.0,,7.0,,0.706,,0.538,,30.0,,,,0.667,,,,8.0,,12.0,,15.0,,-7.0,,0.286,,21.0,,,,0.4444444444444444,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,-0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-11,2017,providence,10.0,holy cross,4.0,providence,6.0,,6.0,,0.947,,0.556,,27.0,,0.571,,0.667,,,,7.0,,12.0,,8.0,,-1.0,,0.167,,14.0,,0.0,,0.6,,1,0,6.0,6.0,0.947,0.556,27.0,0.571,0.667,,7.0,8.0,-1.0,0.167,14.0,0.6,0.0,,,,,,,,,,,,,,,,6.0,6.0,0.947,0.556,27.0,0.571,0.667,,7.0,8.0,-1.0,0.167,14.0,0.6,0.0,,,,,,,,,,,,,,,
2017-02-11,2017,detroit mercy,8.0,ohio st.,14.0,ohio st.,,3.0,,3.0,,0.9,,0.591,,27.0,,1.0,,,,,,12.0,,11.0,,6.0,,6.0,,0.316,,9.0,,,,0.6470588235294118,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-11,2017,air force,6.0,denver,14.0,denver,5.0,,1.0,,0.769,,0.292,,12.0,,0.667,,0.5,,,,11.0,,14.0,,10.0,,1.0,,0.324,,8.0,,,,0.5833333333333334,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
