Date,Year,Team 1,Score 1,Team 2,Score 2,Winner,Team 1 Assists per Game,Team 2 Assists per Game,Team 1 Caused Turnovers per Game,Team 2 Caused Turnovers per Game,Team 1 Clearing Percent,Team 2 Clearing Percent,Team 1 Faceoff Percent,Team 2 Faceoff Percent,Team 1 Groundballs per Game,Team 2 Groundballs per Game,Team 1 Man Down Defense Percent,Team 2 Man Down Defense Percent,Team 1 Man Up Offense Percent,Team 2 Man Up Offense Percent,Team 1 Opponent Clear Percent,Team 2 Opponent Clear Percent,Team 1 Goals per Game,Team 2 Goals per Game,Team 1 Saves per Game,Team 2 Saves per Game,Team 1 Goals Allowed per Game,Team 2 Goals Allowed per Game,Team 1 Average Margin,Team 2 Average Margin,Team 1 Shot Percent,Team 2 Shot Percent,Team 1 Turnovers per Game,Team 2 Turnovers per Game,Team 1 RPI,Team 2 RPI,Team 1 Save Percent,Team 2 Save Percent,Team 1 Games Played,Team 2 Games Played,Team 1 Assists per Game Total,Team 1 Caused Turnovers per Game Total,Team 1 Clearing Percent Total,Team 1 Faceoff Percent Total,Team 1 Groundballs per Game Total,Team 1 Man Down Defense Percent Total,Team 1 Man Up Offense Percent Total,Team 1 Opponent Clear Percent Total,Team 1 Goals per Game Total,Team 1 Goals Allowed per Game Total,Team 1 Average Margin Total,Team 1 Shot Percent Total,Team 1 Turnovers per Game Total,Team 1 Save Percent Total,Team 1 RPI Total,Team 2 Assists per Game Total,Team 2 Caused Turnovers per Game Total,Team 2 Clearing Percent Total,Team 2 Faceoff Percent Total,Team 2 Groundballs per Game Total,Team 2 Man Down Defense Percent Total,Team 2 Man Up Offense Percent Total,Team 2 Opponent Clear Percent Total,Team 2 Goals per Game Total,Team 2 Goals Allowed per Game Total,Team 2 Average Margin Total,Team 2 Shot Percent Total,Team 2 Turnovers per Game Total,Team 2 Save Percent Total,Team 2 RPI Total,Team 1 Assists per Game RollingAvg_3,Team 1 Caused Turnovers per Game RollingAvg_3,Team 1 Clearing Percent RollingAvg_3,Team 1 Faceoff Percent RollingAvg_3,Team 1 Groundballs per Game RollingAvg_3,Team 1 Man Down Defense Percent RollingAvg_3,Team 1 Man Up Offense Percent RollingAvg_3,Team 1 Opponent Clear Percent RollingAvg_3,Team 1 Goals per Game RollingAvg_3,Team 1 Goals Allowed per Game RollingAvg_3,Team 1 Average Margin RollingAvg_3,Team 1 Shot Percent RollingAvg_3,Team 1 Turnovers per Game RollingAvg_3,Team 1 Save Percent RollingAvg_3,Team 1 RPI RollingAvg_3,Team 2 Assists per Game RollingAvg_3,Team 2 Caused Turnovers per Game RollingAvg_3,Team 2 Clearing Percent RollingAvg_3,Team 2 Faceoff Percent RollingAvg_3,Team 2 Groundballs per Game RollingAvg_3,Team 2 Man Down Defense Percent RollingAvg_3,Team 2 Man Up Offense Percent RollingAvg_3,Team 2 Opponent Clear Percent RollingAvg_3,Team 2 Goals per Game RollingAvg_3,Team 2 Goals Allowed per Game RollingAvg_3,Team 2 Average Margin RollingAvg_3,Team 2 Shot Percent RollingAvg_3,Team 2 Turnovers per Game RollingAvg_3,Team 2 Save Percent RollingAvg_3,Team 2 RPI RollingAvg_3
2017-04-08,2017,princeton,13.0,stony brook,11.0,princeton,9.89,6.67,7.89,6.0,0.78,0.876,0.447,0.402,33.56,27.78,0.75,0.579,0.5,0.375,,,15.22,11.78,14.0,9.33,10.56,11.89,4.67,-0.11,0.388,0.332,13.33,12.89,0.5804,0.54644,0.5700325732899022,0.439679547596607,7,8,69.23,55.23,5.46,3.129,234.92000000000002,5.25,3.5,,106.54,73.92,32.69,2.716,93.31,3.9902280130293155,4.0628,53.36,48.0,7.008,3.216,222.24,4.632,3.0,,94.24,95.12,-0.88,2.656,103.12,3.517436380772856,4.37152,11.303333333333335,9.303333333333333,0.7773333333333333,0.36833333333333335,35.413333333333334,0.8873333333333333,0.4706666666666666,,16.40666666666667,11.306666666666667,5.123333333333332,0.41066666666666674,13.770000000000001,0.5764528159373081,0.6166933333333334,5.453333333333333,5.333333333333333,0.9209999999999999,0.3420000000000001,23.74666666666667,0.37733333333333324,0.36833333333333335,,10.079999999999998,13.040000000000001,-2.9600000000000004,0.3086666666666667,8.706666666666669,0.4391454602576186,0.4617066666666667
2017-04-08,2017,notre dame,8.0,duke,11.0,duke,6.29,8.18,7.43,5.45,0.872,0.879,0.463,0.541,25.86,28.73,0.438,0.69,0.333,0.452,,,11.43,12.64,9.71,9.09,8.29,8.0,3.14,4.64,0.296,0.347,12.0,11.73,0.66903,0.57262,0.5394444444444445,0.5318899941486249,6,8,37.74,44.58,5.232,2.778,155.16,2.628,1.9980000000000002,,68.58,49.739999999999995,18.84,1.7759999999999998,72.0,3.2366666666666672,4.01418,65.44,43.6,7.032,4.328,229.84,5.52,3.616,,101.12,64.0,37.12,2.776,93.84,4.255119953188999,4.58096,6.330000000000001,6.609999999999999,0.8390000000000001,0.43100000000000005,26.47,0.512,0.333,,11.11,9.079999999999998,2.03,0.30699999999999994,12.75,0.5476388888888891,0.6714399999999999,8.246666666666664,5.716666666666668,0.8873333333333333,0.561,30.663333333333338,0.6083333333333333,0.20533333333333337,,12.040000000000001,8.233333333333333,3.806666666666666,0.312,12.463333333333336,0.4794844288407775,0.43827000000000016
2017-04-08,2017,bucknell,10.0,mount st. mary's,12.0,mt. st. mary's,6.7,5.33,6.8,4.89,0.82,0.835,0.477,0.368,26.9,23.22,0.692,0.698,0.393,0.409,,,9.9,8.56,11.9,10.89,11.0,11.0,-1.1,-2.44,0.265,0.257,13.0,15.33,0.48124,0.48228,0.5196506550218342,0.49748743718592964,10,7,67.0,68.0,8.2,4.77,269.0,6.92,3.93,,99.0,110.0,-11.0,2.6500000000000004,130.0,5.196506550218341,4.8124,37.31,34.23,5.845,2.576,162.54,4.885999999999999,2.863,,59.92,77.0,-17.08,1.799,107.31,3.4824120603015074,3.37596,7.003333333333333,7.010000000000001,0.8059999999999997,0.3883333333333332,24.00666666666666,0.7503333333333332,0.533,,8.99,10.673333333333332,-1.6600000000000001,0.2743333333333335,14.656666666666666,0.5577001325813256,0.5628600000000001,5.7700000000000005,4.516666666666666,0.8736666666666665,0.3866666666666667,24.179999999999996,0.727333333333333,0.5103333333333333,,9.306666666666667,10.773333333333333,-1.4666666666666661,0.25566666666666665,17.77,0.5309819448367645,0.46225333333333335
2017-04-08,2017,umbc,5.0,ualbany,10.0,albany (ny),4.33,10.44,6.11,5.33,0.872,0.916,0.459,0.68,21.44,35.33,0.563,0.857,0.318,0.333,,,8.0,17.11,9.56,12.22,9.22,9.33,-1.22,7.78,0.279,0.363,12.44,12.67,0.53297,0.59162,0.5090521831735889,0.5670533642691415,9,8,38.97,54.99,7.848,4.131,192.96,5.066999999999999,2.862,,72.0,82.98,-10.98,2.511,111.96,4.5814696485623,4.79673,83.52,42.64,7.328,5.44,282.64,6.856,2.664,,136.88,74.64,62.24,2.904,101.36,4.536426914153132,4.73296,4.6499999999999995,4.669999999999999,0.908,0.501,20.660000000000007,0.4389999999999998,0.328,,9.660000000000002,8.320000000000002,1.3399999999999999,0.315,11.319999999999999,0.5630429983691867,0.4799900000000002,10.173333333333332,6.213333333333334,0.9026666666666667,0.8183333333333335,38.54666666666666,0.8036666666666665,0.518,,19.293333333333333,12.213333333333333,7.080000000000001,0.393,14.453333333333333,0.4109518285272345,0.64587
2017-04-08,2017,penn st.,11.0,maryland,15.0,maryland,8.5,7.5,5.4,6.63,0.903,0.903,0.667,0.546,34.3,33.38,0.474,0.706,0.394,0.556,,,14.7,13.5,11.1,11.63,10.3,8.63,4.4,4.88,0.365,0.371,13.2,14.25,0.63351,0.61596,0.5186915887850467,0.5740375123395853,9,8,76.5,48.6,8.127,6.003,308.7,4.266,3.5460000000000003,,132.29999999999998,92.7,39.6,3.285,118.8,4.668224299065421,5.70159,60.0,53.04,7.224,4.368,267.04,5.648,4.448,,108.0,69.04,39.04,2.968,114.0,4.592300098716683,4.92768,4.160000000000001,7.86,0.7850000000000001,0.6230000000000002,31.899999999999995,0.512,0.22600000000000012,,11.099999999999994,7.239999999999999,3.8600000000000008,0.28100000000000014,14.939999999999998,0.6484108697715761,0.6335100000000001,6.666666666666667,5.013333333333333,0.8780000000000001,0.5893333333333334,37.34666666666667,0.6709999999999999,0.4110000000000002,,14.0,9.34666666666667,4.68,0.36766666666666664,14.666666666666666,0.5543357231412509,0.7036266666666666
2017-04-08,2017,hofstra,11.0,delaware,9.0,hofstra,6.78,5.73,4.0,5.36,0.913,0.859,0.51,0.487,26.0,27.55,0.732,0.674,0.484,0.367,,,11.56,11.55,12.78,11.36,7.78,9.64,3.78,1.91,0.347,0.3,10.22,11.82,0.61386,0.52992,0.6215953307392996,0.540952380952381,9,11,61.02,36.0,8.217,4.59,234.0,6.588,4.356,,104.04,70.02,34.019999999999996,3.1229999999999998,91.98,5.594357976653697,5.5247399999999995,63.03,58.96,9.449,5.357,303.05,7.414000000000001,4.037,,127.05000000000001,106.04,21.009999999999998,3.3,130.02,5.9504761904761905,5.82912,6.340000000000001,4.0,0.8889999999999999,0.5579999999999999,22.0,0.64,0.5519999999999999,,10.020000000000001,7.0,2.9999999999999987,0.347,10.0,0.6428812303131372,0.5325199999999999,5.996666666666667,4.32,0.8243333333333333,0.4336666666666667,22.670000000000005,0.8366666666666669,0.3456666666666666,,10.350000000000003,8.333333333333334,1.9899999999999995,0.292,12.673333333333337,0.6180456922653453,0.6948266666666666
2017-04-08,2017,fairfield,12.0,drexel,13.0,drexel,3.9,5.0,5.9,6.56,0.875,0.816,0.523,0.358,27.2,25.0,0.619,0.594,0.286,0.393,,,7.9,9.44,11.5,11.89,10.5,11.11,-2.6,-1.67,0.219,0.316,12.0,14.56,0.4909,0.48068,0.5227272727272727,0.5169565217391304,10,8,39.0,59.0,8.75,5.23,272.0,6.1899999999999995,2.86,,79.0,105.0,-26.0,2.19,120.0,5.227272727272727,4.909,40.0,52.48,6.528,2.864,200.0,4.752,3.144,,75.52,88.88,-13.36,2.528,116.48,4.135652173913043,3.84544,4.343333333333334,6.996666666666667,0.8656666666666665,0.6956666666666668,28.99666666666667,0.5069999999999997,0.461,,9.323333333333332,11.339999999999998,-1.9933333333333334,0.24,11.323333333333332,0.45738510492608847,0.43147,4.166666666666667,7.076666666666665,0.8259999999999996,0.3196666666666666,19.166666666666668,0.7989999999999999,0.38133333333333336,,7.673333333333332,3.376666666666665,4.296666666666667,0.3076666666666667,16.743333333333336,0.7214994425863992,0.57363
2017-04-08,2017,massachusetts,8.0,towson,11.0,towson,5.44,4.38,7.78,7.13,0.91,0.837,0.546,0.567,26.33,28.88,0.609,0.667,0.417,0.188,,,8.33,9.25,11.22,8.38,9.78,8.13,-1.44,1.13,0.234,0.253,12.22,13.13,0.55474,0.57965,0.5342857142857144,0.5075711689884919,8,7,43.52,62.24,7.28,4.368,210.64,4.872,3.336,,66.64,78.24,-11.52,1.872,97.76,4.274285714285715,4.43792,30.66,49.91,5.859,3.9689999999999994,202.16,4.6690000000000005,1.316,,64.75,56.910000000000004,7.909999999999999,1.771,91.91000000000001,3.552998182919443,4.05755,7.290000000000002,9.363333333333335,0.9666666666666668,0.6676666666666669,35.49666666666666,0.3423333333333332,0.2236666666666666,,9.713333333333333,8.863333333333332,0.8766666666666669,0.23900000000000002,13.420000000000002,0.5350206291903045,0.6188233333333333,4.22,7.969999999999999,0.8516666666666667,0.40166666666666656,23.72,0.6670000000000001,0.07466666666666666,,8.583333333333334,8.303333333333335,0.30333333333333307,0.2316666666666666,8.63666666666667,0.5176660609731476,0.7233433333333332
2017-04-08,2017,sacred heart,7.0,bryant,13.0,bryant,5.89,6.45,10.78,7.45,0.894,0.844,0.461,0.561,29.56,27.36,0.744,0.708,0.308,0.5,,,11.0,10.0,10.89,9.73,9.0,8.09,2.0,1.91,0.277,0.286,15.33,15.55,0.50799,0.46758,0.5475113122171946,0.5460157126823794,9,11,53.01,97.02,8.046,4.149,266.03999999999996,6.696,2.772,,99.0,81.0,18.0,2.4930000000000003,137.97,4.927601809954751,4.571910000000001,70.95,81.95,9.283999999999999,6.171,300.96,7.787999999999999,5.5,,110.0,88.99,21.009999999999998,3.146,171.05,6.006172839506173,5.14338,6.009999999999998,11.339999999999998,0.9139999999999997,0.529,31.339999999999986,0.7939999999999999,0.284,,10.0,8.0,2.0,0.19700000000000006,14.65,0.5546798800025199,0.5142500000000002,3.970000000000001,7.983333333333334,0.8359999999999997,0.6543333333333333,26.639999999999997,0.7293333333333333,0.25200000000000006,,6.986666666666665,4.649999999999996,2.336666666666666,0.20599999999999996,15.336666666666668,0.6096310551792529,0.5278999999999998
2017-04-08,2017,hartford,9.0,binghamton,10.0,binghamton,7.11,6.56,5.22,6.22,0.871,0.923,0.588,0.52,28.11,25.22,0.656,0.75,0.5,0.379,,,10.89,11.33,9.56,9.22,10.67,7.44,0.22,3.89,0.304,0.346,12.33,11.78,0.43787,0.53265,0.4725654967869501,0.553421368547419,8,9,56.88,41.76,6.968,4.704,224.88,5.248,4.0,,87.12,85.36,1.76,2.432,98.64,3.7805239742956007,3.50296,59.04,55.98,8.307,4.68,226.98,6.75,3.411,,101.97,66.96000000000001,35.01,3.114,106.02,4.98079231692677,4.79385,7.626666666666668,4.253333333333333,0.8293333333333331,0.5129999999999999,23.959999999999997,0.8610000000000001,0.8333333333333334,,10.706666666666669,10.12,0.5866666666666667,0.3256666666666667,12.546666666666667,0.5483691025429781,0.5178366666666666,6.340000000000001,8.659999999999998,0.9470000000000001,0.5599999999999999,24.659999999999997,0.7959999999999999,0.359,,10.99,6.660000000000001,4.329999999999999,0.3380000000000001,13.339999999999998,0.5302641056422569,0.5327899999999999
2017-04-08,2017,hobart,8.0,saint joseph's,7.0,hobart,5.9,3.7,5.2,5.9,0.861,0.827,0.502,0.533,24.6,26.8,0.548,0.548,0.188,0.25,,,11.8,7.7,11.1,11.6,12.6,10.3,-0.8,-2.6,0.293,0.233,12.5,13.8,0.49002,0.4479,0.46835443037974683,0.5296803652968036,8,10,47.2,41.6,6.888,4.016,196.8,4.384,1.504,,94.4,100.8,-6.4,2.344,100.0,3.7468354430379747,3.92016,37.0,59.0,8.27,5.33,268.0,5.48,2.5,,77.0,103.0,-26.0,2.33,138.0,5.296803652968036,4.479,7.6833333333333345,7.2,0.9260000000000002,0.5553333333333335,29.216666666666672,0.5730000000000001,0.18800000000000003,,13.41666666666667,9.983333333333334,3.416666666666666,0.27299999999999996,12.783333333333333,0.502288869273923,0.6034366666666666,3.0,6.996666666666667,0.834,0.5236666666666666,25.656666666666666,0.5083333333333336,0.36666666666666664,,7.0,11.0,-4.0,0.19566666666666674,13.660000000000002,0.49966648145595105,0.37759666666666664
2017-04-08,2017,monmouth,10.0,njit,5.0,monmouth,4.6,2.8,8.5,5.7,0.896,0.773,0.471,0.193,24.7,22.0,0.56,,0.306,0.419,,,9.4,6.6,10.8,11.9,7.8,14.0,1.6,-8.8,0.26,0.259,11.0,16.2,0.50182,0.36256,0.5806451612903226,0.4594594594594595,9,10,41.4,76.5,8.064,4.239,222.29999999999998,5.040000000000001,2.754,,84.60000000000001,70.2,14.4,2.34,99.0,5.225806451612904,4.516380000000001,28.0,57.0,7.73,1.9300000000000002,220.0,,4.1899999999999995,,66.0,140.0,-88.0,2.59,162.0,4.594594594594595,3.6256,5.5200000000000005,7.219999999999999,0.9339999999999998,0.4969999999999999,25.519999999999992,0.6800000000000003,0.31800000000000006,,10.780000000000001,6.540000000000002,4.22,0.284,8.719999999999999,0.6567482890798666,0.5278800000000002,2.8000000000000007,7.006666666666668,0.773,0.19300000000000006,24.333333333333332,,0.3349999999999998,,6.600000000000001,11.339999999999998,-8.799999999999997,0.20533333333333337,17.99666666666667,0.4860825097791923,0.41473333333333323
2017-04-08,2017,wagner,6.0,robert morris,17.0,robert morris,4.09,6.6,7.0,9.0,0.847,0.892,0.395,0.437,25.91,29.4,0.71,0.613,0.222,0.45,,,7.73,11.3,13.09,13.5,8.73,9.6,-1.0,1.7,0.235,0.301,17.18,15.1,0.37077,0.52393,0.5999083409715857,0.5844155844155844,10,10,40.9,70.0,8.469999999999999,3.95,259.1,7.1,2.22,,77.30000000000001,87.30000000000001,-10.0,2.3499999999999996,171.8,5.999083409715857,3.7077,66.0,90.0,8.92,4.37,294.0,6.13,4.5,,113.0,96.0,17.0,3.01,151.0,5.844155844155844,5.2393,2.8300000000000005,7.280000000000001,0.800333333333333,0.34833333333333344,23.366666666666674,0.7146666666666667,0.2126666666666667,,5.933333333333337,9.546666666666669,-3.6366666666666667,0.21866666666666656,18.183333333333337,0.5649518228464624,0.16352333333333333,6.343333333333334,11.659999999999998,0.8849999999999998,0.4906666666666668,31.99,0.45199999999999996,0.24466666666666667,,12.0,8.666666666666666,3.3333333333333335,0.329,17.666666666666668,0.6485393206704679,0.6438166666666666
2017-04-08,2017,marist,9.0,quinnipiac,8.0,marist,5.4,5.88,5.1,6.63,0.868,0.863,0.527,0.541,23.3,30.5,0.722,0.52,0.381,0.448,,,7.3,10.0,12.6,10.75,8.1,12.13,-0.8,-2.13,0.273,0.244,13.9,17.13,0.50383,0.36663,0.6086956521739131,0.4698426573426573,9,7,48.6,45.9,7.812,4.743,209.70000000000002,6.497999999999999,3.4290000000000003,,65.7,72.89999999999999,-7.2,2.4570000000000003,125.10000000000001,5.478260869565218,4.53447,41.16,46.41,6.041,3.7870000000000004,213.5,3.64,3.136,,70.0,84.91000000000001,-14.91,1.708,119.91,3.288898601398601,2.5664100000000003,3.340000000000001,5.579999999999998,0.882,0.4669999999999999,22.180000000000007,0.6479999999999997,0.1430000000000001,,4.760000000000001,7.159999999999997,-2.4,0.1590000000000001,12.560000000000002,0.6891282455449015,0.3616699999999999,3.719999999999999,5.469999999999999,0.9390000000000001,0.5090000000000002,28.833333333333332,0.928,0.4226666666666667,,8.0,6.970000000000003,1.03,0.19599999999999995,12.969999999999999,0.531734969234969,0.4823900000000001
2017-04-08,2017,manhattan,6.0,siena,16.0,siena,5.5,5.7,4.3,7.3,0.839,0.794,0.485,0.384,30.4,27.2,0.704,0.5,0.311,0.516,,,9.4,10.3,13.5,8.6,14.2,16.25,-4.8,-5.4,0.281,0.268,17.9,11.5,0.36218,0.33076,0.48736462093862815,0.3460764587525151,10,9,55.0,43.0,8.39,4.85,304.0,7.039999999999999,3.11,,94.0,142.0,-48.0,2.8100000000000005,179.0,4.873646209386282,3.6218,51.300000000000004,65.7,7.146000000000001,3.456,244.79999999999998,4.5,4.644,,92.7,146.25,-48.6,2.412,103.5,3.114688128772636,2.97684,5.336666666666666,4.673333333333335,0.8576666666666668,0.3799999999999999,29.676666666666666,0.5056666666666662,0.472,,9.00333333333333,12.660000000000002,-3.6566666666666663,0.2903333333333335,15.660000000000005,0.4750096446218753,0.2710166666666667,4.820000000000003,7.040000000000002,0.8300000000000001,0.35199999999999987,24.74,0.576,0.548,,8.9,16.17,-5.62,0.26199999999999996,9.079999999999998,0.3118806663279128,0.3221400000000001
2017-04-08,2017,canisius,11.0,detroit mercy,5.0,canisius,6.78,5.27,5.89,6.91,0.863,0.861,0.453,0.506,27.56,26.64,0.609,0.571,0.462,0.319,,,10.89,9.36,9.89,11.09,11.89,10.82,-1.0,-1.45,0.33,0.281,13.78,16.09,0.47458,0.42146,0.4540863177226814,0.5061615700593336,8,8,54.24,47.12,6.904,3.624,220.48,4.872,3.696,,87.12,95.12,-8.0,2.64,110.24,3.632690541781451,3.79664,42.16,55.28,6.888,4.048,213.12,4.568,2.552,,74.88,86.56,-11.6,2.248,128.72,4.049292560474669,3.37168,5.296666666666667,7.089999999999999,0.8263333333333334,0.4130000000000001,27.110000000000003,0.569,0.23200000000000007,,10.156666666666668,13.373333333333335,-3.216666666666667,0.29000000000000004,13.696666666666664,0.424371003125422,0.4482966666666666,4.536666666666665,8.66,0.8326666666666668,0.541,29.14,0.5609999999999999,0.27899999999999997,,9.959999999999999,9.086666666666668,0.8999999999999998,0.3043333333333334,17.423333333333336,0.5531092572474248,0.4656266666666667
2017-04-10,2017,vmi,8.0,monmouth,15.0,monmouth,5.6,4.55,6.9,8.73,0.87,0.901,0.454,0.489,27.2,25.91,0.808,0.593,0.222,0.306,,,8.4,9.45,12.4,10.45,12.2,7.55,-3.8,1.91,0.228,0.256,14.0,10.91,0.33662,0.49012,0.5040650406504065,0.5805555555555555,10,10,56.0,69.0,8.7,4.54,272.0,8.08,2.22,,84.0,122.0,-38.0,2.2800000000000002,140.0,5.0406504065040645,3.3661999999999996,45.5,87.30000000000001,9.01,4.89,259.1,5.93,3.06,,94.5,75.5,19.099999999999998,2.56,109.1,5.805555555555555,4.9012,8.656666666666666,7.343333333333334,0.9096666666666664,0.49833333333333335,24.656666666666666,0.8033333333333333,0.3503333333333334,,10.663333333333334,10.333333333333334,0.3300000000000007,0.22333333333333338,15.330000000000004,0.4945691795169937,0.23838666666666652,3.1966666666666677,9.266666666666671,0.9476666666666667,0.5099999999999999,28.033333333333342,0.8099999999999999,0.18700000000000014,,8.75,5.333333333333333,3.4499999999999993,0.23033333333333328,9.229999999999995,0.6664430130613704,0.5226000000000001
2017-04-11,2017,princeton,10.0,lehigh,15.0,lehigh,9.2,6.7,7.7,8.5,0.793,0.851,0.452,0.509,32.7,31.0,0.794,0.7,0.486,0.417,,,15.0,9.8,13.7,10.6,10.6,9.8,4.4,0.0,0.386,0.291,13.1,14.6,0.58806,0.44964,0.5637860082304527,0.5196078431372549,8,10,73.6,61.6,6.344,3.616,261.6,6.352,3.888,,120.0,84.8,35.2,3.088,104.8,4.510288065843621,4.70448,67.0,85.0,8.51,5.09,310.0,7.0,4.17,,98.0,98.0,0.0,2.9099999999999997,146.0,5.196078431372549,4.4963999999999995,9.299999999999997,7.916666666666667,0.828,0.38533333333333336,34.58333333333334,0.9506666666666668,0.4626666666666666,,15.483333333333329,12.08333333333333,3.400000000000001,0.3960000000000001,12.549999999999997,0.5537911925282902,0.6012266666666667,5.673333333333335,8.336666666666666,0.8883333333333333,0.2593333333333332,22.99666666666667,0.49933333333333313,0.45666666666666655,,8.00333333333333,11.339999999999998,-3.3366666666666664,0.2979999999999999,13.993333333333334,0.5385467210222767,0.5005066666666664
2017-04-11,2017,njit,11.0,lafayette,12.0,lafayette,2.8,4.18,5.82,7.09,0.773,0.843,0.193,0.477,21.55,28.0,,0.6,0.394,0.279,,,6.6,7.0,12.36,10.45,13.64,13.0,-8.8,-6.0,0.256,0.224,16.09,15.36,0.36823,0.43037,0.47538461538461535,0.4456289978678038,11,11,30.799999999999997,64.02000000000001,8.503,2.123,237.05,,4.3340000000000005,,72.6,150.04000000000002,-96.80000000000001,2.816,176.99,5.229230769230769,4.05053,45.98,77.99,9.273,5.247,308.0,6.6,3.0690000000000004,,77.0,143.0,-66.0,2.464,168.95999999999998,4.901918976545842,4.73407,2.7999999999999994,6.993333333333337,0.773,0.19300000000000006,22.670000000000005,,0.22333333333333347,,6.599999999999999,11.346666666666673,-8.800000000000002,0.20533333333333323,17.663333333333338,0.5284067515911302,0.3204966666666668,4.313333333333333,8.983333333333333,0.8536666666666667,0.5116666666666666,27.333333333333332,0.8133333333333331,0.20700000000000016,,7.0,11.0,-4.0,0.25333333333333335,17.306666666666658,0.4194515400367327,0.3710633333333333
2017-04-11,2017,umass lowell,8.0,dartmouth,14.0,dartmouth,5.92,3.67,7.5,10.22,0.793,0.79,0.432,0.388,34.75,30.0,0.564,0.733,0.267,0.158,,,9.08,7.0,11.17,11.89,12.08,12.56,-3.0,-5.56,0.247,0.205,15.08,18.14,0.40325,0.37088,0.4804301075268817,0.4862985685071574,11,9,65.12,82.5,8.723,4.752,382.25,6.204,2.9370000000000003,,99.88,132.88,-33.0,2.717,165.88,5.284731182795698,4.43575,33.03,91.98,7.11,3.492,270.0,6.5969999999999995,1.422,,63.0,113.04,-50.04,1.845,163.26,4.376687116564416,3.33792,5.120000000000002,7.340000000000001,0.7610000000000001,0.3759999999999999,32.29666666666666,0.3879999999999999,0.20033333333333347,,9.293333333333331,14.079999999999998,-4.786666666666666,0.2336666666666667,15.293333333333331,0.4413156230234027,0.40991666666666654,3.35,9.0,0.6680000000000001,0.38199999999999995,25.0,1.023,0.08999999999999993,,6.0,13.680000000000001,-7.68,0.205,19.419999999999998,0.47283740387381695,0.36012000000000005
2017-04-11,2017,robert morris,7.0,virginia,13.0,virginia,7.36,9.75,9.55,9.33,0.901,0.895,0.434,0.532,30.36,44.33,0.649,0.622,0.36,0.5,,,11.82,15.08,12.73,10.75,9.27,12.92,2.55,2.17,0.304,0.321,14.64,15.17,0.5213,0.54697,0.5786363636363636,0.45416138572032105,11,10,80.96000000000001,105.05000000000001,9.911,4.774,333.96,7.139,3.96,,130.02,101.97,28.049999999999997,3.344,161.04000000000002,6.365,5.7343,97.5,93.3,8.95,5.32,443.29999999999995,6.22,5.0,,150.8,129.2,21.7,3.21,151.7,4.5416138572032105,5.4697,8.320000000000002,14.003333333333337,0.9223333333333331,0.5139999999999999,36.65333333333333,0.601,0.07466666666666659,,13.660000000000002,7.643333333333331,6.016666666666666,0.3013333333333333,14.666666666666671,0.600009416195857,0.5747933333333334,8.279999999999996,8.629999999999995,0.925333333333333,0.4456666666666669,34.59999999999999,0.5169999999999998,0.3879999999999999,,14.100000000000003,11.566666666666663,2.5666666666666664,0.32333333333333325,12.066666666666663,0.5501031697923745,0.5551366666666665
2017-04-11,2017,cornell,8.0,syracuse,15.0,syracuse,6.33,9.0,8.33,6.0,0.899,0.908,0.417,0.53,32.78,28.33,0.647,0.759,0.28,0.6,,,11.11,12.56,11.44,10.11,13.22,9.89,-2.11,2.67,0.296,0.329,15.33,10.67,0.47837,0.6687,0.4639091646390916,0.5055,9,8,56.97,74.97,8.091000000000001,3.7529999999999997,295.02,5.823,2.5200000000000005,,99.99,118.98,-18.99,2.6639999999999997,137.97,4.175182481751825,4.3053300000000005,72.0,48.0,7.264,4.24,226.64,6.072,4.8,,100.48,79.12,21.36,2.632,85.36,4.044,5.3496,8.33,11.65,0.9010000000000004,0.543,37.68,0.5570000000000004,0.1260000000000002,,11.669999999999996,8.0,3.6700000000000004,0.292,18.33,0.48988913110076426,0.5044900000000002,8.0,4.333333333333333,0.8879999999999999,0.4583333333333335,22.213333333333328,0.8473333333333334,0.8216666666666667,,11.826666666666668,9.706666666666669,2.1199999999999997,0.35900000000000004,10.786666666666667,0.4983267973856207,0.7941499999999998
2017-04-11,2017,marquette,10.0,notre dame,11.0,notre dame,4.11,6.13,5.56,7.0,0.87,0.877,0.528,0.47,26.33,25.5,0.767,0.438,0.355,0.29,,,10.11,11.0,11.11,9.63,7.78,8.63,2.33,2.38,0.29,0.291,11.78,11.88,0.53708,0.6449,0.5881418740074112,0.5273822562979189,9,7,36.99,50.04,7.83,4.752000000000001,236.96999999999997,6.9030000000000005,3.195,,90.99,70.02,20.97,2.61,106.02,5.293276866066702,4.83372,42.91,49.0,6.139,3.29,178.5,3.066,2.03,,77.0,60.410000000000004,16.66,2.037,83.16000000000001,3.691675794085432,4.5143,3.9900000000000007,4.340000000000001,0.9,0.6080000000000002,25.329999999999995,0.7230000000000002,0.39899999999999985,,10.99,8.339999999999998,2.65,0.296,9.679999999999998,0.4676605024723042,0.50794,5.503333333333333,5.666666666666667,0.8756666666666667,0.47000000000000003,23.5,0.44999999999999996,0.2953333333333333,,10.200000000000001,9.47,0.7533333333333333,0.2843333333333333,10.920000000000003,0.5032858707557502,0.6523800000000001
