Date,Year,Team 1,Score 1,Team 2,Score 2,Winner,Team 1 Assists per Game,Team 2 Assists per Game,Team 1 Caused Turnovers per Game,Team 2 Caused Turnovers per Game,Team 1 Clearing Percent,Team 2 Clearing Percent,Team 1 Faceoff Percent,Team 2 Faceoff Percent,Team 1 Groundballs per Game,Team 2 Groundballs per Game,Team 1 Man Down Defense Percent,Team 2 Man Down Defense Percent,Team 1 Man Up Offense Percent,Team 2 Man Up Offense Percent,Team 1 Opponent Clear Percent,Team 2 Opponent Clear Percent,Team 1 Goals per Game,Team 2 Goals per Game,Team 1 Saves per Game,Team 2 Saves per Game,Team 1 Goals Allowed per Game,Team 2 Goals Allowed per Game,Team 1 Average Margin,Team 2 Average Margin,Team 1 Shot Percent,Team 2 Shot Percent,Team 1 Turnovers per Game,Team 2 Turnovers per Game
2019-03-09,2019,vermont,11.0,hobart,17.0,hobart,7.4,11.75,6.8,7.75,0.754,0.841,0.504,0.695,31.8,40.5,0.632,0.538,0.444,0.438,,,12.4,18.75,10.4,11.5,9.6,12.5,2.8,6.25,0.325,0.338,18.2,18.25
2019-03-09,2019,notre dame,10.0,denver,7.0,notre dame,6.0,7.8,10.67,10.4,0.924,0.757,0.481,0.545,30.0,34.4,0.667,0.714,0.444,0.15,,,13.67,12.6,9.0,9.2,9.33,7.6,4.33,5.0,0.366,0.309,17.0,16.0
2019-03-09,2019,quinnipiac,7.0,wagner,6.0,quinnipiac,6.25,4.5,5.25,10.17,0.683,0.762,0.475,0.466,27.0,28.83,0.474,0.889,0.25,0.333,,,10.75,8.0,15.5,11.67,16.5,10.83,-5.75,-2.83,0.336,0.235,22.75,19.33
2019-03-09,2019,navy,12.0,lafayette,7.0,navy,8.0,5.5,6.8,8.33,0.78,0.825,0.423,0.356,33.0,30.67,0.615,0.778,0.357,0.154,,,11.6,11.0,12.8,9.17,11.0,10.5,0.6,0.5,0.278,0.306,18.2,14.67
2019-03-09,2019,ohio st.,14.0,hofstra,8.0,ohio st.,6.8,3.8,5.2,6.8,0.878,0.853,0.627,0.529,34.0,28.0,0.609,0.8,0.286,0.375,,,13.8,8.6,12.6,10.0,9.6,9.6,4.2,-1.0,0.381,0.244,16.2,16.0
2019-03-09,2019,princeton,8.0,rutgers,9.0,rutgers,11.0,5.0,9.75,6.6,0.819,0.864,0.529,0.532,39.75,33.6,0.727,0.846,0.375,0.167,,,16.25,11.4,11.75,13.8,11.0,10.0,5.25,1.4,0.319,0.274,13.75,15.0
2019-03-09,2019,maryland,14.0,ualbany,9.0,maryland,7.5,6.5,4.83,7.0,0.853,0.852,0.619,0.459,31.0,30.5,0.632,0.438,0.214,0.294,,,12.0,10.5,10.83,13.5,9.33,14.0,2.67,-3.5,0.31,0.256,15.17,17.0
2019-03-09,2019,binghamton,6.0,delaware,10.0,delaware,6.0,5.17,10.0,9.67,0.791,0.879,0.361,0.447,28.0,29.33,0.722,0.75,0.143,0.3,,,9.67,10.67,16.33,14.67,15.0,8.0,-5.33,2.67,0.261,0.235,18.0,15.83
2019-03-09,2019,holy cross,7.0,bucknell,10.0,bucknell,5.2,5.0,11.0,8.2,0.868,0.902,0.587,0.492,36.0,31.6,0.722,0.75,0.231,0.412,,,10.0,9.4,11.2,11.8,11.4,12.0,-1.4,-2.6,0.229,0.258,20.8,15.6
2019-03-09,2019,bryant,8.0,stony brook,9.0,stony brook,3.6,6.0,7.2,7.8,0.748,0.793,0.495,0.434,32.2,27.4,0.733,0.762,0.222,0.333,,,8.0,8.8,14.0,10.0,9.0,12.0,-1.0,-3.2,0.26,0.277,22.6,18.8
2019-03-09,2019,georgetown,19.0,fairfield,6.0,georgetown,8.67,8.75,8.67,7.0,0.874,0.714,0.452,0.543,27.83,33.5,0.647,0.5,0.36,0.368,,,13.33,11.75,11.33,11.5,9.67,13.75,3.67,-2.0,0.319,0.266,14.0,17.5
2019-03-10,2019,villanova,10.0,drexel,15.0,drexel,6.4,6.0,7.4,9.0,0.918,0.808,0.508,0.529,30.2,35.8,0.615,0.7,0.3,0.5,,,11.2,13.0,10.2,7.2,11.6,14.0,-0.4,-1.0,0.245,0.311,13.4,18.6
2019-03-10,2019,yale,17.0,michigan,11.0,yale,9.0,8.75,7.67,10.5,0.788,0.783,0.744,0.541,36.0,33.0,0.364,0.75,0.417,0.294,,,12.0,13.25,7.33,11.25,11.67,11.5,0.33,1.75,0.271,0.333,17.33,18.0
2019-03-10,2019,penn st.,24.0,jacksonville,11.0,penn st.,11.33,6.17,8.17,12.17,0.877,0.846,0.547,0.399,33.5,27.0,0.545,0.613,0.579,0.379,,,18.0,11.67,13.33,10.0,10.33,12.67,7.67,-1.0,0.422,0.315,15.5,17.17
2019-03-10,2019,saint joseph's,6.0,penn,13.0,penn,6.17,5.25,8.5,7.0,0.8,0.882,0.628,0.558,32.67,29.75,0.667,0.5,0.276,0.3,,,10.33,11.5,11.17,11.5,10.17,14.0,0.17,-2.5,0.263,0.257,19.33,14.5
2019-03-10,2019,towson,11.0,cornell,18.0,cornell,7.4,9.25,8.8,12.25,0.82,0.824,0.742,0.353,39.0,30.75,0.583,0.7,0.353,0.455,,,14.0,15.75,12.4,11.25,9.2,15.0,4.8,0.75,0.32,0.414,18.2,17.5
2019-03-10,2019,brown,13.0,virginia,14.0,virginia,7.67,7.4,8.67,10.4,0.817,0.791,0.547,0.482,37.33,37.0,0.722,0.667,0.389,0.217,,,15.0,12.0,8.33,13.0,11.0,12.8,4.0,-0.8,0.333,0.282,19.33,14.8
2019-03-12,2019,cleveland state,10.0,lafayette,9.0,cleveland state,,5.14,,8.14,,0.8,,0.351,,30.29,,0.75,,0.167,,,,10.43,,9.71,,10.71,,-0.29,,0.285,,14.43
2019-03-12,2019,army west point,15.0,binghamton,6.0,army west point,6.17,5.25,8.67,11.25,0.858,0.787,0.351,0.35,33.17,26.25,0.895,0.7,0.273,0.2,,,10.0,8.75,13.5,15.75,8.33,13.75,1.67,-5.0,0.258,0.25,17.0,18.75
2019-03-12,2019,bucknell,7.0,north carolina,12.0,north carolina,5.5,7.67,10.0,10.0,0.897,0.858,0.497,0.572,33.17,38.17,0.8,0.667,0.421,0.385,,,9.5,14.5,11.0,9.33,11.17,9.67,-1.67,4.83,0.263,0.314,16.17,16.67
2019-03-12,2019,utah,11.0,duke,17.0,duke,4.71,7.14,6.86,7.86,0.819,0.808,0.362,0.58,25.14,33.57,0.625,0.7,0.333,0.222,,,8.43,13.0,13.43,9.0,11.43,8.57,-3.0,4.43,0.272,0.326,19.57,17.14
2019-03-12,2019,st. bonaventure,10.0,siena,17.0,siena,3.5,9.0,7.75,8.75,0.741,0.857,0.229,0.352,26.25,30.25,0.722,0.467,0.235,0.429,,,6.75,15.25,16.0,10.5,14.75,17.0,-8.0,-1.75,0.255,0.347,23.5,12.0
2019-03-12,2019,lehigh,13.0,rutgers,10.0,lehigh,4.67,5.17,10.33,6.5,0.877,0.881,0.698,0.514,40.67,32.17,0.789,0.875,0.217,0.2,,,9.33,11.0,9.83,14.5,8.83,9.67,0.5,1.33,0.243,0.269,17.17,15.33
2019-03-12,2019,fairfield,12.0,bryant,11.0,fairfield,7.8,3.67,6.4,7.17,0.708,0.758,0.545,0.545,31.6,31.83,0.462,0.722,0.318,0.182,,,10.6,8.0,11.0,14.17,14.8,9.0,-4.2,-1.0,0.26,0.25,17.8,20.67
2019-03-12,2019,st. john's,7.0,hofstra,9.0,hofstra,7.2,3.33,7.0,6.33,0.859,0.853,0.481,0.531,31.2,28.0,0.5,0.76,0.353,0.318,,,12.8,8.5,10.8,9.83,14.4,10.33,-1.6,-1.83,0.312,0.236,13.6,15.33
2019-03-12,2019,umass lowell,4.0,massachusetts,14.0,massachusetts,7.0,7.17,10.8,10.67,0.792,0.868,0.667,0.617,35.0,32.83,0.684,0.577,0.375,0.455,,,11.0,12.33,8.8,13.5,10.2,9.83,0.8,2.5,0.271,0.265,23.0,15.0
2019-03-12,2019,mount st. mary's,4.0,johns hopkins,11.0,johns hopkins,4.86,7.2,9.0,7.4,0.788,0.781,0.551,0.475,32.86,30.2,0.643,0.688,0.241,0.389,,,9.86,11.0,11.0,12.8,10.57,14.2,-0.71,-3.2,0.245,0.275,18.86,16.6
2019-03-12,2019,marquette,17.0,robert morris,15.0,marquette,6.6,6.8,9.6,10.4,0.796,0.867,0.434,0.536,27.8,33.2,0.778,0.462,0.375,0.538,,,11.0,11.8,9.4,12.2,11.2,15.2,-0.2,-3.4,0.278,0.232,15.0,16.4
2019-03-15,2019,utah,9.0,fairfield,10.0,fairfield,5.13,8.33,6.75,7.33,0.82,0.737,0.32,0.5,24.13,31.0,0.577,0.467,0.333,0.318,,,8.75,10.83,13.38,10.5,12.13,14.17,-3.38,-3.33,0.286,0.264,18.38,16.67
2019-03-15,2019,high point,18.0,vmi,9.0,high point,6.86,5.0,10.57,11.6,0.851,0.885,0.55,0.508,40.57,34.0,0.769,0.643,0.263,,,,14.57,10.2,13.43,15.2,10.57,11.4,4.0,-1.2,0.329,0.208,21.71,18.0
2019-03-16,2019,binghamton,7.0,dartmouth,11.0,dartmouth,4.4,4.5,10.6,10.0,0.763,0.774,0.391,0.381,26.2,32.5,0.727,0.692,0.2,0.125,,,8.2,8.0,15.0,12.5,14.0,9.5,-5.8,-1.5,0.248,0.244,19.8,21.5
2019-03-16,2019,air force,20.0,mercer,8.0,air force,6.5,5.17,8.67,7.67,0.825,0.842,0.55,0.48,32.5,28.33,0.733,0.75,0.308,0.375,,,10.67,8.83,8.17,15.17,7.83,12.83,2.83,-4.0,0.272,0.244,19.67,19.83
2019-03-16,2019,michigan,13.0,marquette,16.0,marquette,8.2,7.17,10.0,8.33,0.777,0.802,0.451,0.442,31.0,28.5,0.769,0.81,0.4,0.35,,,12.8,12.0,13.6,9.83,12.6,11.83,0.2,0.17,0.328,0.301,16.4,14.67
2019-03-16,2019,notre dame,11.0,virginia,13.0,virginia,6.25,8.17,9.5,11.33,0.893,0.796,0.479,0.494,27.0,40.67,0.583,0.724,0.333,0.259,,,12.75,12.33,9.25,14.0,8.75,12.83,4.0,-0.5,0.345,0.289,17.5,16.17
2019-03-16,2019,villanova,7.0,maryland,17.0,maryland,5.83,8.0,8.33,4.57,0.924,0.847,0.506,0.621,30.33,31.14,0.65,0.65,0.353,0.263,,,11.0,12.29,9.83,10.57,12.17,9.29,-1.17,3.0,0.244,0.319,13.67,15.43
2019-03-16,2019,drexel,10.0,georgetown,13.0,georgetown,6.0,9.29,9.5,9.29,0.823,0.891,0.525,0.452,36.17,30.57,0.696,0.7,0.486,0.393,,,13.33,14.14,8.17,10.86,13.33,9.14,0.0,5.0,0.332,0.328,18.67,13.57
2019-03-16,2019,army west point,7.0,holy cross,6.0,army west point,6.71,5.33,8.43,11.83,0.853,0.813,0.365,0.578,33.0,34.83,0.895,0.75,0.231,0.188,,,10.71,9.5,12.86,11.5,8.0,11.17,2.71,-1.67,0.27,0.231,17.14,21.0
2019-03-16,2019,furman,8.0,richmond,13.0,richmond,7.0,8.0,9.86,8.43,0.801,0.865,0.43,0.364,32.14,25.86,0.517,0.792,0.278,0.5,,,11.57,11.86,12.14,13.29,13.0,9.71,-1.43,2.14,0.312,0.318,17.43,16.14
2019-03-16,2019,njit,11.0,saint joseph's,15.0,saint joseph's,4.29,5.71,6.71,8.14,0.804,0.81,0.415,0.578,26.71,31.29,0.647,0.609,0.28,0.273,,,8.43,9.71,16.43,11.0,13.71,10.57,-5.29,-0.86,0.253,0.253,20.71,19.29
2019-03-16,2019,stony brook,11.0,hartford,12.0,hartford,6.0,6.5,7.83,7.67,0.813,0.839,0.401,0.401,26.67,29.0,0.8,0.576,0.333,0.522,,,8.83,10.67,11.0,10.67,11.33,15.17,-2.5,-4.5,0.269,0.311,17.67,15.17
2019-03-16,2019,colgate,6.0,canisius,8.0,canisius,5.2,5.67,7.0,6.67,0.8,0.815,0.46,0.464,23.6,26.67,0.667,0.533,0.278,0.37,,,10.2,11.67,11.6,13.5,9.4,12.67,0.8,-1.0,0.279,0.321,16.0,19.83
2019-03-16,2019,manhattan,7.0,siena,14.0,siena,6.71,9.4,5.43,7.8,0.893,0.87,0.529,0.413,30.57,31.2,0.824,0.526,0.286,0.4,,,9.43,15.6,12.43,9.8,10.0,15.6,-0.57,0.0,0.267,0.345,17.57,12.4
2019-03-16,2019,robert morris,16.0,sacred heart,18.0,sacred heart,7.67,6.71,10.0,11.29,0.878,0.801,0.535,0.368,33.33,36.29,0.529,0.519,0.412,0.379,,,12.33,13.57,11.67,10.43,15.5,13.0,-3.17,0.57,0.251,0.3,16.0,17.86
2019-03-16,2019,vermont,12.0,umbc,11.0,vermont,6.5,5.8,6.17,9.2,0.781,0.771,0.469,0.358,31.0,26.0,0.652,0.6,0.4,0.278,,,12.17,11.4,11.67,9.4,10.83,14.8,1.33,-3.4,0.319,0.297,16.83,17.2
2019-03-16,2019,bucknell,9.0,boston u.,13.0,boston u.,5.0,8.57,10.14,10.86,0.862,0.797,0.503,0.562,32.14,34.86,0.722,0.75,0.391,0.52,,,9.14,11.71,11.43,12.14,11.29,9.29,-2.14,2.43,0.262,0.271,16.86,19.29
2019-03-16,2019,delaware,10.0,johns hopkins,12.0,johns hopkins,5.14,6.67,9.43,7.0,0.882,0.82,0.48,0.5,29.0,29.5,0.739,0.75,0.318,0.375,,,10.57,11.0,14.43,12.67,7.71,12.5,2.86,-1.5,0.236,0.272,17.0,16.5
2019-03-16,2019,jacksonville,11.0,bellarmine,8.0,jacksonville,6.14,4.83,12.14,7.33,0.83,0.826,0.371,0.348,27.71,25.33,0.543,0.647,0.364,0.455,,,11.57,8.83,10.0,15.83,14.29,13.17,-2.71,-4.33,0.316,0.261,16.71,19.17
2019-03-16,2019,wagner,7.0,hobart,13.0,hobart,4.29,12.0,10.71,6.8,0.765,0.843,0.46,0.686,27.43,40.6,0.833,0.6,0.32,0.4,,,7.71,18.4,11.29,11.2,10.29,12.2,-2.57,6.2,0.228,0.329,18.57,16.8
2019-03-16,2019,providence,11.0,hofstra,10.0,providence,6.67,3.29,7.0,6.29,0.803,0.859,0.472,0.557,29.17,29.29,0.75,0.69,0.263,0.375,,,10.83,8.57,12.17,10.57,9.17,9.86,1.67,-1.29,0.243,0.24,16.17,16.29
2019-03-16,2019,bryant,7.0,mount st. mary's,10.0,mount st. mary's,4.0,4.5,6.57,8.75,0.77,0.79,0.58,0.527,31.86,31.5,0.722,0.647,0.208,0.212,,,8.43,9.13,14.14,11.63,9.43,10.63,-1.0,-1.5,0.26,0.23,20.14,18.38
2019-03-16,2019,umass lowell,11.0,ualbany,17.0,albany,6.33,6.2,10.17,6.6,0.769,0.849,0.6,0.442,33.5,28.6,0.667,0.476,0.421,0.278,,,9.83,10.2,9.33,12.6,10.83,14.0,-1.0,-3.8,0.261,0.26,22.67,15.6
2019-03-16,2019,monmouth,7.0,marist,10.0,marist,3.2,4.0,9.2,5.8,0.811,0.705,0.53,0.696,29.0,33.6,0.778,0.643,,0.087,,,6.2,7.8,12.2,12.0,10.8,11.4,-4.6,-3.6,0.185,0.25,20.0,21.4
2019-03-16,2019,navy,5.0,loyola maryland,18.0,loyola (md.),8.17,7.67,6.5,6.0,0.789,0.8,0.461,0.497,33.33,32.67,0.647,0.765,0.375,0.435,,,11.67,14.0,13.33,14.5,10.33,11.17,1.33,2.83,0.276,0.378,17.83,17.17
2019-03-16,2019,harvard,14.0,brown,16.0,brown,7.4,7.75,9.6,8.75,0.821,0.771,0.377,0.522,30.2,39.25,0.722,0.682,0.391,0.304,,,11.0,14.5,15.6,10.0,11.2,11.75,-0.2,2.75,0.302,0.32,20.2,20.0
2019-03-16,2019,towson,10.0,duke,12.0,duke,7.33,7.38,8.33,7.25,0.787,0.815,0.756,0.629,40.17,35.0,0.615,0.696,0.321,0.3,,,13.5,13.5,11.67,8.75,10.67,8.88,2.83,4.63,0.308,0.332,19.0,17.0
2019-03-16,2019,detroit mercy,9.0,quinnipiac,12.0,quinnipiac,6.0,6.2,7.67,5.6,0.824,0.736,0.641,0.489,33.17,26.0,0.522,0.522,0.423,0.263,,,11.67,10.0,10.5,14.4,13.33,14.4,-1.67,-4.4,0.3,0.307,20.5,21.8
2019-03-16,2019,cornell,11.0,yale,16.0,yale,9.4,9.25,12.6,7.25,0.85,0.809,0.322,0.779,31.2,38.0,0.71,0.286,0.385,0.385,,,16.2,13.25,11.0,8.0,14.2,11.5,2.0,1.75,0.44,0.276,16.8,16.25
2019-03-16,2019,princeton,0.0,penn,0.0,penn,10.0,6.6,9.4,7.6,0.838,0.864,0.54,0.59,38.6,32.0,0.733,0.467,0.316,0.333,,,14.6,11.8,10.8,12.0,10.6,12.4,4.0,-0.6,0.292,0.265,14.4,15.4
2019-03-16,2019,rutgers,0.0,syracuse,0.0,syracuse,5.14,5.4,7.43,9.4,0.878,0.849,0.497,0.568,33.14,34.4,0.882,0.684,0.154,0.45,,,10.86,12.0,14.0,14.2,10.14,10.0,0.71,2.0,0.262,0.284,14.71,12.8
2019-03-17,2019,lafayette,7.0,lehigh,15.0,lehigh,5.0,4.57,8.63,9.71,0.797,0.882,0.33,0.679,29.88,40.0,0.739,0.818,0.188,0.208,,,10.25,9.86,9.38,10.86,10.63,9.0,-0.38,0.86,0.289,0.261,14.75,17.71
2019-03-17,2019,utah,2.0,massachusetts,16.0,massachusetts,5.11,7.57,7.22,10.57,0.822,0.882,0.31,0.636,24.67,34.57,0.607,0.552,0.367,0.444,,,8.78,12.57,13.67,12.86,11.89,9.0,-3.11,3.57,0.285,0.272,18.22,15.57
2019-03-17,2019,cleveland state,9.0,north carolina,15.0,north carolina,,7.86,,10.29,,0.856,,0.559,,37.43,,0.676,,0.414,,,,14.14,,9.29,,9.29,,4.86,,0.311,,16.14
2019-03-19,2019,fairfield,18.0,njit,5.0,fairfield,8.0,4.5,7.14,7.0,0.738,0.798,0.531,0.4,32.29,26.75,0.444,0.632,0.292,0.28,,,10.71,8.75,10.86,16.38,13.43,13.88,-2.71,-5.13,0.255,0.26,16.57,20.0
2019-03-19,2019,dartmouth,8.0,st. john's,15.0,st. john's,5.4,6.67,10.0,7.0,0.759,0.84,0.429,0.457,33.0,30.67,0.722,0.438,0.182,0.429,,,8.6,11.83,13.0,11.0,9.0,13.5,-0.4,-1.67,0.256,0.297,22.6,13.83
2019-03-19,2019,providence,14.0,umass lowell,4.0,providence,6.43,6.43,6.86,9.71,0.806,0.791,0.482,0.616,28.57,34.0,0.727,0.643,0.238,0.476,,,10.86,10.0,12.71,9.57,9.29,11.71,1.57,-1.71,0.25,0.261,15.86,22.14
2019-03-19,2019,notre dame,12.0,michigan,9.0,notre dame,6.2,8.17,9.0,9.5,0.871,0.787,0.5,0.417,28.8,29.5,0.571,0.813,0.391,0.44,,,12.4,12.83,9.6,13.33,9.6,13.17,2.8,-0.33,0.346,0.333,18.4,15.83
2019-03-19,2019,st. bonaventure,3.0,cornell,18.0,cornell,3.8,9.0,7.4,12.0,0.744,0.846,0.246,0.303,24.8,31.67,0.737,0.743,0.238,0.474,,,7.4,15.33,16.0,11.67,15.2,14.5,-7.8,0.83,0.274,0.424,22.8,16.5
2019-03-19,2019,harvard,12.0,boston u.,11.0,harvard,7.0,8.38,9.5,11.13,0.809,0.791,0.366,0.585,32.0,35.25,0.636,0.808,0.444,0.52,,,11.5,11.88,16.17,12.0,12.0,9.25,-0.5,2.63,0.307,0.272,20.0,18.75
2019-03-19,2019,hartford,16.0,quinnipiac,17.0,quinnipiac,6.86,6.0,7.57,5.83,0.854,0.75,0.414,0.506,29.71,27.17,0.583,0.536,0.481,0.25,,,10.86,10.33,11.14,14.83,14.57,13.5,-3.71,-3.17,0.315,0.291,14.71,22.17
2019-03-19,2019,holy cross,11.0,brown,10.0,holy cross,4.86,7.8,11.57,7.4,0.783,0.75,0.604,0.557,34.57,39.6,0.714,0.654,0.167,0.37,,,9.0,14.8,11.86,10.8,10.57,12.2,-1.57,2.6,0.217,0.316,20.43,20.2
2019-03-19,2019,hobart,12.0,colgate,6.0,hobart,11.17,4.67,7.17,7.33,0.844,0.805,0.677,0.454,39.0,25.33,0.667,0.706,0.409,0.316,,,17.5,9.5,10.5,10.83,11.33,9.17,6.17,0.33,0.318,0.252,16.67,16.5
2019-03-20,2019,hampton,9.0,westmin. (pa.),8.0,hampton,6.8,,12.8,,0.652,,0.59,,29.4,,0.471,,0.333,,,,11.0,,11.6,,12.8,,-1.8,,0.281,,22.0,
2019-03-23,2019,villanova,12.0,fairfield,8.0,villanova,5.86,8.38,7.71,7.13,0.931,0.752,0.519,0.564,29.14,33.88,0.619,0.429,0.361,0.292,,,10.43,11.63,9.0,10.75,12.86,12.38,-2.43,-0.75,0.237,0.266,13.0,16.5
2019-03-23,2019,hobart,10.0,sacred heart,9.0,hobart,10.57,7.25,7.57,10.75,0.856,0.826,0.657,0.381,37.71,36.63,0.68,0.5,0.423,0.367,,,16.71,14.13,10.57,11.13,10.57,13.38,6.14,0.75,0.315,0.295,15.86,17.13
2019-03-23,2019,lafayette,9.0,boston u.,17.0,boston u.,4.78,8.22,8.56,11.89,0.793,0.794,0.324,0.554,29.89,35.44,0.679,0.758,0.205,0.536,,,9.89,11.78,9.67,12.0,11.11,9.56,-1.22,2.22,0.284,0.264,14.89,19.11
2019-03-23,2019,penn st.,15.0,cleveland state,11.0,penn st.,11.86,,8.0,,0.864,,0.581,,36.14,,0.577,,0.652,,,,18.86,,12.43,,10.43,,8.43,,0.436,,16.29,
2019-03-23,2019,wagner,14.0,njit,11.0,wagner,4.0,4.33,10.13,7.11,0.775,0.81,0.451,0.377,26.0,26.67,0.786,0.632,0.29,0.321,,,7.63,8.33,11.88,16.56,10.63,14.33,-3.0,-6.0,0.227,0.253,18.5,19.33
2019-03-23,2019,north carolina,9.0,maryland,16.0,maryland,7.5,8.0,10.13,4.63,0.851,0.863,0.556,0.592,36.38,30.88,0.65,0.636,0.438,0.3,,,14.25,12.88,9.25,11.25,9.25,9.0,5.0,3.88,0.311,0.338,15.88,14.88
2019-03-23,2019,high point,10.0,jacksonville,12.0,jacksonville,6.88,6.13,10.38,12.13,0.859,0.85,0.595,0.366,41.38,27.5,0.733,0.561,0.231,0.333,,,15.0,11.5,13.25,10.13,10.38,13.5,4.63,-2.0,0.336,0.317,22.25,16.75
2019-03-23,2019,marquette,9.0,georgetown,8.0,marquette,7.14,8.88,8.14,9.5,0.803,0.883,0.49,0.446,30.14,30.63,0.731,0.708,0.304,0.379,,,12.57,14.0,9.43,11.25,12.0,9.25,0.57,4.75,0.312,0.336,14.57,14.0
2019-03-23,2019,umass lowell,13.0,st. john's,15.0,st. john's,6.13,7.57,9.25,7.14,0.792,0.841,0.621,0.487,32.75,31.0,0.621,0.5,0.48,0.52,,,9.25,12.29,9.5,12.14,12.0,12.71,-2.75,-0.43,0.249,0.319,22.38,14.29
2019-03-23,2019,mercer,16.0,vmi,8.0,mercer,5.14,4.83,7.14,11.83,0.837,0.906,0.467,0.429,29.29,33.0,0.73,0.714,0.35,0.125,,,8.71,10.0,14.29,14.83,13.86,12.5,-5.14,-2.5,0.236,0.214,20.0,18.17
2019-03-23,2019,yale,15.0,princeton,10.0,yale,9.0,9.17,7.8,9.33,0.83,0.865,0.783,0.497,38.2,36.17,0.263,0.667,0.294,0.273,,,13.8,13.83,8.8,11.5,11.4,12.0,2.4,1.83,0.29,0.279,16.4,14.67
2019-03-23,2019,penn,16.0,cornell,15.0,penn,7.5,9.71,7.67,11.57,0.883,0.852,0.608,0.358,34.0,33.57,0.556,0.718,0.4,0.474,,,13.0,15.71,13.0,11.57,12.0,12.86,1.0,2.86,0.28,0.42,16.0,16.57
2019-03-23,2019,mount st. mary's,14.0,robert morris,11.0,mount st. mary's,4.56,8.14,9.22,9.0,0.801,0.885,0.507,0.538,30.56,33.14,0.622,0.556,0.216,0.45,,,9.22,12.86,11.33,12.14,10.22,15.86,-1.0,-3.0,0.237,0.265,18.44,15.43
2019-03-23,2019,marist,6.0,manhattan,5.0,marist,4.5,6.63,5.67,5.13,0.728,0.89,0.664,0.508,31.0,30.0,0.706,0.824,0.107,0.273,,,8.17,9.13,12.67,12.75,10.67,10.5,-2.5,-1.38,0.263,0.263,20.83,17.25
2019-03-23,2019,delaware,16.0,michigan,13.0,delaware,5.25,7.71,9.13,9.57,0.876,0.789,0.444,0.387,28.75,28.57,0.731,0.81,0.32,0.433,,,10.5,12.29,14.5,13.29,8.25,13.0,2.25,-0.71,0.243,0.331,16.25,15.71
2019-03-23,2019,siena,9.0,canisius,8.0,siena,9.17,5.57,8.0,6.43,0.872,0.778,0.439,0.476,32.17,27.43,0.55,0.5,0.4,0.345,,,15.33,11.14,9.33,13.86,14.17,11.71,1.17,-0.57,0.335,0.326,12.17,20.43
2019-03-23,2019,virginia,16.0,johns hopkins,11.0,virginia,7.86,6.86,11.29,7.29,0.812,0.845,0.484,0.538,40.57,29.86,0.676,0.739,0.276,0.37,,,12.43,11.14,12.86,12.43,12.57,12.14,-0.14,-1.0,0.288,0.27,15.71,16.14
2019-03-23,2019,air force,11.0,furman,7.0,air force,7.57,6.38,8.86,10.13,0.839,0.807,0.558,0.422,33.43,32.0,0.735,0.515,0.333,0.3,,,12.0,11.13,8.29,12.75,7.86,13.0,4.14,-1.88,0.305,0.307,18.86,17.63
2019-03-23,2019,hartford,6.0,vermont,15.0,vermont,6.5,6.71,7.38,6.14,0.855,0.785,0.43,0.479,30.75,30.14,0.6,0.724,0.467,0.381,,,11.5,12.14,11.38,12.0,14.88,10.86,-3.38,1.29,0.315,0.327,13.88,17.86
2019-03-23,2019,lehigh,15.0,navy,8.0,lehigh,5.38,7.43,10.13,6.71,0.886,0.781,0.685,0.497,41.5,34.43,0.793,0.647,0.276,0.353,,,10.5,10.71,10.75,12.29,8.75,11.43,1.75,-0.71,0.275,0.258,17.5,18.29
2019-03-23,2019,richmond,16.0,bellarmine,9.0,richmond,7.88,4.86,8.75,7.86,0.842,0.816,0.398,0.39,27.38,26.0,0.769,0.692,0.5,0.412,,,12.0,8.71,13.0,15.14,9.5,12.86,2.5,-4.14,0.311,0.251,16.5,19.71
2019-03-23,2019,ohio st.,11.0,notre dame,10.0,ohio st.,7.33,5.67,4.83,8.67,0.879,0.863,0.6,0.556,33.33,30.33,0.655,0.579,0.316,0.357,,,13.83,12.33,12.67,8.5,9.33,9.5,4.5,2.83,0.392,0.339,16.33,18.17
2019-03-23,2019,colgate,8.0,army west point,13.0,army west point,4.71,6.13,6.86,8.63,0.797,0.851,0.464,0.347,25.14,32.38,0.667,0.905,0.304,0.214,,,9.0,10.25,10.71,13.63,9.57,7.75,-0.57,2.5,0.245,0.267,16.86,17.13
2019-03-23,2019,denver,7.0,towson,6.0,denver,7.5,7.0,10.5,7.43,0.766,0.766,0.543,0.761,33.0,38.14,0.739,0.643,0.231,0.375,,,11.67,13.0,8.5,12.14,8.0,10.86,3.67,2.14,0.29,0.304,15.83,19.86
2019-03-23,2019,hofstra,7.0,rutgers,10.0,rutgers,3.5,5.88,6.0,7.25,0.86,0.878,0.543,0.455,29.88,33.25,0.71,0.85,0.385,0.133,,,8.75,11.25,10.75,14.63,10.0,11.13,-1.25,0.13,0.24,0.275,16.38,14.63
2019-03-23,2019,ualbany,12.0,binghamton,7.0,albany,7.33,4.67,7.17,11.17,0.872,0.754,0.418,0.389,29.0,27.0,0.435,0.72,0.318,0.2,,,11.33,8.0,12.83,14.0,13.5,13.5,-2.17,-5.5,0.286,0.23,15.0,20.0
2019-03-23,2019,loyola maryland,12.0,bucknell,7.0,loyola (md.),8.0,5.25,6.86,9.88,0.801,0.845,0.469,0.472,32.86,31.63,0.778,0.722,0.435,0.31,,,14.57,9.13,14.43,11.5,10.29,11.5,4.29,-2.38,0.388,0.261,16.86,17.25
